ENSMODP00000050324	ENSMODG00000047318	Monodelphis_domestica
ENSVURP00010030809	ENSVURG00010023565	Vombatus_ursinus
ENSBTAP00000009415	ENSBTAG00000007153	Bos_taurus
ENSBIXP00000041352	ENSBIXG00000025601	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000020008	ENSBMUG00000015089	Bos_mutus
ENSBBBP00000021402	ENSBBBG00000000807	Bison_bison_bison
ENSOARP00000008588	ENSOARG00000008001	Ovis_aries
ENSCHIP00000029644	ENSCHIG00000024710	Capra_hircus
ENSSSCP00000058150	ENSSSCG00000003524	Sus_scrofa_strain_reference
ENSEASP00005010202	ENSEASG00005007252	Equus_asinus_asinus
ENSUMAP00000018388	ENSUMAG00000013498	Ursus_maritimus
ENSUMAP00000018389	ENSUMAG00000013499	Ursus_maritimus
ENSUAMP00000026273	ENSUAMG00000020370	Ursus_americanus
ENSAMEP00000015563	ENSAMEG00000014779	Ailuropoda_melanoleuca
ENSNVIP00000029309	ENSNVIG00000022581	Neovison_vison
ENSCAFP00020024951	ENSCAFG00020019600	Canis_lupus_dingo
ENSCAFP00000040393	ENSCAFG00000031290	Canis_lupus_familiaris
ENSVVUP00000036080	ENSVVUG00000025920	Vulpes_vulpes
ENSPPRP00000024584	ENSPPRG00000014789	Panthera_pardus
ENSPTIP00000006162	ENSPTIG00000008161	Panthera_tigris_altaica
ENSFCAP00000017199	ENSFCAG00000030671	Felis_catus
ENSPCOP00000025403	ENSPCOG00000024922	Propithecus_coquereli
ENSPSMP00000005845	ENSPSMG00000004445	Prolemur_simus
ENSMICP00000020992	ENSMICG00000033787	Microcebus_murinus
ENSOGAP00000021120	ENSOGAG00000027446	Otolemur_garnettii
ENSCJAP00000073701	ENSCJAG00000065906	Callithrix_jacchus
ENSSBOP00000009040	ENSSBOG00000021423	Saimiri_boliviensis_boliviensis
ENSCCAP00000007518	ENSCCAG00000021523	Cebus_capucinus_imitator
ENSANAP00000021570	ENSANAG00000028574	Aotus_nancymaae
ENSPTRP00000059755	ENSPTRG00000000318	Pan_troglodytes
ENSP00000363773	ENSG00000173372	Homo_sapiens
ENSGGOP00000009793	ENSGGOG00000010034	Gorilla_gorilla
ENSNLEP00000010111	ENSNLEG00000008315	Nomascus_leucogenys
ENSCANP00000030013	ENSCANG00000038670	Colobus_angolensis_palliatus
ENSPTEP00000009542	ENSPTEG00000010833	Piliocolobus_tephrosceles
ENSRBIP00000024782	ENSRBIG00000036287	Rhinopithecus_bieti
ENSRROP00000021775	ENSRROG00000034788	Rhinopithecus_roxellana
ENSCATP00000014938	ENSCATG00000031472	Cercocebus_atys
ENSMLEP00000005102	ENSMLEG00000022990	Mandrillus_leucophaeus
ENSMFAP00000037424	ENSMFAG00000037955	Macaca_fascicularis
ENSTGEP00000003806	ENSTGEG00000003213	Theropithecus_gelada
ENSCPOP00000031712	ENSCPOG00000030985	Cavia_porcellus
ENSCAPP00000003301	ENSCAPG00000006117	Cavia_aperea
ENSCLAP00000013395	ENSCLAG00000009255	Chinchilla_lanigera
ENSODEP00000021916	ENSODEG00000016110	Octodon_degus
ENSHGLP00000015399	ENSHGLG00000011009	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010925	ENSHGLG00100008115	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000011292	ENSSDAG00000010204	Spermophilus_dauricus
ENSMMMP00000021617	ENSMMMG00000019033	Marmota_marmota_marmota
ENSUPAP00010026325	ENSUPAG00010020820	Urocitellus_parryii
ENSSTOP00000032004	ENSSTOG00000034210	Ictidomys_tridecemlineatus
ENSCCNP00000010563	ENSCCNG00000011031	Castor_canadensis
ENSDORP00000016604	ENSDORG00000023788	Dipodomys_ordii
ENSCGRP00015028113	ENSCGRG00015021305	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022442	ENSCGRG00000016259	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001028194	ENSCGRG00001024982	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000012785	ENSMAUG00000012996	Mesocricetus_auratus
ENSMOCP00000007136	ENSMOCG00000006901	Microtus_ochrogaster
ENSPEMP00000016122	ENSPEMG00000015448	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0067839	MGP_SPRETEiJ_G0027650	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005742	ENSMSIG00000005180	Mus_spicilegus
ENSMUSP00000048836	ENSMUSG00000036887	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0065290	MGP_CAROLIEiJ_G0026670	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080375	MGP_PahariEiJ_G0029003	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017385	ENSRNOG00000012807	Rattus_norvegicus
ENSMUGP00000024389	ENSMUGG00000020381	Meriones_unguiculatus
ENSNGAP00000010345	ENSNGAG00000012795	Nannospalax_galili
ENSJJAP00000013494	ENSJJAG00000016238	Jaculus_jaculus
ENSOCUP00000026373	ENSOCUG00000029367	Oryctolagus_cuniculus
ENSTSYP00000014325	ENSTSYG00000037380	Carlito_syrichta
ENSLAFP00000010007	ENSLAFG00000011973	Loxodonta_africana
ENSDNOP00000029685	ENSDNOG00000042372	Dasypus_novemcinctus
ENSGAGP00000024394	ENSGAGG00000017824	Gopherus_agassizii
ENSCABP00000019950	ENSCABG00000014717	Chelonoidis_abingdonii
ENSCPBP00000013876	ENSCPBG00000010349	Chrysemys_picta_bellii
ENSPSIP00000009128	ENSPSIG00000008326	Pelodiscus_sinensis
ENSAHAP00000022813	ENSAHAG00000015976	Apteryx_haastii
ENSARWP00000001187	ENSARWG00000000966	Apteryx_rowi
ENSAOWP00000017507	ENSAOWG00000011967	Apteryx_owenii
ENSDNVP00000022988	ENSDNVG00000015989	Dromaius_novaehollandiae
ENSNPEP00000005798	ENSNPEG00000004386	Nothoprocta_perdicaria
ENSABRP00000024966	ENSABRG00000020948	Anser_brachyrhynchus
ENSAPLP00000017046	ENSAPLG00000023730	Anas_platyrhynchos_platyrhynchos
ENSGALP00000007596	ENSGALG00000021569	Gallus_gallus
ENSCJPP00005007410	ENSCJPG00005006838	Coturnix_japonica
ENSMGAP00000018876	ENSMGAG00000006456	Meleagris_gallopavo
ENSNMEP00000020317	ENSNMEG00000017448	Numida_meleagris
ENSLCOP00000011358	ENSLCOG00000008238	Lepidothrix_coronata
ENSMVIP00005003339	ENSMVIG00005002615	Manacus_vitellinus
ENSLSDP00000021216	ENSLSDG00000015014	Lonchura_striata_domestica
ENSTGUP00000017516	ENSTGUG00000017238	Taeniopygia_guttata
ENSSCAP00000022879	ENSSCAG00000016412	Serinus_canaria
ENSJHYP00000020780	ENSJHYG00000015715	Junco_hyemalis
ENSZALP00000013293	ENSZALG00000011068	Zonotrichia_albicollis
ENSCCEP00000016685	ENSCCEG00000015574	Cyanistes_caeruleus
ENSPMJP00000003167	ENSPMJG00000002794	Parus_major
ENSFALP00000010844	ENSFALG00000010398	Ficedula_albicollis
ENSMUNP00000021554	ENSMUNG00000016263	Melopsittacus_undulatus
ENSCPGP00000006417	ENSCPGG00000004620	Calidris_pygmaea
ENSCPUP00000029756	ENSCPUG00000019927	Calidris_pugnax
ENSCPRP00005021181	ENSCPRG00005014747	Crocodylus_porosus
ENSPVIP00000016101	ENSPVIG00000012452	Pogona_vitticeps
ENSACAP00000014660	ENSACAG00000014939	Anolis_carolinensis
ENSSMRP00000011206	ENSSMRG00000008815	Salvator_merianae
ENSSPUP00000021890	ENSSPUG00000016795	Sphenodon_punctatus
ENSLACP00000009476	ENSLACG00000008358	Latimeria_chalumnae
ENSCHAP00000059097	ENSCHAG00000026531	Clupea_harengus	ENSCHAT00000063636
ENSDCDP00000003645	ENSDCDG00000001863	Denticeps_clupeoides	ENSDCDT00000004041
ENSEEEP00000008106	ENSEEEG00000004227	Electrophorus_electricus	ENSEEET00000008212
ENSIPUP00000002036	ENSIPUG00000001461	Ictalurus_punctatus	ENSIPUT00000002139
ENSAMXP00005034386	ENSAMXG00005016585	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000042212	ENSAMXG00000041621	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000053679
ENSDARP00000039319	ENSDARG00000044613	Danio_rerio
ENSATEP00000006154	ENSATEG00000004313	Anabas_testudineus
ENSBSLP00000008816	ENSBSLG00000004380	Betta_splendens
ENSAPEP00000031855	ENSAPEG00000022623	Amphiprion_percula
ENSAOCP00000019875	ENSAOCG00000003567	Amphiprion_ocellaris
ENSAPOP00000004515	ENSAPOG00000006132	Acanthochromis_polyacanthus
ENSSPAP00000009132	ENSSPAG00000006967	Stegastes_partitus
ENSLBEP00000015036	ENSLBEG00000011698	Labrus_bergylta
ENSFHEP00000032687	ENSFHEG00000019300	Fundulus_heteroclitus
ENSCVAP00000016550	ENSCVAG00000019515	Cyprinodon_variegatus
ENSXCOP00000023440	ENSXCOG00000017501	Xiphophorus_couchianus
ENSXMAP00000007835	ENSXMAG00000007817	Xiphophorus_maculatus
ENSGAFP00000003304	ENSGAFG00000002269	Gambusia_affinis
ENSPFOP00000011139	ENSPFOG00000011161	Poecilia_formosa
ENSPLAP00000001845	ENSPLAG00000002978	Poecilia_latipinna
ENSPMEP00000015874	ENSPMEG00000018461	Poecilia_mexicana
ENSPREP00000033849	ENSPREG00000022931	Poecilia_reticulata
ENSKMAP00000021358	ENSKMAG00000015890	Kryptolebias_marmoratus
ENSORLP00015004001	ENSORLG00015004745	Oryzias_latipes_ASM223469v1
ENSORLP00020028074	ENSORLG00020011352	Oryzias_latipes_ASM223471v1
ENSORLP00000024155	ENSORLG00000019405	Oryzias_latipes_ASM223467v1
ENSOMEP00000013069	ENSOMEG00000014518	Oryzias_melastigma
ENSTRUP00000048533	ENSTRUG00000025555	Takifugu_rubripes
ENSTNIP00000009335	ENSTNIG00000006561	Tetraodon_nigroviridis
ENSMMOP00000018015	ENSMMOG00000013665	Mola_mola
ENSMALP00000032904	ENSMALG00000022631	Monopterus_albus
ENSPNYP00000015182	ENSPNYG00000011506	Pundamilia_nyererei
ENSHBUP00000000133	ENSHBUG00000001290	Haplochromis_burtoni
ENSACLP00000012526	ENSACLG00000008547	Astatotilapia_calliptera
ENSMZEP00005022012	ENSMZEG00005016512	Maylandia_zebra
ENSONIP00000005522	ENSONIG00000004387	Oreochromis_niloticus
ENSNBRP00000019456	ENSNBRG00000014986	Neolamprologus_brichardi
ENSACIP00000022180	ENSACIG00000017228	Amphilophus_citrinellus
ENSMAMP00000020139	ENSMAMG00000013566	Mastacembelus_armatus
