ENSMAUP00000018398	ENSMAUG00000016989	Mesocricetus_auratus
ENSPPRP00000028664	ENSPPRG00000020873	Panthera_pardus
ENSFDAP00000013262	ENSFDAG00000020589	Fukomys_damarensis
ENSCSAP00000018211	ENSCSAG00000018689	Chlorocebus_sabaeus
ENSPPAP00000018515	ENSPPAG00000032405	Pan_paniscus
ENSPTEP00000012496	ENSPTEG00000014017	Piliocolobus_tephrosceles
ENSCAPP00000012166	ENSCAPG00000013086	Cavia_aperea
ENSMMMP00000020981	ENSMMMG00000018525	Marmota_marmota_marmota
ENSSSCP00000042471	ENSSSCG00000038131	Sus_scrofa_strain_reference
ENSCGRP00015016208	ENSCGRG00015012466	Cricetulus_griseus_CriGri-PICR
ENSOANP00000002186	ENSOANG00000001377	Ornithorhynchus_anatinus
ENSSDAP00000016765	ENSSDAG00000015181	Spermophilus_dauricus
ENSOARP00000008484	ENSOARG00000007911	Ovis_aries
ENSMSIP00000013852	ENSMSIG00000011945	Mus_spicilegus
ENSSDAP00000016992	ENSSDAG00000015378	Spermophilus_dauricus
ENSRNOP00000037310	ENSRNOG00000027478	Rattus_norvegicus
ENSCAFP00020033691	ENSCAFG00020026154	Canis_lupus_dingo
ENSDNOP00000033498	ENSDNOG00000044842	Dasypus_novemcinctus
ENSCGRP00001006806	ENSCGRG00001009257	Cricetulus_griseus_CHOK1GS_HDv1
ENSCHOP00000005724	ENSCHOG00000006478	Choloepus_hoffmanni
ENSLAFP00000000569	ENSLAFG00000000676	Loxodonta_africana
ENSP00000330720	ENSG00000182591	Homo_sapiens
MGP_CAROLIEiJ_P0042196	MGP_CAROLIEiJ_G0020941	Mus_caroli_strain_CAROLI_EIJ
ENSCCNP00000016550	ENSCCNG00000016844	Castor_canadensis
ENSODEP00000025594	ENSODEG00000018872	Octodon_degus
ENSSARP00000009817	ENSSARG00000010881	Sorex_araneus
ENSUPAP00010001231	ENSUPAG00010001054	Urocitellus_parryii
MGP_SPRETEiJ_P0044093	MGP_SPRETEiJ_G0021847	Mus_spretus_strain_SPRET/EiJ
ENSTBEP00000008056	ENSTBEG00000009309	Tupaia_belangeri
ENSNVIP00000005834	ENSNVIG00000004690	Neovison_vison
ENSPPYP00000012671	ENSPPYG00000011349	Pongo_abelii
ENSPSMP00000013825	ENSPSMG00000009919	Prolemur_simus
MGP_PahariEiJ_P0029555	MGP_PahariEiJ_G0016646	Mus_pahari_strain_PAHARI_EIJ
ENSEASP00005011062	ENSEASG00005007774	Equus_asinus_asinus
ENSCLAP00000025538	ENSCLAG00000017626	Chinchilla_lanigera
ENSCHIP00000001409	ENSCHIG00000002902	Capra_hircus
ENSVURP00010030521	ENSVURG00010023339	Vombatus_ursinus
ENSPTRP00000023834	ENSPTRG00000013844	Pan_troglodytes
ENSETEP00000007374	ENSETEG00000009089	Echinops_telfairi
ENSOPRP00000015265	ENSOPRG00000016722	Ochotona_princeps
ENSPTIP00000005997	ENSPTIG00000008051	Panthera_tigris_altaica
ENSUAMP00000015268	ENSUAMG00000012236	Ursus_americanus	ENSUAMT00000017117
ENSVPAP00000011583	ENSVPAG00000012461	Vicugna_pacos
ENSCPOP00000026789	ENSCPOG00000036168	Cavia_porcellus
ENSMOCP00000026885	ENSMOCG00000022551	Microtus_ochrogaster
ENSBBBP00000019292	ENSBBBG00000002418	Bison_bison_bison
ENSFCAP00000043605	ENSFCAG00000045393	Felis_catus
ENSSTOP00000020639	ENSSTOG00000024635	Ictidomys_tridecemlineatus
ENSNGAP00000022040	ENSNGAG00000021045	Nannospalax_galili
ENSMPUP00000019095	ENSMPUG00000019219	Mustela_putorius_furo
ENSBIXP00000024187	ENSBIXG00000026429	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSUMAP00000022839	ENSUMAG00000016684	Ursus_maritimus	ENSUMAT00000027069
ENSBIXP00005044974	ENSBIXG00005004999	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPEMP00000010099	ENSPEMG00000011198	Peromyscus_maniculatus_bairdii
ENSCGRP00000026766	ENSCGRG00000019857	Cricetulus_griseus_CriGri_1.0
ENSOGAP00000014605	ENSOGAG00000016317	Otolemur_garnettii
ENSMUGP00000001574	ENSMUGG00000001494	Meriones_unguiculatus
ENSJJAP00000001750	ENSJJAG00000002454	Jaculus_jaculus
ENSECAP00000032982	ENSECAG00000034176	Equus_caballus
ENSBTAP00000046243	ENSBTAG00000034869	Bos_taurus
ENSTGEP00000034631	ENSTGEG00000027610	Theropithecus_gelada
ENSCJAP00000041205	ENSCJAG00000022606	Callithrix_jacchus
ENSAMEP00000019863	ENSAMEG00000018808	Ailuropoda_melanoleuca	ENSAMET00000020632
ENSPVAP00000005618	ENSPVAG00000005945	Pteropus_vampyrus
ENSVVUP00000027901	ENSVVUG00000020454	Vulpes_vulpes
ENSMICP00000009591	ENSMICG00000010543	Microcebus_murinus
ENSECAP00000039367	ENSECAG00000028357	Equus_caballus
ENSOCUP00000010357	ENSOCUG00000012040	Oryctolagus_cuniculus
ENSHGLP00100026969	ENSHGLG00100019973	Heterocephalus_glaber_HetGla_1.0
ENSMUSP00000129948	ENSMUSG00000091212	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000033632	ENSBMUG00000025104	Bos_mutus
ENSMMUP00000068944	ENSMMUG00000051158	Macaca_mulatta
ENSHGLP00000028224	ENSHGLG00000020426	Heterocephalus_glaber_HetGla_female_1.0
