ENSPKIP00000005090	ENSPKIG00000021910	Paramormyrops_kingsleyae
ENSSFOP00015001396	ENSSFOG00015000964	Scleropages_formosus
ENSHHUP00000060573	ENSHHUG00000035896	Hucho_hucho
ENSHHUP00000000760	ENSHHUG00000000483	Hucho_hucho
ENSHHUP00000000779	ENSHHUG00000000534	Hucho_hucho
ENSELUP00000029240	ENSELUG00000006105	Esox_lucius
ENSAOCP00000004305	ENSAOCG00000007724	Amphiprion_ocellaris
ENSAOCP00000015030	ENSAOCG00000019780	Amphiprion_ocellaris
ENSACIP00000006632	ENSACIG00000005206	Amphilophus_citrinellus
ENSMALP00000025720	ENSMALG00000017885	Monopterus_albus
ENSMAMP00000013469	ENSMAMG00000009119	Mastacembelus_armatus
ENSTRUP00000007866	ENSTRUG00000003364	Takifugu_rubripes
ENSTNIP00000007607	ENSTNIG00000004942	Tetraodon_nigroviridis
ENSORLP00020029338	ENSORLG00020013257	Oryzias_latipes_ASM223471v1
ENSORLP00015000927	ENSORLG00015001525	Oryzias_latipes_ASM223469v1
ENSORLP00000012569	ENSORLG00000010018	Oryzias_latipes_ASM223467v1
ENSOMEP00000035995	ENSOMEG00000023540	Oryzias_melastigma
ENSCSEP00000027326	ENSCSEG00000017460	Cynoglossus_semilaevis
ENSSDUP00000022023	ENSSDUG00000016022	Seriola_dumerili
ENSSLDP00000020543	ENSSLDG00000016070	Seriola_lalandi_dorsalis
ENSLCAP00010006966	ENSLCAG00010003434	Lates_calcarifer
ENSSMAP00000032720	ENSSMAG00000020048	Scophthalmus_maximus
ENSATEP00000028101	ENSATEG00000019414	Anabas_testudineus
ENSBSLP00000024757	ENSBSLG00000012536	Betta_splendens
ENSCGOP00000018811	ENSCGOG00000008812	Cottoperca_gobio
ENSGACP00000022950	ENSGACG00000017369	Gasterosteus_aculeatus
ENSLBEP00000006700	ENSLBEG00000005135	Labrus_bergylta
ENSLCRP00005030466	ENSLCRG00005012111	Larimichthys_crocea
ENSMZEP00005022732	ENSMZEG00005017019	Maylandia_zebra
ENSACLP00000034166	ENSACLG00000023136	Astatotilapia_calliptera
ENSPNYP00000015946	ENSPNYG00000012063	Pundamilia_nyererei
ENSHBUP00000002777	ENSHBUG00000003976	Haplochromis_burtoni
ENSNBRP00000011897	ENSNBRG00000009276	Neolamprologus_brichardi
ENSONIP00000004972	ENSONIG00000003945	Oreochromis_niloticus
ENSPRNP00000051856	ENSPRNG00000024524	Parambassis_ranga
ENSFHEP00000028276	ENSFHEG00000012272	Fundulus_heteroclitus
ENSCVAP00000026557	ENSCVAG00000012202	Cyprinodon_variegatus
ENSPMEP00000012053	ENSPMEG00000014187	Poecilia_mexicana
ENSPFOP00000019825	ENSPFOG00000019699	Poecilia_formosa
ENSPLAP00000021758	ENSPLAG00000005799	Poecilia_latipinna
ENSPREP00000013221	ENSPREG00000008979	Poecilia_reticulata
ENSXMAP00000001725	ENSXMAG00000001724	Xiphophorus_maculatus
ENSXCOP00000006466	ENSXCOG00000005002	Xiphophorus_couchianus
ENSGAFP00000011320	ENSGAFG00000007679	Gambusia_affinis
ENSGWIP00000015402	ENSGWIG00000008636	Gouania_willdenowi
ENSAPEP00000010798	ENSAPEG00000007757	Amphiprion_percula
ENSAPOP00000000895	ENSAPOG00000002117	Acanthochromis_polyacanthus
ENSSPAP00000006793	ENSSPAG00000005233	Stegastes_partitus
ENSKMAP00000014588	ENSKMAG00000010936	Kryptolebias_marmoratus
ENSMMOP00000028187	ENSMMOG00000021305	Mola_mola
ENSPMGP00000029780	ENSPMGG00000023963	Periophthalmus_magnuspinnatus
ENSHCOP00000001946	ENSHCOG00000003006	Hippocampus_comes
ENSGMOP00000017955	ENSGMOG00000016709	Gadus_morhua
ENSAMXP00000006962	ENSAMXG00000006778	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001479	ENSAMXG00005000847	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011797	ENSPNAG00000017502	Pygocentrus_nattereri
ENSIPUP00000031885	ENSIPUG00000021433	Ictalurus_punctatus
ENSEEEP00000021240	ENSEEEG00000010350	Electrophorus_electricus
ENSDARP00000086213	ENSDARG00000063050	Danio_rerio
ENSDCDP00000049878	ENSDCDG00000030539	Denticeps_clupeoides
ENSCHAP00000044570	ENSCHAG00000020704	Clupea_harengus
ENSLOCP00000003407	ENSLOCG00000002894	Lepisosteus_oculatus
ENSECRP00000017519	ENSECRG00000011691	Erpetoichthys_calabaricus
ENSGALP00000001900	ENSGALG00000001253	Gallus_gallus
ENSCJPP00005012782	ENSCJPG00005010860	Coturnix_japonica	ENSCJPT00005018458
ENSMGAP00000008182	ENSMGAG00000007984	Meleagris_gallopavo	ENSMGAT00000008972
ENSNMEP00000014220	ENSNMEG00000012736	Numida_meleagris
ENSAPLP00000013775	ENSAPLG00000013920	Anas_platyrhynchos_platyrhynchos
ENSABRP00000026753	ENSABRG00000022334	Anser_brachyrhynchus
ENSLSDP00000005334	ENSLSDG00000004176	Lonchura_striata_domestica
ENSTGUP00000007126	ENSTGUG00000006889	Taeniopygia_guttata
ENSSCAP00000022538	ENSSCAG00000016190	Serinus_canaria
ENSPMJP00000000378	ENSPMJG00000000346	Parus_major
ENSCCEP00000010615	ENSCCEG00000010512	Cyanistes_caeruleus
ENSFALP00000002089	ENSFALG00000002011	Ficedula_albicollis
ENSJHYP00000004374	ENSJHYG00000003626	Junco_hyemalis
ENSZALP00000013434	ENSZALG00000011184	Zonotrichia_albicollis
ENSLCOP00000020126	ENSLCOG00000014258	Lepidothrix_coronata
ENSMVIP00005014257	ENSMVIG00005010290	Manacus_vitellinus
ENSMUNP00000012357	ENSMUNG00000009653	Melopsittacus_undulatus
