ENSCJPP00005014350	ENSCJPG00005011989	Coturnix_japonica
ENSMGAP00000015853	ENSMGAG00000014953	Meleagris_gallopavo	ENSMGAT00000016816
ENSNMEP00000007117	ENSNMEG00000007194	Numida_meleagris
ENSCPGP00000019977	ENSCPGG00000013997	Calidris_pygmaea
ENSGAGP00000023286	ENSGAGG00000017076	Gopherus_agassizii
ENSPVIP00000012125	ENSPVIG00000009481	Pogona_vitticeps
ENSNSUP00000006975	ENSNSUG00000005519	Notechis_scutatus
ENSSMRP00000016738	ENSSMRG00000013045	Salvator_merianae
ENSLACP00000011880	ENSLACG00000010457	Latimeria_chalumnae
ENSSFOP00015032293	ENSSFOG00015020648	Scleropages_formosus
ENSPKIP00000020318	ENSPKIG00000005139	Paramormyrops_kingsleyae
ENSAMXP00005038000	ENSAMXG00005018063	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000010035	ENSAMXG00000009764	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000031359	ENSPNAG00000018661	Pygocentrus_nattereri
ENSIPUP00000016029	ENSIPUG00000010889	Ictalurus_punctatus
ENSEEEP00000038075	ENSEEEG00000018083	Electrophorus_electricus
ENSDARP00000020894	ENSDARG00000014232	Danio_rerio
ENSDCDP00000057979	ENSDCDG00000033750	Denticeps_clupeoides
ENSTRUP00000032051	ENSTRUG00000012659	Takifugu_rubripes
ENSTNIP00000019469	ENSTNIG00000016372	Tetraodon_nigroviridis
ENSMMOP00000020847	ENSMMOG00000015845	Mola_mola
ENSLCRP00005023626	ENSLCRG00005009512	Larimichthys_crocea
ENSLBEP00000015435	ENSLBEG00000011980	Labrus_bergylta
ENSCGOP00000022058	ENSCGOG00000010605	Cottoperca_gobio
ENSGACP00000013490	ENSGACG00000010204	Gasterosteus_aculeatus
ENSMALP00000006598	ENSMALG00000004707	Monopterus_albus
ENSMAMP00000030456	ENSMAMG00000020538	Mastacembelus_armatus
ENSATEP00000013841	ENSATEG00000009605	Anabas_testudineus
ENSBSLP00000026641	ENSBSLG00000013217	Betta_splendens
ENSSMAP00000021076	ENSSMAG00000012915	Scophthalmus_maximus
ENSCSEP00000032019	ENSCSEG00000020550	Cynoglossus_semilaevis
ENSLCAP00010018674	ENSLCAG00010008833	Lates_calcarifer
ENSSLDP00000002605	ENSSLDG00000002098	Seriola_lalandi_dorsalis
ENSSLDP00000002607	ENSSLDG00000002100	Seriola_lalandi_dorsalis
ENSSLDP00000008787	ENSSLDG00000006984	Seriola_lalandi_dorsalis
ENSSDUP00000022015	ENSSDUG00000015999	Seriola_dumerili
ENSPFOP00000005129	ENSPFOG00000005024	Poecilia_formosa
ENSPLAP00000016126	ENSPLAG00000020237	Poecilia_latipinna
ENSPMEP00000021078	ENSPMEG00000001026	Poecilia_mexicana
ENSPREP00000030008	ENSPREG00000020313	Poecilia_reticulata
ENSGAFP00000014957	ENSGAFG00000010101	Gambusia_affinis
ENSXMAP00000038063	ENSXMAG00000024204	Xiphophorus_maculatus
ENSFHEP00000000484	ENSFHEG00000001199	Fundulus_heteroclitus
ENSCVAP00000032314	ENSCVAG00000022279	Cyprinodon_variegatus
ENSKMAP00000016253	ENSKMAG00000012115	Kryptolebias_marmoratus
ENSORLP00000021688	ENSORLG00000017340	Oryzias_latipes_ASM223467v1
ENSORLP00015017714	ENSORLG00015018765	Oryzias_latipes_ASM223469v1
ENSORLP00020000751	ENSORLG00020001455	Oryzias_latipes_ASM223471v1
ENSOMEP00000034306	ENSOMEG00000020847	Oryzias_melastigma
ENSGWIP00000045449	ENSGWIG00000022519	Gouania_willdenowi
ENSACLP00000021285	ENSACLG00000014418	Astatotilapia_calliptera
ENSHBUP00000009655	ENSHBUG00000011231	Haplochromis_burtoni
ENSMZEP00005022318	ENSMZEG00005016725	Maylandia_zebra
ENSNBRP00000023672	ENSNBRG00000018096	Neolamprologus_brichardi
ENSONIP00000017027	ENSONIG00000013541	Oreochromis_niloticus
ENSACIP00000006444	ENSACIG00000005027	Amphilophus_citrinellus
ENSAOCP00000008633	ENSAOCG00000012706	Amphiprion_ocellaris
ENSAPEP00000005143	ENSAPEG00000003659	Amphiprion_percula
ENSAPOP00000002569	ENSAPOG00000003968	Acanthochromis_polyacanthus
ENSSPAP00000006960	ENSSPAG00000005343	Stegastes_partitus
ENSHCOP00000023021	ENSHCOG00000011227	Hippocampus_comes
ENSGMOP00000007551	ENSGMOG00000007087	Gadus_morhua
ENSHHUP00000033246	ENSHHUG00000021023	Hucho_hucho
ENSHHUP00000007547	ENSHHUG00000004603	Hucho_hucho
ENSELUP00000028123	ENSELUG00000004593	Esox_lucius
ENSCHAP00000003732	ENSCHAG00000002371	Clupea_harengus
ENSLOCP00000000762	ENSLOCG00000000687	Lepisosteus_oculatus
ENSECRP00000007097	ENSECRG00000004736	Erpetoichthys_calabaricus
ENSPREP00000029983	ENSPREG00000020292	Poecilia_reticulata
ENSPLAP00000029714	ENSPLAG00000020200	Poecilia_latipinna
ENSPRNP00000043294	ENSPRNG00000021123	Parambassis_ranga
ENSFHEP00000021454	ENSFHEG00000001201	Fundulus_heteroclitus
ENSMZEP00005022314	ENSMZEG00005016721	Maylandia_zebra
ENSNBRP00000023688	ENSNBRG00000018131	Neolamprologus_brichardi
ENSOMEP00000019068	ENSOMEG00000020852	Oryzias_melastigma
ENSATEP00000013744	ENSATEG00000009586	Anabas_testudineus
ENSDCDP00000057977	ENSDCDG00000033749	Denticeps_clupeoides
ENSSFOP00015032310	ENSSFOG00015020675	Scleropages_formosus
ENSCPUP00000026338	ENSCPUG00000017741	Calidris_pugnax
ENSCPGP00000019983	ENSCPGG00000014004	Calidris_pygmaea
ENSEBUP00000001774	ENSEBUG00000001464	Eptatretus_burgeri
