ENSLCRP00005050246	ENSLCRG00005018953	Larimichthys_crocea
ENSCGOP00000013741	ENSCGOG00000006700	Cottoperca_gobio
ENSSDUP00000023659	ENSSDUG00000017193	Seriola_dumerili
ENSSLDP00000026005	ENSSLDG00000020191	Seriola_lalandi_dorsalis
ENSACLP00000034267	ENSACLG00000023197	Astatotilapia_calliptera
ENSHBUP00000006105	ENSHBUG00000007496	Haplochromis_burtoni
ENSPNYP00000019519	ENSPNYG00000014739	Pundamilia_nyererei
ENSMZEP00005028460	ENSMZEG00005021219	Maylandia_zebra
ENSNBRP00000020330	ENSNBRG00000015641	Neolamprologus_brichardi
ENSACIP00000026808	ENSACIG00000020750	Amphilophus_citrinellus
ENSAOCP00000031214	ENSAOCG00000022727	Amphiprion_ocellaris
ENSAPEP00000019700	ENSAPEG00000014052	Amphiprion_percula
ENSAPOP00000015419	ENSAPOG00000018405	Acanthochromis_polyacanthus
ENSSPAP00000010353	ENSSPAG00000007876	Stegastes_partitus
ENSPRNP00000019427	ENSPRNG00000010134	Parambassis_ranga
ENSLCAP00010044778	ENSLCAG00010020810	Lates_calcarifer
ENSLBEP00000029769	ENSLBEG00000022514	Labrus_bergylta
ENSORLP00020021676	ENSORLG00020001590	Oryzias_latipes_ASM223471v1
ENSORLP00000040040	ENSORLG00000024267	Oryzias_latipes_ASM223467v1
ENSORLP00015001021	ENSORLG00015001605	Oryzias_latipes_ASM223469v1
ENSOMEP00000017110	ENSOMEG00000018804	Oryzias_melastigma
ENSXCOP00000022951	ENSXCOG00000017152	Xiphophorus_couchianus
ENSXMAP00000021326	ENSXMAG00000028718	Xiphophorus_maculatus
ENSMAMP00000014821	ENSMAMG00000010050	Mastacembelus_armatus
ENSPMGP00000005209	ENSPMGG00000004378	Periophthalmus_magnuspinnatus
ENSHHUP00000024094	ENSHHUG00000015115	Hucho_hucho
ENSCHAP00000025545	ENSCHAG00000012479	Clupea_harengus
ENSDCDP00000024410	ENSDCDG00000018376	Denticeps_clupeoides
ENSEEEP00000011166	ENSEEEG00000005664	Electrophorus_electricus
ENSPNAP00000029384	ENSPNAG00000015432	Pygocentrus_nattereri
