ENSPCIP00000004013	ENSPCIG00000003286	Phascolarctos_cinereus	ENSPCIT00000004992
ENSVURP00010032608	ENSVURG00010024863	Vombatus_ursinus	ENSVURT00010037118
ENSMEUP00000008812	ENSMEUG00000009666	Notamacropus_eugenii	ENSMEUT00000009695
ENSSHAP00000010498	ENSSHAG00000009061	Sarcophilus_harrisii	ENSSHAT00000010591
ENSMODP00000050395	ENSMODG00000041517	Monodelphis_domestica	ENSMODT00000067111
ENSCLAP00000010728	ENSCLAG00000007405	Chinchilla_lanigera
ENSODEP00000014583	ENSODEG00000010791	Octodon_degus
ENSHGLP00000008378	ENSHGLG00000006056	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015210	ENSHGLG00100011250	Heterocephalus_glaber_HetGla_1.0
ENSCAPP00000011503	ENSCAPG00000012559	Cavia_aperea
ENSCPOP00000006270	ENSCPOG00000006950	Cavia_porcellus
ENSCCNP00000027288	ENSCCNG00000026411	Castor_canadensis
ENSUPAP00010001242	ENSUPAG00010001059	Urocitellus_parryii
ENSSTOP00000003063	ENSSTOG00000003433	Ictidomys_tridecemlineatus
ENSMMMP00000025558	ENSMMMG00000022401	Marmota_marmota_marmota
ENSSDAP00000010847	ENSSDAG00000009799	Spermophilus_dauricus
ENSMSIP00000006544	ENSMSIG00000005824	Mus_spicilegus	ENSMSIT00000008282
ENSMUSP00000085013	ENSMUSG00000037577	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000087721
MGP_SPRETEiJ_P0045795	MGP_SPRETEiJ_G0022292	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0045795
MGP_CAROLIEiJ_P0043884	MGP_CAROLIEiJ_G0021378	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0043884
MGP_PahariEiJ_P0043447	MGP_PahariEiJ_G0020385	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0043447
ENSRNOP00000030761	ENSRNOG00000027319	Rattus_norvegicus	ENSRNOT00000038961
ENSMUGP00000005863	ENSMUGG00000005391	Meriones_unguiculatus	ENSMUGT00000006976
ENSPEMP00000001397	ENSPEMG00000001114	Peromyscus_maniculatus_bairdii
ENSMOCP00000018430	ENSMOCG00000016735	Microtus_ochrogaster
ENSCGRP00015010856	ENSCGRG00015008344	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000023690	ENSCGRG00000017162	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016819	ENSCGRG00001017044	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000008729	ENSMAUG00000010068	Mesocricetus_auratus
ENSNGAP00000000576	ENSNGAG00000000440	Nannospalax_galili
ENSJJAP00000004586	ENSJJAG00000009549	Jaculus_jaculus
ENSOCUP00000011181	ENSOCUG00000012997	Oryctolagus_cuniculus
ENSOPRP00000014642	ENSOPRG00000016022	Ochotona_princeps
ENSPTRP00000018121	ENSPTRG00000010618	Pan_troglodytes
ENSPPAP00000008189	ENSPPAG00000027334	Pan_paniscus
ENSP00000221730	ENSG00000105131	Homo_sapiens
ENSGGOP00000010503	ENSGGOG00000010769	Gorilla_gorilla
ENSPPYP00000010836	ENSPPYG00000009669	Pongo_abelii
ENSNLEP00000006321	ENSNLEG00000005217	Nomascus_leucogenys
ENSMMUP00000028171	ENSMMUG00000021384	Macaca_mulatta
ENSMFAP00000009026	ENSMFAG00000001020	Macaca_fascicularis
ENSMNEP00000026419	ENSMNEG00000036655	Macaca_nemestrina
ENSTGEP00000010249	ENSTGEG00000008410	Theropithecus_gelada
ENSPANP00000003852	ENSPANG00000010109	Papio_anubis
ENSCATP00000030023	ENSCATG00000038217	Cercocebus_atys
ENSMLEP00000039192	ENSMLEG00000043638	Mandrillus_leucophaeus
ENSCSAP00000002437	ENSCSAG00000006139	Chlorocebus_sabaeus
ENSRROP00000041921	ENSRROG00000044137	Rhinopithecus_roxellana
ENSRBIP00000040189	ENSRBIG00000043527	Rhinopithecus_bieti
ENSPTEP00000038243	ENSPTEG00000035602	Piliocolobus_tephrosceles
ENSCANP00000028587	ENSCANG00000037751	Colobus_angolensis_palliatus
ENSCCAP00000019372	ENSCCAG00000027530	Cebus_capucinus_imitator
ENSSBOP00000010222	ENSSBOG00000021961	Saimiri_boliviensis_boliviensis
ENSCJAP00000049580	ENSCJAG00000002169	Callithrix_jacchus
ENSANAP00000016995	ENSANAG00000026368	Aotus_nancymaae
ENSTSYP00000022440	ENSTSYG00000032321	Carlito_syrichta
ENSPCOP00000030505	ENSPCOG00000027978	Propithecus_coquereli
ENSPSMP00000012996	ENSPSMG00000009354	Prolemur_simus
ENSMICP00000012987	ENSMICG00000014256	Microcebus_murinus
ENSOGAP00000005984	ENSOGAG00000006687	Otolemur_garnettii
ENSBMUP00000015953	ENSBMUG00000012149	Bos_mutus
ENSBBBP00000010943	ENSBBBG00000008462	Bison_bison_bison
ENSOARP00000004017	ENSOARG00000003767	Ovis_aries
ENSCHIP00000031070	ENSCHIG00000025579	Capra_hircus
ENSBIXP00000024596	ENSBIXG00000026717	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013566	ENSBIXG00005017692	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000060193	ENSBTAG00000020090	Bos_taurus
ENSTTRP00000015152	ENSTTRG00000015989	Tursiops_truncatus
ENSSSCP00000021624	ENSSSCG00000028144	Sus_scrofa_strain_reference
ENSEASP00005004646	ENSEASG00005003519	Equus_asinus_asinus
ENSECAP00000023389	ENSECAG00000018245	Equus_caballus
ENSUAMP00000036572	ENSUAMG00000027709	Ursus_americanus
ENSAMEP00000002446	ENSAMEG00000002340	Ailuropoda_melanoleuca
ENSUMAP00000002499	ENSUMAG00000002156	Ursus_maritimus
ENSNVIP00000014838	ENSNVIG00000011630	Neovison_vison
ENSMPUP00000015982	ENSMPUG00000016089	Mustela_putorius_furo
ENSCAFP00020011625	ENSCAFG00020009361	Canis_lupus_dingo
ENSCAFP00000040131	ENSCAFG00000029522	Canis_lupus_familiaris
ENSVVUP00000028049	ENSVVUG00000020533	Vulpes_vulpes
ENSPPRP00000021733	ENSPPRG00000012477	Panthera_pardus
ENSPTIP00000008050	ENSPTIG00000009507	Panthera_tigris_altaica
ENSFCAP00000023913	ENSFCAG00000028947	Felis_catus
ENSMLUP00000022623	ENSMLUG00000029171	Myotis_lucifugus
ENSPVAP00000007344	ENSPVAG00000007782	Pteropus_vampyrus
ENSDORP00000002072	ENSDORG00000002211	Dipodomys_ordii
ENSDNOP00000028291	ENSDNOG00000035196	Dasypus_novemcinctus
ENSDNOP00000030012	ENSDNOG00000030978	Dasypus_novemcinctus
ENSLAFP00000000584	ENSLAFG00000000695	Loxodonta_africana
ENSETEP00000005892	ENSETEG00000007262	Echinops_telfairi
ENSOANP00000030502	ENSOANG00000029866	Ornithorhynchus_anatinus
