ENSMUSP00000031547	ENSMUSG00000029564	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000031547
MGP_SPRETEiJ_P0072740	MGP_SPRETEiJ_G0028604	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0070059	MGP_CAROLIEiJ_G0027606	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000011791	ENSMSIG00000010255	Mus_spicilegus
ENSRNOP00000034338	ENSRNOG00000021364	Rattus_norvegicus
ENSMUGP00000001059	ENSMUGG00000000960	Meriones_unguiculatus
ENSCGRP00015001789	ENSCGRG00015001481	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022664	ENSCGRG00000016425	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001005489	ENSCGRG00001007212	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011973	ENSMAUG00000012403	Mesocricetus_auratus
ENSMOCP00000027582	ENSMOCG00000023019	Microtus_ochrogaster
ENSPEMP00000010037	ENSPEMG00000011144	Peromyscus_maniculatus_bairdii
