ENSCHIP00000003984	ENSCHIG00000008200	Capra_hircus
ENSOARP00000006928	ENSOARG00000006473	Ovis_aries
ENSBIXP00000005017	ENSBIXG00000011281	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010934	ENSBIXG00005006745	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000001087	ENSBMUG00000000902	Bos_mutus
ENSBTAP00000017248	ENSBTAG00000012973	Bos_taurus
ENSBBBP00000022384	ENSBBBG00000016261	Bison_bison_bison
ENSTTRP00000003634	ENSTTRG00000003860	Tursiops_truncatus
ENSVPAP00000003930	ENSVPAG00000004230	Vicugna_pacos
ENSSSCP00000035293	ENSSSCG00000001480	Sus_scrofa_strain_reference
ENSECAP00000022428	ENSECAG00000024885	Equus_caballus
ENSEASP00005000114	ENSEASG00005000112	Equus_asinus_asinus
ENSPVAP00000012704	ENSPVAG00000013465	Pteropus_vampyrus
ENSMLUP00000018548	ENSMLUG00000012114	Myotis_lucifugus
ENSAMEP00000018443	ENSAMEG00000017458	Ailuropoda_melanoleuca
ENSUMAP00000005026	ENSUMAG00000004008	Ursus_maritimus
ENSMPUP00000002788	ENSMPUG00000002817	Mustela_putorius_furo
ENSMPUP00000002795	ENSMPUG00000002824	Mustela_putorius_furo
ENSNVIP00000009873	ENSNVIG00000007790	Neovison_vison
ENSCAFP00000037336	ENSCAFG00000002331	Canis_lupus_familiaris
ENSCAFP00020016755	ENSCAFG00020013425	Canis_lupus_dingo
ENSVVUP00000001703	ENSVVUG00000001334	Vulpes_vulpes
ENSPPRP00000011178	ENSPPRG00000005096	Panthera_pardus
ENSPTIP00000007230	ENSPTIG00000008929	Panthera_tigris_altaica
ENSFCAP00000006305	ENSFCAG00000006786	Felis_catus
ENSEEUP00000000440	ENSEEUG00000000495	Erinaceus_europaeus
ENSPTRP00000031259	ENSPTRG00000018298	Pan_troglodytes
ENSPPAP00000030300	ENSPPAG00000038139	Pan_paniscus
ENSGGOP00000021942	ENSGGOG00000022175	Gorilla_gorilla
ENSP00000343636	ENSG00000187871	Homo_sapiens
ENSPPYP00000018716	ENSPPYG00000016731	Pongo_abelii
ENSNLEP00000003991	ENSNLEG00000003300	Nomascus_leucogenys
ENSMNEP00000028760	ENSMNEG00000037842	Macaca_nemestrina
ENSMFAP00000028619	ENSMFAG00000045658	Macaca_fascicularis
ENSMMUP00000065464	ENSMMUG00000051331	Macaca_mulatta
ENSMLEP00000029775	ENSMLEG00000039080	Mandrillus_leucophaeus
ENSCATP00000045078	ENSCATG00000044981	Cercocebus_atys
ENSTGEP00000004051	ENSTGEG00000003405	Theropithecus_gelada
ENSPANP00000013072	ENSPANG00000008942	Papio_anubis
ENSCSAP00000009401	ENSCSAG00000013236	Chlorocebus_sabaeus
ENSCANP00000007867	ENSCANG00000025854	Colobus_angolensis_palliatus
ENSPTEP00000003680	ENSPTEG00000004348	Piliocolobus_tephrosceles
ENSRBIP00000004632	ENSRBIG00000021124	Rhinopithecus_bieti
ENSRROP00000010944	ENSRROG00000029846	Rhinopithecus_roxellana
ENSCJAP00000020016	ENSCJAG00000010859	Callithrix_jacchus
ENSSBOP00000039963	ENSSBOG00000035990	Saimiri_boliviensis_boliviensis
ENSCCAP00000016312	ENSCCAG00000025952	Cebus_capucinus_imitator
ENSANAP00000025855	ENSANAG00000030650	Aotus_nancymaae
ENSTSYP00000001670	ENSTSYG00000001789	Carlito_syrichta
ENSPSMP00000031551	ENSPSMG00000021889	Prolemur_simus
ENSMICP00000013838	ENSMICG00000015172	Microcebus_murinus
ENSPCOP00000015910	ENSPCOG00000019703	Propithecus_coquereli
ENSOGAP00000011664	ENSOGAG00000013022	Otolemur_garnettii
ENSTBEP00000011208	ENSTBEG00000012911	Tupaia_belangeri
ENSHGLP00100004834	ENSHGLG00100003667	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000002543	ENSHGLG00000001917	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021268	ENSFDAG00000007830	Fukomys_damarensis
ENSCPOP00000014818	ENSCPOG00000023931	Cavia_porcellus
ENSCAPP00000018552	ENSCAPG00000017921	Cavia_aperea
ENSODEP00000001934	ENSODEG00000001515	Octodon_degus
ENSCLAP00000022656	ENSCLAG00000015534	Chinchilla_lanigera
ENSSTOP00000006119	ENSSTOG00000006853	Ictidomys_tridecemlineatus
ENSUPAP00010007071	ENSUPAG00010005698	Urocitellus_parryii
ENSSDAP00000024296	ENSSDAG00000022138	Spermophilus_dauricus
ENSMMMP00000000931	ENSMMMG00000000859	Marmota_marmota_marmota
ENSMSIP00000035652	ENSMSIG00000029665	Mus_spicilegus
MGP_SPRETEiJ_P0092384	MGP_SPRETEiJ_G0033588	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000074421	ENSMUSG00000059383	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0088747	MGP_CAROLIEiJ_G0032449	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0024378	MGP_PahariEiJ_G0015314	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000043286	ENSRNOG00000032063	Rattus_norvegicus
