ENSCANP00000004593	ENSCANG00000015930	Colobus_angolensis_palliatus
ENSPTEP00000024326	ENSPTEG00000024834	Piliocolobus_tephrosceles
ENSRBIP00000026385	ENSRBIG00000037077	Rhinopithecus_bieti
ENSRROP00000026324	ENSRROG00000036907	Rhinopithecus_roxellana
ENSMMUP00000073411	ENSMMUG00000038056	Macaca_mulatta
ENSMFAP00000035824	ENSMFAG00000034291	Macaca_fascicularis
ENSMNEP00000043069	ENSMNEG00000044242	Macaca_nemestrina
ENSCATP00000035442	ENSCATG00000040578	Cercocebus_atys
ENSCSAP00000016039	ENSCSAG00000001995	Chlorocebus_sabaeus
ENSPANP00000001345	ENSPANG00000032373	Papio_anubis
ENSTGEP00000005567	ENSTGEG00000004618	Theropithecus_gelada
ENSMLEP00000008656	ENSMLEG00000028533	Mandrillus_leucophaeus
ENSP00000470746	ENSG00000197608	Homo_sapiens
ENSGGOP00000002616	ENSGGOG00000002655	Gorilla_gorilla
ENSPTRP00000041302	ENSPTRG00000023486	Pan_troglodytes
ENSPPAP00000014743	ENSPPAG00000030538	Pan_paniscus
ENSNLEP00000007240	ENSNLEG00000005986	Nomascus_leucogenys
ENSCCAP00000038746	ENSCCAG00000037212	Cebus_capucinus_imitator
ENSSBOP00000018425	ENSSBOG00000025842	Saimiri_boliviensis_boliviensis
ENSCJAP00000074603	ENSCJAG00000056860	Callithrix_jacchus
ENSANAP00000031259	ENSANAG00000033365	Aotus_nancymaae
ENSMICP00000025502	ENSMICG00000028869	Microcebus_murinus
ENSOGAP00000012119	ENSOGAG00000013524	Otolemur_garnettii
ENSMMMP00000023914	ENSMMMG00000020942	Marmota_marmota_marmota
