ENSEEEP00000010449	ENSEEEG00000005283	Electrophorus_electricus
ENSLCOP00000000463	ENSLCOG00000000231	Lepidothrix_coronata
ENSLCRP00005005027	ENSLCRG00005002574	Larimichthys_crocea
ENSMUGP00000019965	ENSMUGG00000016841	Meriones_unguiculatus
ENSPSMP00000018065	ENSPSMG00000012769	Prolemur_simus
ENSMODP00000004629	ENSMODG00000003779	Monodelphis_domestica
ENSSFOP00015007633	ENSSFOG00015005022	Scleropages_formosus
ENSPNYP00000023605	ENSPNYG00000017842	Pundamilia_nyererei
ENSBSLP00000000251	ENSBSLG00000000129	Betta_splendens
ENSTSYP00000011154	ENSTSYG00000012155	Carlito_syrichta
ENSLAFP00000017283	ENSLAFG00000022114	Loxodonta_africana
ENSPPYP00000009603	ENSPPYG00000008548	Pongo_abelii
ENSDCDP00000056474	ENSDCDG00000033186	Denticeps_clupeoides	ENSDCDT00000068482
ENSCMIP00000048924	ENSCMIG00000019963	Callorhinchus_milii
ENSVURP00010020214	ENSVURG00010015481	Vombatus_ursinus
ENSCGRP00015028034	ENSCGRG00015021241	Cricetulus_griseus_CriGri-PICR
ENSUMAP00000024465	ENSUMAG00000017802	Ursus_maritimus
ENSPEMP00000016311	ENSPEMG00000015557	Peromyscus_maniculatus_bairdii
ENSSBOP00000007113	ENSSBOG00000020512	Saimiri_boliviensis_boliviensis
ENSMALP00000019664	ENSMALG00000013729	Monopterus_albus
ENSJHYP00000017825	ENSJHYG00000013620	Junco_hyemalis
ENSSDAP00000009738	ENSSDAG00000008803	Spermophilus_dauricus
ENSMLEP00000022188	ENSMLEG00000035306	Mandrillus_leucophaeus
ENSPREP00000000294	ENSPREG00000000233	Poecilia_reticulata
ENSIPUP00000021387	ENSIPUG00000014504	Ictalurus_punctatus
ENSUPAP00010002546	ENSUPAG00010001806	Urocitellus_parryii
ENSOANP00000012791	ENSOANG00000008045	Ornithorhynchus_anatinus
ENSNLEP00000018155	ENSNLEG00000014905	Nomascus_leucogenys
ENSVPAP00000010019	ENSVPAG00000010760	Vicugna_pacos
ENSEBUP00000015882	ENSEBUG00000009982	Eptatretus_burgeri
ENSDNVP00000017364	ENSDNVG00000012140	Dromaius_novaehollandiae
ENSPTEP00000007815	ENSPTEG00000008870	Piliocolobus_tephrosceles
ENSCPUP00000028282	ENSCPUG00000019036	Calidris_pugnax
ENSXETP00000015353	ENSXETG00000000264	Xenopus_tropicalis
ENSAPLP00000027473	ENSAPLG00000009428	Anas_platyrhynchos_platyrhynchos
ENSMZEP00005001973	ENSMZEG00005001597	Maylandia_zebra
ENSDORP00000020324	ENSDORG00000023977	Dipodomys_ordii
ENSCPRP00005000901	ENSCPRG00005000605	Crocodylus_porosus
ENSSMRP00000005831	ENSSMRG00000004700	Salvator_merianae
ENSPTIP00000013235	ENSPTIG00000013020	Panthera_tigris_altaica
ENSMLUP00000008710	ENSMLUG00000009545	Myotis_lucifugus
ENSSLDP00000000046	ENSSLDG00000000073	Seriola_lalandi_dorsalis
ENSLCAP00010055122	ENSLCAG00010025720	Lates_calcarifer
ENSBTAP00000053220	ENSBTAG00000014002	Bos_taurus
ENSAOCP00000021773	ENSAOCG00000000349	Amphiprion_ocellaris
ENSSDUP00000025568	ENSSDUG00000018555	Seriola_dumerili
ENSUAMP00000017088	ENSUAMG00000013501	Ursus_americanus
ENSTNIP00000017124	ENSTNIG00000014115	Tetraodon_nigroviridis
MGP_CAROLIEiJ_P0030603	MGP_CAROLIEiJ_G0017330	Mus_caroli_strain_CAROLI_EIJ
ENSPMJP00000023414	ENSPMJG00000017311	Parus_major
ENSCJPP00005027574	ENSCJPG00005021366	Coturnix_japonica
ENSBSLP00000000234	ENSBSLG00000000107	Betta_splendens
ENSMFAP00000037518	ENSMFAG00000037980	Macaca_fascicularis
ENSPFOP00000017994	ENSPFOG00000017885	Poecilia_formosa
ENSMAMP00000024497	ENSMAMG00000016480	Mastacembelus_armatus
ENSPPRP00000024576	ENSPPRG00000014792	Panthera_pardus
ENSORLP00015021243	ENSORLG00015022456	Oryzias_latipes_ASM223469v1
ENSMVIP00005016231	ENSMVIG00005011673	Manacus_vitellinus
ENSSPUP00000005771	ENSSPUG00000004407	Sphenodon_punctatus
ENSSARP00000007096	ENSSARG00000007833	Sorex_araneus
ENSFHEP00000015451	ENSFHEG00000017057	Fundulus_heteroclitus
ENSSCAP00000019342	ENSSCAG00000013970	Serinus_canaria
ENSLSDP00000021746	ENSLSDG00000015365	Lonchura_striata_domestica
ENSNSUP00000011963	ENSNSUG00000009001	Notechis_scutatus
ENSATEP00000009402	ENSATEG00000006623	Anabas_testudineus
ENSOPRP00000007524	ENSOPRG00000008223	Ochotona_princeps
ENSMPUP00000014631	ENSMPUG00000014740	Mustela_putorius_furo
ENSMOCP00000002445	ENSMOCG00000001907	Microtus_ochrogaster
ENSP00000450461	ENSG00000258890	Homo_sapiens
ENSCJAP00000035829	ENSCJAG00000019293	Callithrix_jacchus
ENSHHUP00000078465	ENSHHUG00000045792	Hucho_hucho
ENSAOWP00000005197	ENSAOWG00000003589	Apteryx_owenii
ENSCSAP00000000386	ENSCSAG00000004029	Chlorocebus_sabaeus
ENSMUNP00000022566	ENSMUNG00000016943	Melopsittacus_undulatus
ENSPLAP00000016560	ENSPLAG00000020731	Poecilia_latipinna
ENSSPAP00000030739	ENSSPAG00000023064	Stegastes_partitus
ENSPMEP00000033813	ENSPMEG00000022579	Poecilia_mexicana
ENSETEP00000016207	ENSETEG00000019953	Echinops_telfairi
ENSCAFP00000017205	ENSCAFG00000011702	Canis_lupus_familiaris
ENSECAP00000018584	ENSECAG00000020900	Equus_caballus
ENSHGLP00000002441	ENSHGLG00000001847	Heterocephalus_glaber_HetGla_female_1.0
ENSANAP00000027505	ENSANAG00000031572	Aotus_nancymaae
ENSECRP00000026716	ENSECRG00000018043	Erpetoichthys_calabaricus
ENSCHIP00000015308	ENSCHIG00000015865	Capra_hircus
ENSCAFP00020034245	ENSCAFG00020026560	Canis_lupus_dingo
MGP_PahariEiJ_P0037326	MGP_PahariEiJ_G0018460	Mus_pahari_strain_PAHARI_EIJ
ENSCLAP00000008150	ENSCLAG00000005716	Chinchilla_lanigera
ENSRBIP00000012641	ENSRBIG00000030288	Rhinopithecus_bieti
ENSCHAP00000042185	ENSCHAG00000019681	Clupea_harengus	ENSCHAT00000045629
ENSCHOP00000009852	ENSCHOG00000011126	Choloepus_hoffmanni
ENSGACP00000024103	ENSGACG00000018230	Gasterosteus_aculeatus
ENSELUP00000030379	ENSELUG00000007540	Esox_lucius
ENSABRP00000009438	ENSABRG00000008450	Anser_brachyrhynchus
ENSOARP00000016236	ENSOARG00000015133	Ovis_aries
ENSMMMP00000012494	ENSMMMG00000010820	Marmota_marmota_marmota
ENSSSCP00000027514	ENSSSCG00000028925	Sus_scrofa_strain_reference
ENSUAMP00000030461	ENSUAMG00000023390	Ursus_americanus
ENSTGEP00000030157	ENSTGEG00000024214	Theropithecus_gelada
ENSNPEP00000008079	ENSNPEG00000006049	Nothoprocta_perdicaria
ENSCPBP00000012187	ENSCPBG00000009235	Chrysemys_picta_bellii
ENSPTRP00000016211	ENSPTRG00000009544	Pan_troglodytes
ENSOCUP00000010981	ENSOCUG00000012756	Oryctolagus_cuniculus
ENSGAFP00000023703	ENSGAFG00000015996	Gambusia_affinis
ENSPNAP00000022171	ENSPNAG00000006403	Pygocentrus_nattereri
ENSONIP00000008115	ENSONIG00000006436	Oreochromis_niloticus
ENSLOCP00000016702	ENSLOCG00000013542	Lepisosteus_oculatus
ENSSPUP00000005857	ENSSPUG00000004480	Sphenodon_punctatus
ENSTRUP00000050345	ENSTRUG00000024188	Takifugu_rubripes
ENSZALP00000022544	ENSZALG00000017517	Zonotrichia_albicollis
ENSARWP00000010782	ENSARWG00000007482	Apteryx_rowi
ENSCCAP00000022203	ENSCCAG00000028848	Cebus_capucinus_imitator
ENSKMAP00000022643	ENSKMAG00000016816	Kryptolebias_marmoratus
ENSPRNP00000049629	ENSPRNG00000023675	Parambassis_ranga
ENSMAUP00000010723	ENSMAUG00000011495	Mesocricetus_auratus
ENSCINP00000034283	ENSCING00000024787	Ciona_intestinalis
ENSORLP00000017227	ENSORLG00000013735	Oryzias_latipes_ASM223467v1
ENSFDAP00000007501	ENSFDAG00000016003	Fukomys_damarensis
ENSCSEP00000015550	ENSCSEG00000009983	Cynoglossus_semilaevis
