ENSMMMP00000011617	ENSMMMG00000010399	Marmota_marmota_marmota
ENSSTOP00000019130	ENSSTOG00000024706	Ictidomys_tridecemlineatus
ENSSDAP00000015405	ENSSDAG00000013883	Spermophilus_dauricus
ENSUPAP00010028070	ENSUPAG00010022182	Urocitellus_parryii
ENSCCNP00000006189	ENSCCNG00000006526	Castor_canadensis
ENSCGRP00015027430	ENSCGRG00015020805	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019836	ENSCGRG00000014438	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001014729	ENSCGRG00001015541	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000264	ENSMAUG00000000246	Mesocricetus_auratus
ENSMOCP00000008124	ENSMOCG00000008049	Microtus_ochrogaster
ENSPEMP00000007808	ENSPEMG00000009648	Peromyscus_maniculatus_bairdii
ENSMSIP00000028019	ENSMSIG00000023592	Mus_spicilegus
MGP_SPRETEiJ_P0027459	MGP_SPRETEiJ_G0017031	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000020508	ENSMUSG00000020270	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0026110	MGP_CAROLIEiJ_G0016190	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032881	MGP_PahariEiJ_G0017326	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038766	ENSRNOG00000027196	Rattus_norvegicus
ENSMUGP00000007624	ENSMUGG00000006930	Meriones_unguiculatus
ENSNGAP00000001830	ENSNGAG00000001372	Nannospalax_galili
ENSJJAP00000015228	ENSJJAG00000017456	Jaculus_jaculus
ENSCLAP00000017753	ENSCLAG00000012177	Chinchilla_lanigera
ENSODEP00000002334	ENSODEG00000001818	Octodon_degus
ENSCAPP00000015572	ENSCAPG00000015667	Cavia_aperea
ENSCPOP00000006011	ENSCPOG00000006672	Cavia_porcellus
ENSHGLP00100002674	ENSHGLG00100002086	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013105	ENSHGLG00000009367	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002457	ENSFDAG00000012156	Fukomys_damarensis
ENSOPRP00000013446	ENSOPRG00000014742	Ochotona_princeps
ENSMFAP00000002047	ENSMFAG00000039057	Macaca_fascicularis
ENSMMUP00000062257	ENSMMUG00000057889	Macaca_mulatta
ENSMNEP00000010538	ENSMNEG00000029674	Macaca_nemestrina
ENSCSAP00000005899	ENSCSAG00000009650	Chlorocebus_sabaeus
ENSMLEP00000037319	ENSMLEG00000042760	Mandrillus_leucophaeus
ENSPANP00000001020	ENSPANG00000003366	Papio_anubis
ENSCATP00000014195	ENSCATG00000031141	Cercocebus_atys
ENSRROP00000027535	ENSRROG00000037550	Rhinopithecus_roxellana
ENSCANP00000039161	ENSCANG00000043246	Colobus_angolensis_palliatus
ENSRBIP00000016144	ENSRBIG00000032134	Rhinopithecus_bieti
ENSPTEP00000034118	ENSPTEG00000032437	Piliocolobus_tephrosceles
ENSPPAP00000001520	ENSPPAG00000006847	Pan_paniscus
ENSPTRP00000076629	ENSPTRG00000017525	Pan_troglodytes
ENSGGOP00000023398	ENSGGOG00000004301	Gorilla_gorilla
ENSP00000430818	ENSG00000185662	Homo_sapiens
ENSPPYP00000017951	ENSPPYG00000016039	Pongo_abelii
ENSNLEP00000000406	ENSNLEG00000000336	Nomascus_leucogenys
ENSCCAP00000020176	ENSCCAG00000027927	Cebus_capucinus_imitator
ENSSBOP00000003923	ENSSBOG00000018130	Saimiri_boliviensis_boliviensis
ENSCJAP00000035877	ENSCJAG00000019324	Callithrix_jacchus
ENSANAP00000002482	ENSANAG00000018501	Aotus_nancymaae
ENSTSYP00000028500	ENSTSYG00000007866	Carlito_syrichta
ENSPSMP00000024147	ENSPSMG00000017034	Prolemur_simus
ENSPCOP00000012828	ENSPCOG00000018006	Propithecus_coquereli
ENSOGAP00000021119	ENSOGAG00000025446	Otolemur_garnettii
ENSSSCP00000063987	ENSSSCG00000044666	Sus_scrofa_strain_reference
ENSOARP00000003868	ENSOARG00000003627	Ovis_aries
ENSTTRP00000011557	ENSTTRG00000012193	Tursiops_truncatus
ENSVPAP00000002426	ENSVPAG00000002625	Vicugna_pacos
ENSUMAP00000034254	ENSUMAG00000024651	Ursus_maritimus
ENSUAMP00000032216	ENSUAMG00000024630	Ursus_americanus
ENSAMEP00000011673	ENSAMEG00000011105	Ailuropoda_melanoleuca
ENSMPUP00000012746	ENSMPUG00000012844	Mustela_putorius_furo
ENSCAFP00000024858	ENSCAFG00000016902	Canis_lupus_familiaris
ENSVVUP00000003347	ENSVVUG00000002597	Vulpes_vulpes
ENSPPRP00000023109	ENSPPRG00000013401	Panthera_pardus
ENSPTIP00000025950	ENSPTIG00000021545	Panthera_tigris_altaica
ENSFCAP00000034316	ENSFCAG00000044613	Felis_catus
ENSPVAP00000012361	ENSPVAG00000013109	Pteropus_vampyrus
ENSECAP00000016027	ENSECAG00000018524	Equus_caballus
ENSEASP00005017198	ENSEASG00005011910	Equus_asinus_asinus
ENSCHOP00000009009	ENSCHOG00000010184	Choloepus_hoffmanni
ENSDNOP00000012434	ENSDNOG00000016030	Dasypus_novemcinctus
ENSLAFP00000006388	ENSLAFG00000007608	Loxodonta_africana
ENSPCIP00000017836	ENSPCIG00000013606	Phascolarctos_cinereus
ENSSHAP00000013719	ENSSHAG00000011730	Sarcophilus_harrisii
