ENSTGEP00000007682	ENSTGEG00000006295	Theropithecus_gelada	ENSTGET00000009258
ENSPTEP00000019926	ENSPTEG00000021213	Piliocolobus_tephrosceles	ENSPTET00000029011
ENSCJAP00000078422	ENSCJAG00000055187	Callithrix_jacchus	ENSCJAT00000097929
ENSPSMP00000005037	ENSPSMG00000003923	Prolemur_simus	ENSPSMT00000006043
ENSCGRP00001002795	ENSCGRG00001003201	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025924	ENSCGRG00000018947	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000334	ENSCGRG00015000354	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000033115	ENSPEMG00000031317	Peromyscus_maniculatus_bairdii
ENSMSIP00000022898	ENSMSIG00000019462	Mus_spicilegus
MGP_SPRETEiJ_P0064554	MGP_SPRETEiJ_G0026912	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000060748	ENSMUSG00000050215	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0062091	MGP_CAROLIEiJ_G0025951	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057811	MGP_PahariEiJ_G0024096	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020957	ENSRNOG00000015652	Rattus_norvegicus
ENSMUGP00000007150	ENSMUGG00000006570	Meriones_unguiculatus
ENSNGAP00000022131	ENSNGAG00000021114	Nannospalax_galili
ENSJJAP00000007738	ENSJJAG00000012082	Jaculus_jaculus
ENSCCNP00000029659	ENSCCNG00000028408	Castor_canadensis
ENSSDAP00000023760	ENSSDAG00000021659	Spermophilus_dauricus
ENSSTOP00000015159	ENSSTOG00000007067	Ictidomys_tridecemlineatus
ENSUPAP00010022178	ENSUPAG00010017627	Urocitellus_parryii
ENSSDAP00000023770	ENSSDAG00000021662	Spermophilus_dauricus
ENSCAPP00000005337	ENSCAPG00000007701	Cavia_aperea
ENSCPOP00000018831	ENSCPOG00000022117	Cavia_porcellus
ENSCLAP00000003254	ENSCLAG00000002334	Chinchilla_lanigera
ENSOCUP00000025765	ENSOCUG00000026831	Oryctolagus_cuniculus
ENSBMUP00000012399	ENSBMUG00000009479	Bos_mutus
ENSBTAP00000059376	ENSBTAG00000052564	Bos_taurus
ENSBIXP00005020732	ENSBIXG00005023764	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000008956	ENSBBBG00000017009	Bison_bison_bison
ENSBBBP00000008976	ENSBBBG00000017026	Bison_bison_bison
ENSBTAP00000059227	ENSBTAG00000052875	Bos_taurus
ENSBIXP00005029112	ENSBIXG00005008983	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005040937	ENSBIXG00005004069	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036167	ENSBIXG00000019576	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000058484	ENSBTAG00000053732	Bos_taurus
ENSBMUP00000032514	ENSBMUG00000024257	Bos_mutus
ENSBMUP00000012534	ENSBMUG00000009576	Bos_mutus
ENSBMUP00000012461	ENSBMUG00000009534	Bos_mutus
ENSBIXP00000036157	ENSBIXG00000019574	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000008945	ENSBBBG00000016996	Bison_bison_bison
ENSOARP00000001493	ENSOARG00000001435	Ovis_aries
ENSCHIP00000011859	ENSCHIG00000013865	Capra_hircus
ENSSSCP00000005720	ENSSSCG00000005326	Sus_scrofa_strain_reference
ENSMLUP00000022227	ENSMLUG00000023784	Myotis_lucifugus
ENSUAMP00000012235	ENSUAMG00000009922	Ursus_americanus
ENSUMAP00000009873	ENSUMAG00000007462	Ursus_maritimus
ENSAMEP00000020396	ENSAMEG00000019337	Ailuropoda_melanoleuca
ENSMPUP00000018386	ENSMPUG00000018504	Mustela_putorius_furo
ENSCAFP00000056422	ENSCAFG00000048742	Canis_lupus_familiaris
ENSFCAP00000025673	ENSFCAG00000030010	Felis_catus
ENSDNOP00000024530	ENSDNOG00000040303	Dasypus_novemcinctus
ENSLAFP00000023053	ENSLAFG00000026344	Loxodonta_africana
