ENSBSLP00000004251	ENSBSLG00000002168	Betta_splendens
ENSMALP00000010416	ENSMALG00000007412	Monopterus_albus
ENSGWIP00000030065	ENSGWIG00000015650	Gouania_willdenowi	ENSGWIT00000032784
ENSSMAP00000017449	ENSSMAG00000010708	Scophthalmus_maximus
ENSMAMP00000030766	ENSMAMG00000020740	Mastacembelus_armatus
ENSATEP00000001147	ENSATEG00000000814	Anabas_testudineus
ENSLCAP00010044817	ENSLCAG00010020833	Lates_calcarifer
ENSFHEP00000010274	ENSFHEG00000011576	Fundulus_heteroclitus
ENSCVAP00000017543	ENSCVAG00000020670	Cyprinodon_variegatus
ENSPFOP00000025191	ENSPFOG00000022228	Poecilia_formosa
ENSPLAP00000014128	ENSPLAG00000017734	Poecilia_latipinna
ENSPMEP00000024201	ENSPMEG00000006345	Poecilia_mexicana
ENSPREP00000027514	ENSPREG00000018618	Poecilia_reticulata
ENSXMAP00000038363	ENSXMAG00000023022	Xiphophorus_maculatus
ENSXCOP00000015828	ENSXCOG00000011952	Xiphophorus_couchianus
ENSGAFP00000005991	ENSGAFG00000004080	Gambusia_affinis
ENSORLP00000033100	ENSORLG00000026043	Oryzias_latipes_ASM223467v1
ENSORLP00015002403	ENSORLG00015003062	Oryzias_latipes_ASM223469v1
ENSOMEP00000019545	ENSOMEG00000021360	Oryzias_melastigma
ENSAPOP00000011233	ENSAPOG00000013815	Acanthochromis_polyacanthus
ENSAOCP00000024402	ENSAOCG00000011174	Amphiprion_ocellaris
ENSTRUP00000050058	ENSTRUG00000025012	Takifugu_rubripes
ENSLBEP00000035324	ENSLBEG00000026516	Labrus_bergylta
ENSKMAP00000010406	ENSKMAG00000007815	Kryptolebias_marmoratus
ENSHBUP00000012250	ENSHBUG00000013970	Haplochromis_burtoni
ENSPNYP00000009557	ENSPNYG00000007225	Pundamilia_nyererei
ENSMZEP00005025467	ENSMZEG00005019009	Maylandia_zebra
ENSACLP00000012446	ENSACLG00000008502	Astatotilapia_calliptera
ENSNBRP00000022127	ENSNBRG00000016959	Neolamprologus_brichardi
ENSACIP00000011328	ENSACIG00000008833	Amphilophus_citrinellus
ENSPRNP00000041738	ENSPRNG00000020451	Parambassis_ranga
ENSLCRP00005033901	ENSLCRG00005013306	Larimichthys_crocea
ENSSLDP00000025233	ENSSLDG00000019640	Seriola_lalandi_dorsalis
ENSSDUP00000017032	ENSSDUG00000012429	Seriola_dumerili
ENSPMGP00000020818	ENSPMGG00000016872	Periophthalmus_magnuspinnatus
ENSMMOP00000007672	ENSMMOG00000005972	Mola_mola
ENSHCOP00000005100	ENSHCOG00000006704	Hippocampus_comes
ENSGMOP00000018227	ENSGMOG00000016973	Gadus_morhua
ENSELUP00000008822	ENSELUG00000009411	Esox_lucius
ENSLOCP00000020381	ENSLOCG00000016500	Lepisosteus_oculatus
