ENSNVIP00000018157	ENSNVIG00000014218	Neovison_vison
ENSVURP00010022678	ENSVURG00010017391	Vombatus_ursinus
ENSBIXP00000023341	ENSBIXG00000025831	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSP00000389554	ENSG00000225556	Homo_sapiens
ENSODEP00000014556	ENSODEG00000010767	Octodon_degus
ENSTGEP00000021742	ENSTGEG00000017561	Theropithecus_gelada
ENSSSCP00000027771	ENSSSCG00000021540	Sus_scrofa_strain_reference
ENSMUGP00000003447	ENSMUGG00000003220	Meriones_unguiculatus
MGP_CAROLIEiJ_P0058969	MGP_CAROLIEiJ_G0025307	Mus_caroli_strain_CAROLI_EIJ
ENSCCNP00000030381	ENSCCNG00000029091	Castor_canadensis
ENSNLEP00000012558	ENSNLEG00000010314	Nomascus_leucogenys
ENSHGLP00000020271	ENSHGLG00000014503	Heterocephalus_glaber_HetGla_female_1.0
MGP_SPRETEiJ_P0061324	MGP_SPRETEiJ_G0026249	Mus_spretus_strain_SPRET/EiJ
ENSCPOP00000028864	ENSCPOG00000031360	Cavia_porcellus
ENSEASP00005007067	ENSEASG00005005203	Equus_asinus_asinus
ENSVURP00010018350	ENSVURG00010014005	Vombatus_ursinus
ENSMFAP00000012443	ENSMFAG00000024463	Macaca_fascicularis
ENSCATP00000000418	ENSCATG00000002143	Cercocebus_atys
ENSSMRP00000027817	ENSSMRG00000021436	Salvator_merianae	ENSSMRT00000032474
ENSCPBP00000011562	ENSCPBG00000008801	Chrysemys_picta_bellii
ENSCJAP00000063601	ENSCJAG00000043969	Callithrix_jacchus
ENSPTEP00000028100	ENSPTEG00000027828	Piliocolobus_tephrosceles
ENSMODP00000039675	ENSMODG00000027860	Monodelphis_domestica
ENSGGOP00000020767	ENSGGOG00000028484	Gorilla_gorilla
ENSBTAP00000054260	ENSBTAG00000047528	Bos_taurus
ENSACAP00000000482	ENSACAG00000000587	Anolis_carolinensis
ENSPPRP00000029661	ENSPPRG00000022384	Panthera_pardus
ENSNGAP00000011149	ENSNGAG00000013377	Nannospalax_galili
ENSCSAP00000017956	ENSCSAG00000018413	Chlorocebus_sabaeus
ENSMSIP00000001769	ENSMSIG00000001702	Mus_spicilegus
ENSNSUP00000000403	ENSNSUG00000000405	Notechis_scutatus	ENSNSUT00000000442
ENSCABP00000011285	ENSCABG00000008410	Chelonoidis_abingdonii
ENSPCIP00000028447	ENSPCIG00000021238	Phascolarctos_cinereus
ENSOARP00000022637	ENSOARG00000021065	Ovis_aries
ENSUPAP00010006097	ENSUPAG00010004925	Urocitellus_parryii
ENSMAUP00000010000	ENSMAUG00000011021	Mesocricetus_auratus
ENSOGAP00000017511	ENSOGAG00000033100	Otolemur_garnettii
ENSRNOP00000028263	ENSRNOG00000020832	Rattus_norvegicus
ENSMUSP00000128182	ENSMUSG00000091648	Mus_musculus_strain_reference_(CL57BL6)
ENSDNOP00000031884	ENSDNOG00000046941	Dasypus_novemcinctus
ENSGAGP00000006787	ENSGAGG00000005479	Gopherus_agassizii	ENSGAGT00000007879
ENSMNEP00000004466	ENSMNEG00000020684	Macaca_nemestrina
ENSSHAP00000018944	ENSSHAG00000016081	Sarcophilus_harrisii
ENSPANP00000009083	ENSPANG00000002233	Papio_anubis
MGP_PahariEiJ_P0069919	MGP_PahariEiJ_G0026750	Mus_pahari_strain_PAHARI_EIJ
ENSPPYP00000024562	ENSPPYG00000029725	Pongo_abelii
ENSCGRP00015028288	ENSCGRG00015021425	Cricetulus_griseus_CriGri-PICR
ENSECRP00000009788	ENSECRG00000006559	Erpetoichthys_calabaricus
ENSSPUP00000003027	ENSSPUG00000002349	Sphenodon_punctatus
ENSPVIP00000029247	ENSPVIG00000021581	Pogona_vitticeps	ENSPVIT00000035829
ENSCHIP00000007069	ENSCHIG00000010717	Capra_hircus
ENSFCAP00000016568	ENSFCAG00000026060	Felis_catus
ENSPSMP00000003830	ENSPSMG00000003103	Prolemur_simus
ENSMMUP00000018860	ENSMMUG00000014358	Macaca_mulatta
ENSCGRP00001006419	ENSCGRG00001008662	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000032983	ENSPEMG00000029177	Peromyscus_maniculatus_bairdii
ENSPSIP00000000600	ENSPSIG00000000600	Pelodiscus_sinensis
ENSBIXP00005045654	ENSBIXG00005001695	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSECAP00000024855	ENSECAG00000028243	Equus_caballus
ENSPTRP00000060533	ENSPTRG00000041010	Pan_troglodytes
