ENSPPAP00000016703	ENSPPAG00000031448	Pan_paniscus	ENSPPAT00000039401
ENSPTRP00000057359	ENSPTRG00000011112	Pan_troglodytes	ENSPTRT00000065793
ENSGGOP00000018906	ENSGGOG00000008607	Gorilla_gorilla	ENSGGOT00000034660
ENSP00000291182	ENSG00000159917	Homo_sapiens
ENSPPYP00000011284	ENSPPYG00000010086	Pongo_abelii
ENSCANP00000012310	ENSCANG00000029539	Colobus_angolensis_palliatus
ENSPTEP00000033397	ENSPTEG00000031892	Piliocolobus_tephrosceles
ENSRBIP00000006150	ENSRBIG00000026071	Rhinopithecus_bieti
ENSRROP00000018641	ENSRROG00000033359	Rhinopithecus_roxellana
ENSMNEP00000007232	ENSMNEG00000028194	Macaca_nemestrina
ENSMMUP00000016816	ENSMMUG00000012801	Macaca_mulatta
ENSMFAP00000022047	ENSMFAG00000035923	Macaca_fascicularis
ENSCATP00000009960	ENSCATG00000029278	Cercocebus_atys
ENSMLEP00000020285	ENSMLEG00000034346	Mandrillus_leucophaeus
ENSTGEP00000021032	ENSTGEG00000016954	Theropithecus_gelada
ENSPANP00000011460	ENSPANG00000006495	Papio_anubis
ENSCSAP00000014726	ENSCSAG00000003323	Chlorocebus_sabaeus
ENSSBOP00000023553	ENSSBOG00000028285	Saimiri_boliviensis_boliviensis
ENSCCAP00000039674	ENSCCAG00000037645	Cebus_capucinus_imitator
ENSCJAP00000024399	ENSCJAG00000039837	Callithrix_jacchus
ENSANAP00000039697	ENSANAG00000037223	Aotus_nancymaae
ENSTSYP00000014468	ENSTSYG00000027063	Carlito_syrichta
ENSPSMP00000015684	ENSPSMG00000011152	Prolemur_simus
ENSPCOP00000021891	ENSPCOG00000022996	Propithecus_coquereli
ENSMICP00000028650	ENSMICG00000004971	Microcebus_murinus
ENSHGLP00000004990	ENSHGLG00000003657	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013627	ENSHGLG00100010077	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006967	ENSFDAG00000015590	Fukomys_damarensis
ENSODEP00000011920	ENSODEG00000008851	Octodon_degus
ENSODEP00000014212	ENSODEG00000010507	Octodon_degus
ENSCPOP00000022377	ENSCPOG00000039731	Cavia_porcellus
ENSCAPP00000001405	ENSCAPG00000002667	Cavia_aperea
ENSMUGP00000025569	ENSMUGG00000021330	Meriones_unguiculatus
ENSMUGP00000003545	ENSMUGG00000002753	Meriones_unguiculatus
ENSCGRP00015018265	ENSCGRG00015014037	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014576	ENSCGRG00001015424	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002073	ENSMAUG00000001537	Mesocricetus_auratus
ENSMOCP00000019974	ENSMOCG00000017799	Microtus_ochrogaster
ENSNGAP00000007146	ENSNGAG00000010473	Nannospalax_galili
ENSJJAP00000024929	ENSJJAG00000024260	Jaculus_jaculus
ENSCCNP00000001579	ENSCCNG00000001793	Castor_canadensis
ENSSDAP00000010911	ENSSDAG00000009868	Spermophilus_dauricus
ENSUPAP00010027662	ENSUPAG00010021860	Urocitellus_parryii
ENSMMMP00000018093	ENSMMMG00000016063	Marmota_marmota_marmota
ENSTBEP00000001156	ENSTBEG00000001345	Tupaia_belangeri
ENSBIXP00000034220	ENSBIXG00000017152	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005016940	ENSBIXG00005003463	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010143	ENSBTAG00000007714	Bos_taurus
ENSBMUP00000024033	ENSBMUG00000018045	Bos_mutus
ENSBBBP00000022317	ENSBBBG00000016134	Bison_bison_bison
ENSCHIP00000013559	ENSCHIG00000014937	Capra_hircus
ENSOARP00000009706	ENSOARG00000009044	Ovis_aries
ENSSSCP00000020416	ENSSSCG00000022434	Sus_scrofa_strain_reference
ENSTTRP00000006338	ENSTTRG00000006707	Tursiops_truncatus
ENSVPAP00000000129	ENSVPAG00000000139	Vicugna_pacos
ENSEASP00005019800	ENSEASG00005013637	Equus_asinus_asinus
ENSECAP00000021134	ENSECAG00000023724	Equus_caballus
ENSMLUP00000012541	ENSMLUG00000013784	Myotis_lucifugus
ENSPVAP00000004158	ENSPVAG00000004392	Pteropus_vampyrus
ENSUMAP00000031999	ENSUMAG00000023068	Ursus_maritimus
ENSUAMP00000006199	ENSUAMG00000005458	Ursus_americanus
ENSAMEP00000013611	ENSAMEG00000012930	Ailuropoda_melanoleuca
ENSNVIP00000009012	ENSNVIG00000007123	Neovison_vison
ENSMPUP00000006421	ENSMPUG00000006476	Mustela_putorius_furo
ENSCAFP00020016275	ENSCAFG00020013058	Canis_lupus_dingo
ENSVVUP00000011643	ENSVVUG00000008581	Vulpes_vulpes
ENSPTIP00000025994	ENSPTIG00000021573	Panthera_tigris_altaica
ENSPPRP00000024391	ENSPPRG00000014617	Panthera_pardus
ENSFCAP00000026442	ENSFCAG00000043995	Felis_catus
ENSEEUP00000006240	ENSEEUG00000006864	Erinaceus_europaeus
ENSSARP00000007359	ENSSARG00000008140	Sorex_araneus
ENSNLEP00000043913	ENSNLEG00000006337	Nomascus_leucogenys
ENSCAPP00000014657	ENSCAPG00000014969	Cavia_aperea
ENSVPAP00000004711	ENSVPAG00000005080	Vicugna_pacos
ENSLAFP00000009360	ENSLAFG00000011186	Loxodonta_africana
ENSPCAP00000004827	ENSPCAG00000005203	Procavia_capensis
ENSDNOP00000018038	ENSDNOG00000042106	Dasypus_novemcinctus
