ENSAPEP00000030256	ENSAPEG00000021496	Amphiprion_percula
ENSAPOP00000020007	ENSAPOG00000023538	Acanthochromis_polyacanthus
ENSAOCP00000018044	ENSAOCG00000001671	Amphiprion_ocellaris
ENSPRNP00000050102	ENSPRNG00000023853	Parambassis_ranga
ENSPRNP00000050099	ENSPRNG00000023852	Parambassis_ranga
ENSPRNP00000050095	ENSPRNG00000023848	Parambassis_ranga
ENSACLP00000021516	ENSACLG00000014623	Astatotilapia_calliptera
ENSMZEP00005035810	ENSMZEG00005026737	Maylandia_zebra
ENSPNYP00000026254	ENSPNYG00000019807	Pundamilia_nyererei
ENSACLP00000021552	ENSACLG00000014651	Astatotilapia_calliptera
ENSMZEP00005035809	ENSMZEG00005026736	Maylandia_zebra
ENSONIP00000004025	ENSONIG00000003209	Oreochromis_niloticus
ENSPNYP00000030003	ENSPNYG00000022624	Pundamilia_nyererei
ENSHBUP00000026948	ENSHBUG00000009887	Haplochromis_burtoni
ENSACLP00000022072	ENSACLG00000015000	Astatotilapia_calliptera
ENSNBRP00000031537	ENSNBRG00000023964	Neolamprologus_brichardi
ENSONIP00000020888	ENSONIG00000016586	Oreochromis_niloticus
ENSACLP00000022094	ENSACLG00000015011	Astatotilapia_calliptera	ENSACLT00000022609
ENSACIP00000005492	ENSACIG00000004337	Amphilophus_citrinellus
ENSONIP00000020890	ENSONIG00000016588	Oreochromis_niloticus
ENSPFOP00000002816	ENSPFOG00000002958	Poecilia_formosa
ENSATEP00000035931	ENSATEG00000024692	Anabas_testudineus
ENSATEP00000035934	ENSATEG00000024694	Anabas_testudineus
ENSLBEP00000005298	ENSLBEG00000004075	Labrus_bergylta
ENSLBEP00000011251	ENSLBEG00000008669	Labrus_bergylta
ENSLBEP00000005406	ENSLBEG00000004151	Labrus_bergylta
ENSCGOP00000026444	ENSCGOG00000012467	Cottoperca_gobio
