ENSMNEP00000018200	ENSMNEG00000033051	Macaca_nemestrina
ENSMLEP00000007872	ENSMLEG00000028068	Mandrillus_leucophaeus
ENSCATP00000023764	ENSCATG00000035436	Cercocebus_atys
ENSRBIP00000036997	ENSRBIG00000042105	Rhinopithecus_bieti
ENSRROP00000004831	ENSRROG00000020038	Rhinopithecus_roxellana
ENSPTEP00000037818	ENSPTEG00000035302	Piliocolobus_tephrosceles
ENSPANP00000026639	ENSPANG00000032053	Papio_anubis
ENSPTRP00000071979	ENSPTRG00000043811	Pan_troglodytes
ENSPPAP00000009346	ENSPPAG00000027893	Pan_paniscus
ENSP00000333534	ENSG00000197446	Homo_sapiens
ENSGGOP00000009491	ENSGGOG00000009716	Gorilla_gorilla
ENSPTRP00000065106	ENSPTRG00000047387	Pan_troglodytes
ENSPTRP00000079576	ENSPTRG00000049904	Pan_troglodytes
ENSNLEP00000016810	ENSNLEG00000013856	Nomascus_leucogenys
ENSCJAP00000027425	ENSCJAG00000034902	Callithrix_jacchus
ENSSBOP00000031473	ENSSBOG00000031960	Saimiri_boliviensis_boliviensis
ENSCCAP00000016300	ENSCCAG00000025947	Cebus_capucinus_imitator
ENSANAP00000038789	ENSANAG00000036840	Aotus_nancymaae
ENSTSYP00000028055	ENSTSYG00000034710	Carlito_syrichta
ENSPCOP00000000181	ENSPCOG00000000442	Propithecus_coquereli
ENSPSMP00000031959	ENSPSMG00000022166	Prolemur_simus
ENSMICP00000040961	ENSMICG00000031763	Microcebus_murinus
ENSMSIP00000032220	ENSMSIG00000027002	Mus_spicilegus	ENSMSIT00000040661
MGP_SPRETEiJ_P0081489	MGP_SPRETEiJ_G0030494	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0081489
ENSMUSP00000003100	ENSMUSG00000052974	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0078173	MGP_CAROLIEiJ_G0029396	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0015067	MGP_PahariEiJ_G0012633	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000058858	ENSRNOG00000032805	Rattus_norvegicus
ENSMUGP00000015146	ENSMUGG00000013070	Meriones_unguiculatus
ENSPEMP00000016437	ENSPEMG00000015661	Peromyscus_maniculatus_bairdii
ENSMOCP00000018199	ENSMOCG00000016568	Microtus_ochrogaster
ENSCGRP00001023628	ENSCGRG00001021800	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015032117	ENSCGRG00015024240	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021013	ENSCGRG00000015280	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000025375	ENSMAUG00000021936	Mesocricetus_auratus
ENSNGAP00000024587	ENSNGAG00000022802	Nannospalax_galili
ENSJJAP00000005469	ENSJJAG00000010382	Jaculus_jaculus
ENSDORP00000001216	ENSDORG00000001302	Dipodomys_ordii
ENSDORP00000019185	ENSDORG00000028041	Dipodomys_ordii
ENSCCNP00000021658	ENSCCNG00000021406	Castor_canadensis
ENSHGLP00000003550	ENSHGLG00000002623	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020336	ENSHGLG00100015000	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018573	ENSFDAG00000009725	Fukomys_damarensis
ENSCPOP00000026406	ENSCPOG00000037474	Cavia_porcellus
ENSCLAP00000001309	ENSCLAG00000000994	Chinchilla_lanigera
ENSODEP00000002065	ENSODEG00000001618	Octodon_degus
ENSUPAP00010028383	ENSUPAG00010022415	Urocitellus_parryii
ENSSTOP00000022862	ENSSTOG00000026309	Ictidomys_tridecemlineatus
ENSSDAP00000002167	ENSSDAG00000002084	Spermophilus_dauricus
ENSMMMP00000022616	ENSMMMG00000019855	Marmota_marmota_marmota
ENSECAP00000028573	ENSECAG00000007161	Equus_caballus
ENSEASP00005007132	ENSEASG00005005241	Equus_asinus_asinus
ENSECAP00000043561	ENSECAG00000032340	Equus_caballus
ENSEASP00005007128	ENSEASG00005005239	Equus_asinus_asinus
ENSUAMP00000017395	ENSUAMG00000013806	Ursus_americanus
ENSUMAP00000027364	ENSUMAG00000019834	Ursus_maritimus
ENSAMEP00000012831	ENSAMEG00000012180	Ailuropoda_melanoleuca
ENSMPUP00000017560	ENSMPUG00000017672	Mustela_putorius_furo
ENSNVIP00000015523	ENSNVIG00000012144	Neovison_vison
ENSCAFP00020018672	ENSCAFG00020014841	Canis_lupus_dingo
ENSVVUP00000007381	ENSVVUG00000005601	Vulpes_vulpes
ENSCAFP00000007559	ENSCAFG00000023821	Canis_lupus_familiaris
ENSPPRP00000018856	ENSPPRG00000010393	Panthera_pardus
ENSPTIP00000018457	ENSPTIG00000016580	Panthera_tigris_altaica
ENSFCAP00000018752	ENSFCAG00000027930	Felis_catus
ENSMLUP00000018693	ENSMLUG00000026190	Myotis_lucifugus
ENSCHIP00000012667	ENSCHIG00000014344	Capra_hircus
ENSOARP00000007605	ENSOARG00000007090	Ovis_aries
ENSBIXP00005035170	ENSBIXG00005016260	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000054749	ENSBTAG00000046805	Bos_taurus
ENSBIXP00000033901	ENSBIXG00000016715	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000030757	ENSBMUG00000022981	Bos_mutus
ENSBBBP00000009158	ENSBBBG00000017244	Bison_bison_bison
ENSTTRP00000000575	ENSTTRG00000000612	Tursiops_truncatus
ENSSSCP00000003244	ENSSSCG00000002994	Sus_scrofa_strain_reference
ENSETEP00000011661	ENSETEG00000014367	Echinops_telfairi
ENSOCUP00000018125	ENSOCUG00000029574	Oryctolagus_cuniculus
ENSOPRP00000013588	ENSOPRG00000014885	Ochotona_princeps
ENSEEUP00000011276	ENSEEUG00000012360	Erinaceus_europaeus
ENSVURP00010031230	ENSVURG00010023884	Vombatus_ursinus
