ENSFALP00000006303	ENSFALG00000006043	Ficedula_albicollis	ENSFALT00000006332
ENSMGAP00000001943	ENSMGAG00000002380	Meleagris_gallopavo	ENSMGAT00000002614
ENSACAP00000003386	ENSACAG00000003500	Anolis_carolinensis	ENSACAT00000003469
ENSCGRP00001008904	ENSCGRG00001011094	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000003389	ENSCGRG00000002493	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000012111	ENSMOCG00000012324	Microtus_ochrogaster
MGP_SPRETEiJ_P0091068	MGP_SPRETEiJ_G0033233	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0087477	MGP_CAROLIEiJ_G0032094	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023133	MGP_PahariEiJ_G0014963	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000025669	ENSNGAG00000023549	Nannospalax_galili
ENSJJAP00000013305	ENSJJAG00000016113	Jaculus_jaculus
ENSDORP00000027334	ENSDORG00000023239	Dipodomys_ordii
ENSCAPP00000000425	ENSCAPG00000000360	Cavia_aperea
ENSCPOP00000021056	ENSCPOG00000022924	Cavia_porcellus
ENSODEP00000009118	ENSODEG00000006811	Octodon_degus
ENSCLAP00000017980	ENSCLAG00000012333	Chinchilla_lanigera
ENSHGLP00100021240	ENSHGLG00100015641	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019851	ENSHGLG00000014211	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021479	ENSFDAG00000007678	Fukomys_damarensis
ENSOGAP00000016355	ENSOGAG00000032505	Otolemur_garnettii
ENSAMEP00000008164	ENSAMEG00000007758	Ailuropoda_melanoleuca
ENSMPUP00000005507	ENSMPUG00000005548	Mustela_putorius_furo
ENSOARP00000017364	ENSOARG00000016172	Ovis_aries
ENSLACP00000016819	ENSLACG00000014814	Latimeria_chalumnae
ENSLOCP00000007042	ENSLOCG00000005832	Lepisosteus_oculatus
