ENSCPGP00000021192	ENSCPGG00000014801	Calidris_pygmaea
ENSMUNP00000006510	ENSMUNG00000005224	Melopsittacus_undulatus
ENSZALP00000010950	ENSZALG00000009251	Zonotrichia_albicollis
ENSJHYP00000021407	ENSJHYG00000016212	Junco_hyemalis
ENSSCAP00000019770	ENSSCAG00000014281	Serinus_canaria
ENSLSDP00000014102	ENSLSDG00000010188	Lonchura_striata_domestica
ENSPMJP00000010866	ENSPMJG00000008497	Parus_major
ENSCCEP00000014101	ENSCCEG00000013481	Cyanistes_caeruleus
ENSABRP00000013853	ENSABRG00000012285	Anser_brachyrhynchus
ENSAPLP00000027992	ENSAPLG00000025229	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000021950	ENSAHAG00000015429	Apteryx_haastii
ENSARWP00000013422	ENSARWG00000009301	Apteryx_rowi
ENSAOWP00000022902	ENSAOWG00000015463	Apteryx_owenii
ENSNPEP00000011990	ENSNPEG00000008982	Nothoprocta_perdicaria
ENSMVIP00005024189	ENSMVIG00005016971	Manacus_vitellinus
ENSCJPP00005009902	ENSCJPG00005008673	Coturnix_japonica
ENSCPRP00005001212	ENSCPRG00005000927	Crocodylus_porosus
ENSCABP00000026966	ENSCABG00000019795	Chelonoidis_abingdonii	ENSCABT00000029532
ENSGAGP00000033709	ENSGAGG00000023996	Gopherus_agassizii	ENSGAGT00000038183
ENSCPBP00000024077	ENSCPBG00000017155	Chrysemys_picta_bellii
ENSNSUP00000014032	ENSNSUG00000010391	Notechis_scutatus
ENSPVIP00000016671	ENSPVIG00000012885	Pogona_vitticeps
