ENSXETP00000026920	ENSXETG00000009530	Xenopus_tropicalis
ENSKMAP00000018415	ENSKMAG00000013711	Kryptolebias_marmoratus
ENSPEMP00000012774	ENSPEMG00000013011	Peromyscus_maniculatus_bairdii
ENSDARP00000122861	ENSDARG00000028896	Danio_rerio
ENSMAUP00000007790	ENSMAUG00000009359	Mesocricetus_auratus
ENSSBOP00000009702	ENSSBOG00000021722	Saimiri_boliviensis_boliviensis
ENSCGRP00001000747	ENSCGRG00001000586	Cricetulus_griseus_CHOK1GS_HDv1
ENSACLP00000000932	ENSACLG00000000674	Astatotilapia_calliptera
ENSTGUP00000000603	ENSTGUG00000000592	Taeniopygia_guttata
ENSPANP00000035106	ENSPANG00000009248	Papio_anubis
ENSCCAP00000034213	ENSCCAG00000035018	Cebus_capucinus_imitator
ENSUPAP00010004947	ENSUPAG00010004006	Urocitellus_parryii
ENSAMXP00000031863	ENSAMXG00000043998	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCGOP00000055245	ENSCGOG00000024116	Cottoperca_gobio
ENSPVIP00000031393	ENSPVIG00000023090	Pogona_vitticeps
ENSKMAP00000000509	ENSKMAG00000000397	Kryptolebias_marmoratus
ENSCSAP00000009310	ENSCSAG00000013136	Chlorocebus_sabaeus
ENSNPEP00000002439	ENSNPEG00000001857	Nothoprocta_perdicaria
ENSCCAP00000019293	ENSCCAG00000027488	Cebus_capucinus_imitator
ENSACAP00000008750	ENSACAG00000008865	Anolis_carolinensis
ENSCAPP00000011734	ENSCAPG00000012746	Cavia_aperea
ENSCGRP00000022889	ENSCGRG00000016579	Cricetulus_griseus_CriGri_1.0
ENSTRUP00000056983	ENSTRUG00000019987	Takifugu_rubripes
ENSMODP00000008133	ENSMODG00000006556	Monodelphis_domestica
ENSSHAP00000000096	ENSSHAG00000000085	Sarcophilus_harrisii
ENSCPBP00000014502	ENSCPBG00000010793	Chrysemys_picta_bellii
ENSAMXP00005009320	ENSAMXG00005005313	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPREP00000015726	ENSPREG00000010608	Poecilia_reticulata
ENSFCAP00000060436	ENSFCAG00000049785	Felis_catus
ENSMZEP00005000359	ENSMZEG00005000358	Maylandia_zebra
ENSXCOP00000013442	ENSXCOG00000010194	Xiphophorus_couchianus
ENSORLP00000017857	ENSORLG00000014235	Oryzias_latipes_ASM223467v1
ENSSPUP00000006414	ENSSPUG00000004945	Sphenodon_punctatus
ENSNGAP00000004619	ENSNGAG00000006196	Nannospalax_galili
ENSOARP00000008877	ENSOARG00000008281	Ovis_aries
ENSSBOP00000007411	ENSSBOG00000020659	Saimiri_boliviensis_boliviensis
ENSTRUP00000040887	ENSTRUG00000015990	Takifugu_rubripes
ENSORLP00015010326	ENSORLG00015011160	Oryzias_latipes_ASM223469v1
ENSSFOP00015004445	ENSSFOG00015002895	Scleropages_formosus
ENSMAMP00000004337	ENSMAMG00000002922	Mastacembelus_armatus
ENSODEP00000014911	ENSODEG00000011021	Octodon_degus	ENSODET00000015104
ENSCVAP00000030466	ENSCVAG00000019018	Cyprinodon_variegatus
ENSNBRP00000028218	ENSNBRG00000021515	Neolamprologus_brichardi
ENSLOCP00000007663	ENSLOCG00000006345	Lepisosteus_oculatus
ENSPPRP00000016570	ENSPPRG00000008813	Panthera_pardus
ENSMALP00000028729	ENSMALG00000019886	Monopterus_albus
ENSPPYP00000010401	ENSPPYG00000009267	Pongo_abelii
ENSAPEP00000018544	ENSAPEG00000013247	Amphiprion_percula
ENSPNAP00000031206	ENSPNAG00000018445	Pygocentrus_nattereri
ENSIPUP00000026786	ENSIPUG00000018135	Ictalurus_punctatus
ENSHHUP00000082700	ENSHHUG00000048032	Hucho_hucho
ENSBSLP00000052766	ENSBSLG00000024914	Betta_splendens
ENSPCAP00000013599	ENSPCAG00000014571	Procavia_capensis
ENSGACP00000012952	ENSGACG00000009810	Gasterosteus_aculeatus
ENSLACP00000014150	ENSLACG00000012456	Latimeria_chalumnae
ENSCVAP00000023668	ENSCVAG00000007175	Cyprinodon_variegatus
ENSOMEP00000007405	ENSOMEG00000008494	Oryzias_melastigma
ENSOGAP00000015993	ENSOGAG00000029675	Otolemur_garnettii
ENSBTAP00000060289	ENSBTAG00000000717	Bos_taurus
ENSCSEP00000000427	ENSCSEG00000000309	Cynoglossus_semilaevis
ENSCHIP00000033336	ENSCHIG00000026941	Capra_hircus
ENSBIXP00000040721	ENSBIXG00000024854	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSMAP00000014380	ENSSMAG00000008817	Scophthalmus_maximus
ENSSTOP00000017017	ENSSTOG00000019777	Ictidomys_tridecemlineatus
ENSPNAP00000034464	ENSPNAG00000023774	Pygocentrus_nattereri
ENSHHUP00000078806	ENSHHUG00000045967	Hucho_hucho
ENSPMEP00000012327	ENSPMEG00000014503	Poecilia_mexicana
ENSFDAP00000021806	ENSFDAG00000007448	Fukomys_damarensis
ENSMALP00000014631	ENSMALG00000010271	Monopterus_albus
ENSLBEP00000025361	ENSLBEG00000019365	Labrus_bergylta
ENSPTEP00000038431	ENSPTEG00000035745	Piliocolobus_tephrosceles
ENSCPRP00005017330	ENSCPRG00005012077	Crocodylus_porosus
ENSCCAP00000010490	ENSCCAG00000022973	Cebus_capucinus_imitator
