ENSVURP00010031589	ENSVURG00010024138	Vombatus_ursinus
ENSPCIP00000031952	ENSPCIG00000023711	Phascolarctos_cinereus
ENSMODP00000058149	ENSMODG00000007728	Monodelphis_domestica
ENSXETP00000006938	ENSXETG00000008428	Xenopus_tropicalis
ENSCPGP00000000276	ENSCPGG00000000198	Calidris_pygmaea
ENSCPUP00000026826	ENSCPUG00000018062	Calidris_pugnax
ENSLCOP00000012339	ENSLCOG00000008936	Lepidothrix_coronata
ENSMVIP00005008248	ENSMVIG00005006102	Manacus_vitellinus
ENSTGUP00000013574	ENSTGUG00000013182	Taeniopygia_guttata
ENSTGUP00000015587	ENSTGUG00000015237	Taeniopygia_guttata
ENSLSDP00000011188	ENSLSDG00000008185	Lonchura_striata_domestica
ENSSCAP00000001917	ENSSCAG00000001661	Serinus_canaria
ENSJHYP00000010907	ENSJHYG00000008530	Junco_hyemalis
ENSZALP00000010939	ENSZALG00000009236	Zonotrichia_albicollis
ENSFALP00000001914	ENSFALG00000001839	Ficedula_albicollis
ENSPMJP00000018273	ENSPMJG00000013680	Parus_major
ENSCCEP00000025729	ENSCCEG00000022686	Cyanistes_caeruleus
ENSMUNP00000009061	ENSMUNG00000007138	Melopsittacus_undulatus
ENSABRP00000016788	ENSABRG00000014683	Anser_brachyrhynchus
ENSAPLP00000029172	ENSAPLG00000021448	Anas_platyrhynchos_platyrhynchos
ENSGALP00000069189	ENSGALG00000012282	Gallus_gallus
ENSCJPP00005008062	ENSCJPG00005007283	Coturnix_japonica
ENSMGAP00000014516	ENSMGAG00000013732	Meleagris_gallopavo
ENSNMEP00000021112	ENSNMEG00000017936	Numida_meleagris
ENSAOWP00000002836	ENSAOWG00000002010	Apteryx_owenii
ENSARWP00000011216	ENSARWG00000007790	Apteryx_rowi
ENSAHAP00000007698	ENSAHAG00000005743	Apteryx_haastii
ENSDNVP00000007059	ENSDNVG00000005052	Dromaius_novaehollandiae
ENSNPEP00000020453	ENSNPEG00000015130	Nothoprocta_perdicaria
ENSCPRP00005026180	ENSCPRG00005018169	Crocodylus_porosus
ENSCABP00000027263	ENSCABG00000020011	Chelonoidis_abingdonii
ENSGAGP00000014547	ENSGAGG00000011051	Gopherus_agassizii
ENSCPBP00000033417	ENSCPBG00000023367	Chrysemys_picta_bellii
ENSPSIP00000006035	ENSPSIG00000005601	Pelodiscus_sinensis
ENSPVIP00000004961	ENSPVIG00000004053	Pogona_vitticeps
ENSACAP00000001667	ENSACAG00000001723	Anolis_carolinensis
ENSNSUP00000020774	ENSNSUG00000015102	Notechis_scutatus
ENSSMRP00000011977	ENSSMRG00000009381	Salvator_merianae
ENSSPUP00000004254	ENSSPUG00000003218	Sphenodon_punctatus
ENSPVAP00000005836	ENSPVAG00000006172	Pteropus_vampyrus
ENSMLUP00000008935	ENSMLUG00000009805	Myotis_lucifugus
ENSUAMP00000015719	ENSUAMG00000012569	Ursus_americanus
ENSUMAP00000009695	ENSUMAG00000007321	Ursus_maritimus
ENSUMAP00000009670	ENSUMAG00000007316	Ursus_maritimus
ENSAMEP00000010321	ENSAMEG00000009810	Ailuropoda_melanoleuca
ENSNVIP00000000985	ENSNVIG00000000847	Neovison_vison
ENSMPUP00000004999	ENSMPUG00000005038	Mustela_putorius_furo
ENSCAFP00000021013	ENSCAFG00000014237	Canis_lupus_familiaris
ENSCAFP00020027723	ENSCAFG00020021765	Canis_lupus_dingo
ENSVVUP00000041932	ENSVVUG00000029805	Vulpes_vulpes
ENSPPRP00000010992	ENSPPRG00000004990	Panthera_pardus
ENSPTIP00000013710	ENSPTIG00000013340	Panthera_tigris_altaica
ENSFCAP00000050254	ENSFCAG00000025658	Felis_catus
ENSSARP00000006968	ENSSARG00000007699	Sorex_araneus
ENSEEUP00000009809	ENSEEUG00000010772	Erinaceus_europaeus
ENSCHIP00000024476	ENSCHIG00000021620	Capra_hircus
ENSOARP00000022174	ENSOARG00000020633	Ovis_aries
ENSBIXP00005041254	ENSBIXG00005024233	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037301	ENSBIXG00000003919	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000020226	ENSBTAG00000015200	Bos_taurus
ENSBMUP00000028512	ENSBMUG00000021360	Bos_mutus
ENSBBBP00000007392	ENSBBBG00000015468	Bison_bison_bison
ENSTTRP00000009063	ENSTTRG00000009563	Tursiops_truncatus
ENSSSCP00000034040	ENSSSCG00000005016	Sus_scrofa_strain_reference
ENSVPAP00000000667	ENSVPAG00000000727	Vicugna_pacos
ENSECAP00000017901	ENSECAG00000020354	Equus_caballus
ENSEASP00005011814	ENSEASG00005008274	Equus_asinus_asinus
ENSPTRP00000077682	ENSPTRG00000006329	Pan_troglodytes
ENSPPAP00000008963	ENSPPAG00000027708	Pan_paniscus
ENSP00000267436	ENSG00000087299	Homo_sapiens
ENSGGOP00000036937	ENSGGOG00000003027	Gorilla_gorilla
ENSPPYP00000006590	ENSPPYG00000005800	Pongo_abelii
ENSNLEP00000038063	ENSNLEG00000012147	Nomascus_leucogenys
ENSMFAP00000025358	ENSMFAG00000044149	Macaca_fascicularis
ENSMMUP00000009797	ENSMMUG00000007468	Macaca_mulatta
ENSMNEP00000026783	ENSMNEG00000036800	Macaca_nemestrina
ENSMLEP00000025410	ENSMLEG00000036876	Mandrillus_leucophaeus
ENSCATP00000029919	ENSCATG00000038178	Cercocebus_atys
ENSPANP00000016836	ENSPANG00000017146	Papio_anubis
ENSTGEP00000009464	ENSTGEG00000007792	Theropithecus_gelada
ENSCSAP00000011273	ENSCSAG00000015176	Chlorocebus_sabaeus
