ENSBIXP00005013519	ENSBIXG00005017622	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000030088	ENSBIXG00000011898	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000011211	ENSBMUG00000008642	Bos_mutus
ENSBTAP00000061521	ENSBTAG00000049070	Bos_taurus
ENSBBBP00000013715	ENSBBBG00000005707	Bison_bison_bison
ENSCHIP00000012953	ENSCHIG00000014536	Capra_hircus
ENSOARP00000006889	ENSOARG00000006437	Ovis_aries
ENSSSCP00000044022	ENSSSCG00000034077	Sus_scrofa_strain_reference
ENSVPAP00000001745	ENSVPAG00000001890	Vicugna_pacos
ENSEASP00005032705	ENSEASG00005022336	Equus_asinus_asinus
ENSECAP00000045691	ENSECAG00000039851	Equus_caballus
ENSCAFP00020015609	ENSCAFG00020012548	Canis_lupus_dingo
ENSVVUP00000041669	ENSVVUG00000029653	Vulpes_vulpes
ENSNVIP00000011331	ENSNVIG00000008975	Neovison_vison
ENSUAMP00000021038	ENSUAMG00000016545	Ursus_americanus
ENSUMAP00000034599	ENSUMAG00000024906	Ursus_maritimus
ENSAMEP00000013381	ENSAMEG00000012715	Ailuropoda_melanoleuca
ENSPTIP00000009102	ENSPTIG00000010282	Panthera_tigris_altaica
ENSPPRP00000017777	ENSPPRG00000009632	Panthera_pardus
ENSFCAP00000053387	ENSFCAG00000047984	Felis_catus
ENSPVAP00000012200	ENSPVAG00000012936	Pteropus_vampyrus
ENSMLUP00000017429	ENSMLUG00000030566	Myotis_lucifugus
ENSMMMP00000026855	ENSMMMG00000023498	Marmota_marmota_marmota
ENSSTOP00000011497	ENSSTOG00000012835	Ictidomys_tridecemlineatus
ENSSDAP00000010192	ENSSDAG00000009283	Spermophilus_dauricus
ENSHGLP00000000028	ENSHGLG00000000054	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003166	ENSHGLG00100002415	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003898	ENSFDAG00000013221	Fukomys_damarensis
ENSCCNP00000013605	ENSCCNG00000014108	Castor_canadensis
ENSCGRP00000003391	ENSCGRG00000002495	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015063	ENSCGRG00001015775	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000008939	ENSMAUG00000010237	Mesocricetus_auratus
ENSMOCP00000015699	ENSMOCG00000014814	Microtus_ochrogaster
ENSMUGP00000003109	ENSMUGG00000002915	Meriones_unguiculatus
ENSJJAP00000001132	ENSJJAG00000001005	Jaculus_jaculus
ENSOCUP00000041622	ENSOCUG00000029977	Oryctolagus_cuniculus
ENSOPRP00000002679	ENSOPRG00000002933	Ochotona_princeps
ENSSBOP00000005421	ENSSBOG00000019558	Saimiri_boliviensis_boliviensis
ENSCCAP00000017029	ENSCCAG00000026326	Cebus_capucinus_imitator
ENSCJAP00000021316	ENSCJAG00000003909	Callithrix_jacchus
ENSANAP00000023245	ENSANAG00000029375	Aotus_nancymaae
ENSNLEP00000000470	ENSNLEG00000000404	Nomascus_leucogenys
ENSNLEP00000039424	ENSNLEG00000036161	Nomascus_leucogenys
ENSGGOP00000003580	ENSGGOG00000003644	Gorilla_gorilla
ENSPTRP00000034194	ENSPTRG00000019961	Pan_troglodytes
ENSP00000334364	ENSG00000187082	Homo_sapiens
ENSP00000335307	ENSG00000186579	Homo_sapiens
ENSPPYP00000020541	ENSPPYG00000018334	Pongo_abelii
ENSRROP00000036302	ENSRROG00000041622	Rhinopithecus_roxellana
ENSRBIP00000033581	ENSRBIG00000040534	Rhinopithecus_bieti
ENSCANP00000037402	ENSCANG00000042375	Colobus_angolensis_palliatus
ENSPTEP00000035619	ENSPTEG00000033582	Piliocolobus_tephrosceles
ENSTGEP00000017861	ENSTGEG00000014451	Theropithecus_gelada
ENSPANP00000004092	ENSPANG00000011990	Papio_anubis
ENSMLEP00000012392	ENSMLEG00000030380	Mandrillus_leucophaeus
ENSCATP00000013326	ENSCATG00000030787	Cercocebus_atys
ENSMFAP00000002115	ENSMFAG00000000123	Macaca_fascicularis
ENSMNEP00000004606	ENSMNEG00000021129	Macaca_nemestrina
ENSMMUP00000009816	ENSMMUG00000007474	Macaca_mulatta
ENSCSAP00000013018	ENSCSAG00000016970	Chlorocebus_sabaeus
ENSPCOP00000008433	ENSPCOG00000015499	Propithecus_coquereli
ENSMICP00000011296	ENSMICG00000012410	Microcebus_murinus
ENSPSMP00000005564	ENSPSMG00000004242	Prolemur_simus
ENSDNOP00000014792	ENSDNOG00000019069	Dasypus_novemcinctus
