ENSNGAP00000024055	ENSNGAG00000022429	Nannospalax_galili
ENSEASP00005005947	ENSEASG00005004372	Equus_asinus_asinus
ENSCCNP00000015324	ENSCCNG00000015713	Castor_canadensis
ENSOARP00000010372	ENSOARG00000009663	Ovis_aries
ENSCHIP00000015048	ENSCHIG00000015820	Capra_hircus
ENSCPOP00000000428	ENSCPOG00000000486	Cavia_porcellus
ENSMAUP00000011995	ENSMAUG00000012411	Mesocricetus_auratus
ENSCAFP00000047501	ENSCAFG00000016018	Canis_lupus_familiaris
ENSMNEP00000020888	ENSMNEG00000034246	Macaca_nemestrina
ENSRBIP00000002306	ENSRBIG00000011306	Rhinopithecus_bieti
ENSPCOP00000001131	ENSPCOG00000003529	Propithecus_coquereli
ENSMICP00000009663	ENSMICG00000010584	Microcebus_murinus
ENSANAP00000013355	ENSANAG00000024570	Aotus_nancymaae
ENSAMEP00000012682	ENSAMEG00000012047	Ailuropoda_melanoleuca
ENSPPYP00000022783	ENSPPYG00000020353	Pongo_abelii
ENSGGOP00000016179	ENSGGOG00000016570	Gorilla_gorilla
ENSSTOP00000007504	ENSSTOG00000008354	Ictidomys_tridecemlineatus
ENSMFAP00000038887	ENSMFAG00000038782	Macaca_fascicularis
ENSOGAP00000015117	ENSOGAG00000016880	Otolemur_garnettii
ENSPPRP00000005034	ENSPPRG00000000951	Panthera_pardus
ENSTBEP00000006786	ENSTBEG00000007803	Tupaia_belangeri
ENSCSAP00000008927	ENSCSAG00000012745	Chlorocebus_sabaeus
ENSSBOP00000024236	ENSSBOG00000028597	Saimiri_boliviensis_boliviensis
ENSUMAP00000005734	ENSUMAG00000004517	Ursus_maritimus	ENSUMAT00000006908
ENSMPUP00000013991	ENSMPUG00000014099	Mustela_putorius_furo
ENSMUGP00000014101	ENSMUGG00000012220	Meriones_unguiculatus
MGP_PahariEiJ_P0088424	MGP_PahariEiJ_G0031427	Mus_pahari_strain_PAHARI_EIJ
ENSTTRP00000009891	ENSTTRG00000010426	Tursiops_truncatus
ENSMMMP00000012350	ENSMMMG00000011066	Marmota_marmota_marmota
ENSRROP00000031789	ENSRROG00000039565	Rhinopithecus_roxellana
ENSMUSP00000067591	ENSMUSG00000062393	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000009469	ENSSDAG00000008580	Spermophilus_dauricus
ENSSARP00000009684	ENSSARG00000010684	Sorex_araneus
MGP_SPRETEiJ_P0094529	MGP_SPRETEiJ_G0034027	Mus_spretus_strain_SPRET/EiJ
ENSCHOP00000004036	ENSCHOG00000004552	Choloepus_hoffmanni
ENSSSCP00000013098	ENSSSCG00000012308	Sus_scrofa_strain_reference
ENSMLUP00000001540	ENSMLUG00000001673	Myotis_lucifugus
ENSTGEP00000001472	ENSTGEG00000001378	Theropithecus_gelada
ENSVPAP00000003487	ENSVPAG00000003757	Vicugna_pacos
ENSRNOP00000056998	ENSRNOG00000039323	Rattus_norvegicus
ENSOCUP00000020203	ENSOCUG00000010427	Oryctolagus_cuniculus
ENSPTRP00000077739	ENSPTRG00000048026	Pan_troglodytes
ENSPTEP00000031959	ENSPTEG00000030783	Piliocolobus_tephrosceles
ENSNLEP00000009948	ENSNLEG00000008157	Nomascus_leucogenys
ENSDORP00000006389	ENSDORG00000006816	Dipodomys_ordii
ENSPANP00000000668	ENSPANG00000023269	Papio_anubis
ENSFCAP00000014175	ENSFCAG00000015283	Felis_catus
ENSBIXP00005005769	ENSBIXG00005001092	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPAP00000021776	ENSPPAG00000034077	Pan_paniscus
ENSUPAP00010005831	ENSUPAG00010004707	Urocitellus_parryii
ENSPVAP00000014374	ENSPVAG00000015249	Pteropus_vampyrus
ENSCGRP00015011374	ENSCGRG00015008723	Cricetulus_griseus_CriGri-PICR
ENSTSYP00000002257	ENSTSYG00000002421	Carlito_syrichta
ENSEEUP00000002337	ENSEEUG00000002535	Erinaceus_europaeus
ENSBTAP00000031154	ENSBTAG00000022962	Bos_taurus
ENSODEP00000001366	ENSODEG00000001078	Octodon_degus
ENSJJAP00000006887	ENSJJAG00000011426	Jaculus_jaculus
ENSPTIP00000007729	ENSPTIG00000009263	Panthera_tigris_altaica
MGP_CAROLIEiJ_P0090784	MGP_CAROLIEiJ_G0032879	Mus_caroli_strain_CAROLI_EIJ
ENSCJAP00000005510	ENSCJAG00000003016	Callithrix_jacchus
ENSECAP00000013408	ENSECAG00000015609	Equus_caballus
ENSCANP00000005536	ENSCANG00000018855	Colobus_angolensis_palliatus
ENSMSIP00000037729	ENSMSIG00000031424	Mus_spicilegus
ENSCCAP00000001353	ENSCCAG00000008445	Cebus_capucinus_imitator
ENSMOCP00000022296	ENSMOCG00000019385	Microtus_ochrogaster
ENSHGLP00000003895	ENSHGLG00000002872	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006854	ENSHGLG00100005140	Heterocephalus_glaber_HetGla_1.0
ENSCATP00000015484	ENSCATG00000031719	Cercocebus_atys
ENSCLAP00000004293	ENSCLAG00000003053	Chinchilla_lanigera
ENSPSMP00000013691	ENSPSMG00000009837	Prolemur_simus
ENSMLEP00000015534	ENSMLEG00000031942	Mandrillus_leucophaeus
ENSFDAP00000016995	ENSFDAG00000005667	Fukomys_damarensis
ENSCGRP00000001308	ENSCGRG00000001011	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000026779	ENSPEMG00000022777	Peromyscus_maniculatus_bairdii
ENSVVUP00000024742	ENSVVUG00000018137	Vulpes_vulpes
ENSCAFP00020025503	ENSCAFG00020020097	Canis_lupus_dingo
ENSP00000477515	ENSG00000274588	Homo_sapiens
ENSMMUP00000056639	ENSMMUG00000016492	Macaca_mulatta
ENSETEP00000010340	ENSETEG00000012751	Echinops_telfairi
ENSCGRP00001004349	ENSCGRG00001005491	Cricetulus_griseus_CHOK1GS_HDv1
ENSUAMP00000030088	ENSUAMG00000023127	Ursus_americanus
ENSAMEP00000014012	ENSAMEG00000013311	Ailuropoda_melanoleuca
