ENSVURP00010031795	ENSVURG00010024290	Vombatus_ursinus	ENSVURT00010036207
ENSPCIP00000016072	ENSPCIG00000012446	Phascolarctos_cinereus	ENSPCIT00000019866
ENSMEUP00000015314	ENSMEUG00000016753	Notamacropus_eugenii	ENSMEUT00000016808
ENSMODP00000013547	ENSMODG00000010814	Monodelphis_domestica	ENSMODT00000013796
ENSMODP00000059217	ENSMODG00000047596	Monodelphis_domestica	ENSMODT00000086627
ENSPCAP00000004081	ENSPCAG00000004317	Procavia_capensis	ENSPCAT00000004351
ENSETEP00000008018	ENSETEG00000009870	Echinops_telfairi	ENSETET00000009873
ENSLAFP00000029047	ENSLAFG00000032518	Loxodonta_africana	ENSLAFT00000034123
ENSMSIP00000021712	ENSMSIG00000018423	Mus_spicilegus
ENSMUSP00000132008	ENSMUSG00000078954	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0041113	MGP_SPRETEiJ_G0021013	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0039310	MGP_CAROLIEiJ_G0020116	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042660	MGP_PahariEiJ_G0020122	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017420	ENSRNOG00000033570	Rattus_norvegicus
ENSMUGP00000000236	ENSMUGG00000000175	Meriones_unguiculatus
ENSMOCP00000011599	ENSMOCG00000011863	Microtus_ochrogaster
ENSPEMP00000026278	ENSPEMG00000022442	Peromyscus_maniculatus_bairdii
ENSCGRP00015028670	ENSCGRG00015021698	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001022749	ENSCGRG00001021199	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004384	ENSCGRG00000003227	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000025789	ENSMAUG00000022199	Mesocricetus_auratus
ENSNGAP00000004532	ENSNGAG00000006064	Nannospalax_galili
ENSJJAP00000018685	ENSJJAG00000019866	Jaculus_jaculus
ENSCCNP00000028629	ENSCCNG00000027546	Castor_canadensis
ENSCAPP00000014717	ENSCAPG00000015018	Cavia_aperea
ENSCPOP00000019881	ENSCPOG00000027494	Cavia_porcellus
ENSODEP00000020820	ENSODEG00000015356	Octodon_degus
ENSCLAP00000025071	ENSCLAG00000017215	Chinchilla_lanigera
ENSHGLP00000022099	ENSHGLG00000015769	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015828	ENSHGLG00100011688	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017837	ENSFDAG00000010284	Fukomys_damarensis
ENSUPAP00010001996	ENSUPAG00010001660	Urocitellus_parryii
ENSSDAP00000006038	ENSSDAG00000005616	Spermophilus_dauricus
ENSOPRP00000006676	ENSOPRG00000007285	Ochotona_princeps
ENSTBEP00000010751	ENSTBEG00000012377	Tupaia_belangeri
ENSP00000374424	ENSG00000241484	Homo_sapiens
ENSP00000354732	ENSG00000248405	Homo_sapiens
ENSPPAP00000005189	ENSPPAG00000021507	Pan_paniscus
ENSPTRP00000070866	ENSPTRG00000050575	Pan_troglodytes
ENSGGOP00000007908	ENSGGOG00000008084	Gorilla_gorilla
ENSPPYP00000013311	ENSPPYG00000011926	Pongo_abelii
ENSNLEP00000035320	ENSNLEG00000029032	Nomascus_leucogenys
ENSRROP00000042466	ENSRROG00000044377	Rhinopithecus_roxellana
ENSRBIP00000034645	ENSRBIG00000041002	Rhinopithecus_bieti
ENSCANP00000033503	ENSCANG00000040416	Colobus_angolensis_palliatus
ENSMFAP00000017112	ENSMFAG00000031694	Macaca_fascicularis
ENSMMUP00000007097	ENSMMUG00000031000	Macaca_mulatta
ENSMNEP00000011665	ENSMNEG00000030155	Macaca_nemestrina
ENSTGEP00000006024	ENSTGEG00000004950	Theropithecus_gelada
ENSCATP00000014434	ENSCATG00000031245	Cercocebus_atys
ENSPANP00000025144	ENSPANG00000029870	Papio_anubis
ENSMLEP00000022083	ENSMLEG00000035254	Mandrillus_leucophaeus
ENSPTEP00000037102	ENSPTEG00000034751	Piliocolobus_tephrosceles
ENSCCAP00000039405	ENSCCAG00000037511	Cebus_capucinus_imitator
ENSSBOP00000027845	ENSSBOG00000030315	Saimiri_boliviensis_boliviensis
ENSCJAP00000045318	ENSCJAG00000016200	Callithrix_jacchus
ENSANAP00000023191	ENSANAG00000029341	Aotus_nancymaae
ENSTSYP00000020923	ENSTSYG00000032847	Carlito_syrichta
ENSPSMP00000016189	ENSPSMG00000011511	Prolemur_simus
ENSPCOP00000023225	ENSPCOG00000023745	Propithecus_coquereli
ENSMICP00000018975	ENSMICG00000008439	Microcebus_murinus
ENSOGAP00000009391	ENSOGAG00000010491	Otolemur_garnettii
ENSEEUP00000010668	ENSEEUG00000011641	Erinaceus_europaeus
ENSDNOP00000006077	ENSDNOG00000007839	Dasypus_novemcinctus
ENSCHIP00000009721	ENSCHIG00000012497	Capra_hircus
ENSOARP00000020737	ENSOARG00000019304	Ovis_aries
ENSBIXP00000029821	ENSBIXG00000011553	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001863	ENSBIXG00005008320	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000011665	ENSBTAG00000008858	Bos_taurus
ENSBMUP00000006863	ENSBMUG00000005437	Bos_mutus
ENSBBBP00000004134	ENSBBBG00000013075	Bison_bison_bison
ENSSSCP00000040273	ENSSSCG00000000021	Sus_scrofa_strain_reference	ENSSSCT00000056308
ENSFCAP00000062204	ENSFCAG00000014797	Felis_catus
ENSPPRP00000015037	ENSPPRG00000007742	Panthera_pardus
ENSPTIP00000003922	ENSPTIG00000006515	Panthera_tigris_altaica
ENSUMAP00000027433	ENSUMAG00000019893	Ursus_maritimus
ENSUAMP00000032906	ENSUAMG00000025091	Ursus_americanus
ENSAMEP00000009601	ENSAMEG00000009129	Ailuropoda_melanoleuca
ENSMPUP00000016162	ENSMPUG00000016266	Mustela_putorius_furo
ENSNVIP00000027772	ENSNVIG00000021459	Neovison_vison
ENSCAFP00000001241	ENSCAFG00000030691	Canis_lupus_familiaris
ENSCAFP00020011832	ENSCAFG00020009533	Canis_lupus_dingo
ENSVVUP00000040055	ENSVVUG00000028623	Vulpes_vulpes
ENSECAP00000015328	ENSECAG00000017155	Equus_caballus
ENSEASP00005031929	ENSEASG00005021792	Equus_asinus_asinus
ENSPVAP00000013545	ENSPVAG00000014369	Pteropus_vampyrus
ENSGAGP00000030198	ENSGAGG00000021783	Gopherus_agassizii
ENSCABP00000007923	ENSCABG00000005941	Chelonoidis_abingdonii
ENSCPBP00000034899	ENSCPBG00000024338	Chrysemys_picta_bellii
ENSPSIP00000018741	ENSPSIG00000016660	Pelodiscus_sinensis
ENSDNVP00000001836	ENSDNVG00000001333	Dromaius_novaehollandiae
ENSNPEP00000007531	ENSNPEG00000005641	Nothoprocta_perdicaria
ENSAHAP00000002014	ENSAHAG00000001692	Apteryx_haastii
ENSAOWP00000013927	ENSAOWG00000009495	Apteryx_owenii
ENSARWP00000018188	ENSARWG00000012504	Apteryx_rowi
ENSGALP00000022941	ENSGALG00000019261	Gallus_gallus
ENSCJPP00005019993	ENSCJPG00005016159	Coturnix_japonica
ENSMGAP00000014595	ENSMGAG00000013807	Meleagris_gallopavo
ENSNMEP00000017777	ENSNMEG00000015487	Numida_meleagris
ENSABRP00000006665	ENSABRG00000006125	Anser_brachyrhynchus
ENSAPLP00000022600	ENSAPLG00000007670	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000020482	ENSMUNG00000015594	Melopsittacus_undulatus
ENSCPUP00000010344	ENSCPUG00000007349	Calidris_pugnax
ENSCPGP00000006380	ENSCPGG00000004589	Calidris_pygmaea
ENSLCOP00000014578	ENSLCOG00000010445	Lepidothrix_coronata
ENSMVIP00005028527	ENSMVIG00005019850	Manacus_vitellinus
ENSFALP00000002896	ENSFALG00000002774	Ficedula_albicollis
ENSPVIP00000013361	ENSPVIG00000010359	Pogona_vitticeps
ENSACAP00000015543	ENSACAG00000015730	Anolis_carolinensis
ENSNSUP00000009825	ENSNSUG00000007486	Notechis_scutatus
ENSSMRP00000011799	ENSSMRG00000009263	Salvator_merianae
ENSSPUP00000023416	ENSSPUG00000017912	Sphenodon_punctatus
ENSLACP00000015404	ENSLACG00000013561	Latimeria_chalumnae
ENSELUP00000028419	ENSELUG00000004980	Esox_lucius
ENSHHUP00000034388	ENSHHUG00000021672	Hucho_hucho
ENSDCDP00000057277	ENSDCDG00000033497	Denticeps_clupeoides
ENSCHAP00000004139	ENSCHAG00000002409	Clupea_harengus
ENSAMXP00000043601	ENSAMXG00000032472	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005053849	ENSAMXG00005024117	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023102	ENSPNAG00000000374	Pygocentrus_nattereri
ENSEEEP00000044262	ENSEEEG00000020912	Electrophorus_electricus
ENSIPUP00000016968	ENSIPUG00000011519	Ictalurus_punctatus
ENSGMOP00000013307	ENSGMOG00000012425	Gadus_morhua
ENSGMOP00000013309	ENSGMOG00000012433	Gadus_morhua
ENSMZEP00005025312	ENSMZEG00005018894	Maylandia_zebra
ENSACLP00000012155	ENSACLG00000008301	Astatotilapia_calliptera
ENSHBUP00000018389	ENSHBUG00000020480	Haplochromis_burtoni
ENSPNYP00000030296	ENSPNYG00000022829	Pundamilia_nyererei
ENSNBRP00000022656	ENSNBRG00000017345	Neolamprologus_brichardi
ENSONIP00000009458	ENSONIG00000007499	Oreochromis_niloticus
ENSACIP00000011961	ENSACIG00000009320	Amphilophus_citrinellus
ENSPMEP00000008004	ENSPMEG00000009768	Poecilia_mexicana
ENSPMEP00000004029	ENSPMEG00000005251	Poecilia_mexicana
