ENSETEP00000009483	ENSETEG00000011689	Echinops_telfairi
F40F8.11a.2	WBGene00044916	Caenorhabditis_elegans_strain_N2	F40F8.11a.2
ENSSDAP00000001154	ENSSDAG00000001159	Spermophilus_dauricus
ENSSDAP00000001168	ENSSDAG00000001176	Spermophilus_dauricus
ENSSDAP00000017874	ENSSDAG00000016289	Spermophilus_dauricus
ENSUPAP00010012728	ENSUPAG00010010314	Urocitellus_parryii
ENSSTOP00000000434	ENSSTOG00000000485	Ictidomys_tridecemlineatus
ENSMMMP00000011430	ENSMMMG00000010210	Marmota_marmota_marmota
ENSDORP00000007835	ENSDORG00000008349	Dipodomys_ordii
ENSMSIP00000026426	ENSMSIG00000022312	Mus_spicilegus
ENSMUSP00000002551	ENSMUSG00000002477	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0047965	MGP_SPRETEiJ_G0022910	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0046035	MGP_CAROLIEiJ_G0021994	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038650	MGP_PahariEiJ_G0018731	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018646	ENSRNOG00000013714	Rattus_norvegicus
ENSMUGP00000003118	ENSMUGG00000002928	Meriones_unguiculatus
ENSCGRP00000000583	ENSCGRG00000000490	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022543	ENSCGRG00001021055	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009193	ENSCGRG00015007086	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017648	ENSMAUG00000016467	Mesocricetus_auratus
ENSMAUP00000017709	ENSMAUG00000016502	Mesocricetus_auratus
ENSCGRP00001007540	ENSCGRG00001009945	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008536	ENSCGRG00000006224	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000015182	ENSPEMG00000014773	Peromyscus_maniculatus_bairdii
ENSJJAP00000015557	ENSJJAG00000017698	Jaculus_jaculus
ENSHGLP00100011620	ENSHGLG00100008618	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009968	ENSHGLG00000007152	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017116	ENSFDAG00000005735	Fukomys_damarensis
ENSCPOP00000031773	ENSCPOG00000004679	Cavia_porcellus
ENSCAPP00000005878	ENSCAPG00000008103	Cavia_aperea
ENSCLAP00000012562	ENSCLAG00000008691	Chinchilla_lanigera
ENSODEP00000007732	ENSODEG00000005764	Octodon_degus
ENSOCUP00000019675	ENSOCUG00000023761	Oryctolagus_cuniculus
ENSTBEP00000011923	ENSTBEG00000013776	Tupaia_belangeri
ENSVPAP00000009357	ENSVPAG00000010056	Vicugna_pacos
ENSSSCP00000004008	ENSSSCG00000003701	Sus_scrofa_strain_reference
ENSBIXP00000003004	ENSBIXG00000000300	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010156	ENSBIXG00005014854	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010912	ENSBTAG00000008292	Bos_taurus
ENSBIXP00005047028	ENSBIXG00005031614	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012831	ENSBIXG00000017873	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000070701	ENSBTAG00000055316	Bos_taurus
ENSBMUP00000029341	ENSBMUG00000021966	Bos_mutus
ENSBBBP00000025701	ENSBBBG00000021043	Bison_bison_bison
ENSBMUP00000026353	ENSBMUG00000019797	Bos_mutus
ENSBTAP00000050719	ENSBTAG00000012376	Bos_taurus
ENSBBBP00000006416	ENSBBBG00000001115	Bison_bison_bison
