ENSPCIP00000046452	ENSPCIG00000034222	Phascolarctos_cinereus	ENSPCIT00000060012
ENSVURP00010010856	ENSVURG00010008387	Vombatus_ursinus	ENSVURT00010012330
ENSMEUP00000002536	ENSMEUG00000002774	Notamacropus_eugenii	ENSMEUT00000002783
ENSMODP00000047994	ENSMODG00000044374	Monodelphis_domestica	ENSMODT00000066969
ENSSHAP00000013557	ENSSHAG00000011588	Sarcophilus_harrisii	ENSSHAT00000013669
ENSSTOP00000008584	ENSSTOG00000009580	Ictidomys_tridecemlineatus
ENSSDAP00000019813	ENSSDAG00000018075	Spermophilus_dauricus
ENSUPAP00010020642	ENSUPAG00010016341	Urocitellus_parryii
ENSMMMP00000024076	ENSMMMG00000021078	Marmota_marmota_marmota
ENSHGLP00000019378	ENSHGLG00000013882	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016318	ENSHGLG00100012051	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005641	ENSFDAG00000014592	Fukomys_damarensis
ENSODEP00000023414	ENSODEG00000017167	Octodon_degus
ENSCLAP00000010566	ENSCLAG00000007293	Chinchilla_lanigera
ENSCPOP00000030105	ENSCPOG00000008999	Cavia_porcellus
ENSOCUP00000005637	ENSOCUG00000006524	Oryctolagus_cuniculus
ENSPVAP00000016102	ENSPVAG00000017072	Pteropus_vampyrus
ENSMLUP00000007428	ENSMLUG00000008146	Myotis_lucifugus
ENSSARP00000012826	ENSSARG00000014185	Sorex_araneus
ENSEEUP00000001232	ENSEEUG00000001372	Erinaceus_europaeus
ENSOARP00000021599	ENSOARG00000020116	Ovis_aries
ENSCHIP00000018544	ENSCHIG00000017926	Capra_hircus
ENSBTAP00000058962	ENSBTAG00000012180	Bos_taurus
ENSBIXP00000037800	ENSBIXG00000021466	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045641	ENSBIXG00005029206	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000000693	ENSBMUG00000000605	Bos_mutus
ENSBBBP00000006664	ENSBBBG00000003622	Bison_bison_bison
ENSTTRP00000000033	ENSTTRG00000000038	Tursiops_truncatus
ENSSSCP00000045704	ENSSSCG00000035284	Sus_scrofa_strain_reference
ENSECAP00000020526	ENSECAG00000023088	Equus_caballus
ENSEASP00005024532	ENSEASG00005016669	Equus_asinus_asinus
ENSUMAP00000017625	ENSUMAG00000012940	Ursus_maritimus
ENSUAMP00000030770	ENSUAMG00000023629	Ursus_americanus
ENSAMEP00000018197	ENSAMEG00000017227	Ailuropoda_melanoleuca
ENSNVIP00000020849	ENSNVIG00000016319	Neovison_vison
ENSMPUP00000008292	ENSMPUG00000008355	Mustela_putorius_furo
ENSCAFP00020007358	ENSCAFG00020005958	Canis_lupus_dingo
ENSCAFP00000066681	ENSCAFG00000029558	Canis_lupus_familiaris
ENSVVUP00000036951	ENSVVUG00000026444	Vulpes_vulpes
ENSPTIP00000000364	ENSPTIG00000000866	Panthera_tigris_altaica
ENSPPRP00000017699	ENSPPRG00000009589	Panthera_pardus
ENSFCAP00000051931	ENSFCAG00000028694	Felis_catus
ENSLAFP00000009766	ENSLAFG00000011690	Loxodonta_africana
ENSPCAP00000007419	ENSPCAG00000007970	Procavia_capensis
ENSMSIP00000014495	ENSMSIG00000012492	Mus_spicilegus
MGP_SPRETEiJ_P0055842	MGP_SPRETEiJ_G0025033	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000087686	ENSMUSG00000040093	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0053744	MGP_CAROLIEiJ_G0024117	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064723	MGP_PahariEiJ_G0025560	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010381	ENSRNOG00000007529	Rattus_norvegicus
ENSMUGP00000000924	ENSMUGG00000000868	Meriones_unguiculatus
ENSCGRP00000000601	ENSCGRG00000000501	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015001964	ENSCGRG00015001605	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001025482	ENSCGRG00001023070	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002700	ENSMAUG00000002409	Mesocricetus_auratus
ENSPEMP00000030756	ENSPEMG00000026529	Peromyscus_maniculatus_bairdii
ENSMOCP00000023862	ENSMOCG00000020461	Microtus_ochrogaster
ENSNGAP00000012441	ENSNGAG00000014301	Nannospalax_galili
ENSJJAP00000006303	ENSJJAG00000011009	Jaculus_jaculus
ENSCCNP00000030052	ENSCCNG00000028814	Castor_canadensis
ENSDORP00000005235	ENSDORG00000005597	Dipodomys_ordii
