FBpp0081014	FBgn0051626	Drosophila_melanogaster	FBtr0081485
FBpp0303816	FBgn0035552	Drosophila_melanogaster	FBtr0331399
FBpp0073711	FBgn0052603	Drosophila_melanogaster	FBtr0073894
ENSCABP00000013231	ENSCABG00000009925	Chelonoidis_abingdonii
ENSGAGP00000031306	ENSGAGG00000022496	Gopherus_agassizii
ENSCPBP00000012063	ENSCPBG00000009141	Chrysemys_picta_bellii
ENSPSIP00000016579	ENSPSIG00000014779	Pelodiscus_sinensis
ENSCPGP00000010394	ENSCPGG00000007391	Calidris_pygmaea
ENSCPUP00000020457	ENSCPUG00000013992	Calidris_pugnax
ENSMUNP00000011440	ENSMUNG00000009001	Melopsittacus_undulatus
ENSAHAP00000020055	ENSAHAG00000014115	Apteryx_haastii
ENSAOWP00000000418	ENSAOWG00000000344	Apteryx_owenii
ENSARWP00000005000	ENSARWG00000003590	Apteryx_rowi
ENSDNVP00000015663	ENSDNVG00000011030	Dromaius_novaehollandiae
ENSNPEP00000004026	ENSNPEG00000003089	Nothoprocta_perdicaria
ENSGALP00000010998	ENSGALG00000006809	Gallus_gallus
ENSCJPP00005011389	ENSCJPG00005009785	Coturnix_japonica
ENSNMEP00000013576	ENSNMEG00000012357	Numida_meleagris
ENSLCOP00000005820	ENSLCOG00000004316	Lepidothrix_coronata
ENSMVIP00005024409	ENSMVIG00005017142	Manacus_vitellinus
ENSLSDP00000014745	ENSLSDG00000010641	Lonchura_striata_domestica
ENSSCAP00000010319	ENSSCAG00000007830	Serinus_canaria
ENSJHYP00000007883	ENSJHYG00000006273	Junco_hyemalis
ENSZALP00000012011	ENSZALG00000010121	Zonotrichia_albicollis
ENSPMJP00000011039	ENSPMJG00000008604	Parus_major
ENSCPRP00005005799	ENSCPRG00005004161	Crocodylus_porosus
ENSPVIP00000007458	ENSPVIG00000006087	Pogona_vitticeps
ENSACAP00000006478	ENSACAG00000006629	Anolis_carolinensis
ENSNSUP00000021244	ENSNSUG00000015430	Notechis_scutatus
ENSSMRP00000028505	ENSSMRG00000021899	Salvator_merianae
ENSSPUP00000013958	ENSSPUG00000010760	Sphenodon_punctatus
ENSPCIP00000036387	ENSPCIG00000026850	Phascolarctos_cinereus
