ENSNBRP00000012758	ENSNBRG00000009924	Neolamprologus_brichardi
ENSACIP00000020708	ENSACIG00000016064	Amphilophus_citrinellus
ENSTNIP00000001425	ENSTNIG00000007652	Tetraodon_nigroviridis
ENSHHUP00000062088	ENSHHUG00000036172	Hucho_hucho
ENSLAFP00000014524	ENSLAFG00000017317	Loxodonta_africana
ENSMODP00000026291	ENSMODG00000021023	Monodelphis_domestica	ENSMODT00000026759
ENSMODP00000056091	ENSMODG00000018451	Monodelphis_domestica	ENSMODT00000023415
ENSPCIP00000004568	ENSPCIG00000003787	Phascolarctos_cinereus	ENSPCIT00000005710
ENSVURP00010030491	ENSVURG00010023314	Vombatus_ursinus	ENSVURT00010034717
ENSMEUP00000009988	ENSMEUG00000010940	Notamacropus_eugenii	ENSMEUT00000010976
ENSSHAP00000018380	ENSSHAG00000015601	Sarcophilus_harrisii	ENSSHAT00000018532
ENSPTRP00000023997	ENSPTRG00000013945	Pan_troglodytes	ENSPTRT00000026010
ENSPPAP00000022064	ENSPPAG00000034205	Pan_paniscus	ENSPPAT00000044870
ENSP00000344648	ENSG00000160190	Homo_sapiens
ENSGGOP00000011783	ENSGGOG00000012067	Gorilla_gorilla
ENSPPYP00000012787	ENSPPYG00000011455	Pongo_abelii
ENSNLEP00000017782	ENSNLEG00000014623	Nomascus_leucogenys
ENSRBIP00000023812	ENSRBIG00000035816	Rhinopithecus_bieti
ENSRROP00000025120	ENSRROG00000036324	Rhinopithecus_roxellana
ENSPTEP00000041138	ENSPTEG00000037745	Piliocolobus_tephrosceles
ENSCANP00000002285	ENSCANG00000008657	Colobus_angolensis_palliatus
ENSPANP00000012884	ENSPANG00000018651	Papio_anubis
ENSTGEP00000027490	ENSTGEG00000022195	Theropithecus_gelada
ENSCATP00000015071	ENSCATG00000031505	Cercocebus_atys
ENSCSAP00000004351	ENSCSAG00000008088	Chlorocebus_sabaeus
ENSMLEP00000006491	ENSMLEG00000026776	Mandrillus_leucophaeus
ENSMMUP00000076887	ENSMMUG00000018085	Macaca_mulatta
ENSMMUP00000062946	ENSMMUG00000058579	Macaca_mulatta
ENSMNEP00000023063	ENSMNEG00000035150	Macaca_nemestrina
ENSMFAP00000007858	ENSMFAG00000036570	Macaca_fascicularis
ENSCCAP00000031032	ENSCCAG00000033553	Cebus_capucinus_imitator
ENSSBOP00000027629	ENSSBOG00000030217	Saimiri_boliviensis_boliviensis
ENSCJAP00000058804	ENSCJAG00000005291	Callithrix_jacchus
ENSANAP00000021035	ENSANAG00000028307	Aotus_nancymaae
ENSTSYP00000001211	ENSTSYG00000001307	Carlito_syrichta
ENSPCOP00000029636	ENSPCOG00000027538	Propithecus_coquereli
ENSPSMP00000028963	ENSPSMG00000020102	Prolemur_simus
ENSMICP00000026710	ENSMICG00000000053	Microcebus_murinus
ENSOGAP00000014104	ENSOGAG00000015740	Otolemur_garnettii
ENSTBEP00000008658	ENSTBEG00000009995	Tupaia_belangeri
ENSCCNP00000031252	ENSCCNG00000029777	Castor_canadensis
ENSDORP00000009814	ENSDORG00000010442	Dipodomys_ordii
MGP_SPRETEiJ_P0045730	MGP_SPRETEiJ_G0022280	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000128223	ENSMUSG00000024036	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000013600	ENSMSIG00000011757	Mus_spicilegus
MGP_CAROLIEiJ_P0043819	MGP_CAROLIEiJ_G0021366	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0056117	MGP_PahariEiJ_G0023685	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001544	ENSRNOG00000001169	Rattus_norvegicus
ENSMUGP00000009229	ENSMUGG00000008204	Meriones_unguiculatus
ENSCGRP00001020326	ENSCGRG00001019505	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017018	ENSCGRG00000012375	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015030700	ENSCGRG00015023099	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024134	ENSMAUG00000021076	Mesocricetus_auratus
ENSMOCP00000014000	ENSMOCG00000013618	Microtus_ochrogaster
ENSPEMP00000011937	ENSPEMG00000012392	Peromyscus_maniculatus_bairdii
ENSNGAP00000024088	ENSNGAG00000022440	Nannospalax_galili
ENSJJAP00000004457	ENSJJAG00000009176	Jaculus_jaculus
ENSCPOP00000021640	ENSCPOG00000011616	Cavia_porcellus
ENSCAPP00000001767	ENSCAPG00000003564	Cavia_aperea
