ENSSMRP00000000427	ENSSMRG00000000369	Salvator_merianae
ENSACAP00000007018	ENSACAG00000007181	Anolis_carolinensis
ENSSPUP00000010399	ENSSPUG00000008043	Sphenodon_punctatus
ENSODEP00000002608	ENSODEG00000002032	Octodon_degus
ENSCLAP00000014655	ENSCLAG00000010120	Chinchilla_lanigera
ENSCPOP00000020692	ENSCPOG00000020097	Cavia_porcellus
ENSHGLP00000025508	ENSHGLG00000018169	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006139	ENSHGLG00100004624	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016183	ENSFDAG00000004534	Fukomys_damarensis
ENSUPAP00010021895	ENSUPAG00010017411	Urocitellus_parryii
ENSSTOP00000001066	ENSSTOG00000001189	Ictidomys_tridecemlineatus
ENSSDAP00000002967	ENSSDAG00000002793	Spermophilus_dauricus
ENSMMMP00000012143	ENSMMMG00000010788	Marmota_marmota_marmota
ENSCCNP00000032956	ENSCCNG00000031232	Castor_canadensis
ENSDORP00000018024	ENSDORG00000014405	Dipodomys_ordii
ENSMSIP00000034372	ENSMSIG00000028611	Mus_spicilegus
ENSMUSP00000019611	ENSMUSG00000019467	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0026257	MGP_SPRETEiJ_G0016710	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0024982	MGP_CAROLIEiJ_G0015884	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087679	MGP_PahariEiJ_G0031201	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006800	ENSRNOG00000005034	Rattus_norvegicus
ENSMUGP00000009638	ENSMUGG00000008489	Meriones_unguiculatus
ENSCGRP00001024817	ENSCGRG00001022612	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016986	ENSCGRG00000012351	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000739	ENSCGRG00015000432	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000010777	ENSPEMG00000011625	Peromyscus_maniculatus_bairdii
ENSMOCP00000013294	ENSMOCG00000013132	Microtus_ochrogaster
ENSNGAP00000017056	ENSNGAG00000017593	Nannospalax_galili
ENSJJAP00000019804	ENSJJAG00000020641	Jaculus_jaculus
ENSP00000431994	ENSG00000287908	Homo_sapiens
ENSP00000335560	ENSG00000240771	Homo_sapiens
ENSGGOP00000006154	ENSGGOG00000006284	Gorilla_gorilla
ENSPTRP00000056284	ENSPTRG00000005142	Pan_troglodytes
ENSPPAP00000041316	ENSPPAG00000043262	Pan_paniscus
ENSPPYP00000005352	ENSPPYG00000004698	Pongo_abelii
ENSNLEP00000020970	ENSNLEG00000017259	Nomascus_leucogenys
ENSPTEP00000029119	ENSPTEG00000028593	Piliocolobus_tephrosceles
ENSCANP00000010275	ENSCANG00000028549	Colobus_angolensis_palliatus
ENSRROP00000028369	ENSRROG00000037976	Rhinopithecus_roxellana
ENSRBIP00000006535	ENSRBIG00000026665	Rhinopithecus_bieti
ENSCATP00000042767	ENSCATG00000043971	Cercocebus_atys
ENSCSAP00000001048	ENSCSAG00000004726	Chlorocebus_sabaeus
ENSPANP00000007943	ENSPANG00000024375	Papio_anubis
ENSTGEP00000021929	ENSTGEG00000017713	Theropithecus_gelada
ENSMLEP00000027323	ENSMLEG00000037870	Mandrillus_leucophaeus
ENSMMUP00000001575	ENSMMUG00000031819	Macaca_mulatta
ENSMNEP00000018639	ENSMNEG00000033217	Macaca_nemestrina
ENSMFAP00000024539	ENSMFAG00000043848	Macaca_fascicularis
ENSSBOP00000015546	ENSSBOG00000024503	Saimiri_boliviensis_boliviensis
ENSCCAP00000007004	ENSCCAG00000021234	Cebus_capucinus_imitator
ENSCJAP00000012874	ENSCJAG00000006921	Callithrix_jacchus
ENSANAP00000030590	ENSANAG00000032997	Aotus_nancymaae
ENSTSYP00000024610	ENSTSYG00000011046	Carlito_syrichta
ENSPCOP00000005866	ENSPCOG00000013968	Propithecus_coquereli
ENSMICP00000005033	ENSMICG00000005518	Microcebus_murinus
ENSPSMP00000031531	ENSPSMG00000021839	Prolemur_simus
ENSOGAP00000021846	ENSOGAG00000034795	Otolemur_garnettii
ENSBIXP00000015354	ENSBIXG00000019894	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000066043	ENSBTAG00000018003	Bos_taurus
ENSBMUP00000034267	ENSBMUG00000025517	Bos_mutus
ENSBIXP00005006199	ENSBIXG00005011722	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000002683	ENSBBBG00000011821	Bison_bison_bison
ENSCHIP00000001153	ENSCHIG00000001591	Capra_hircus
ENSOARP00000006296	ENSOARG00000005874	Ovis_aries
ENSTTRP00000015918	ENSTTRG00000016790	Tursiops_truncatus
ENSSSCP00000000469	ENSSSCG00000000435	Sus_scrofa_strain_reference
ENSVPAP00000008088	ENSVPAG00000008689	Vicugna_pacos
