ENSGACP00000021154	ENSGACG00000016029	Gasterosteus_aculeatus
ENSCHAP00000056000	ENSCHAG00000025344	Clupea_harengus
ENSSHAP00000015235	ENSSHAG00000012992	Sarcophilus_harrisii
ENSAMXP00000044856	ENSAMXG00000042693	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMGAP00000003134	ENSMGAG00000003390	Meleagris_gallopavo
ENSHHUP00000063905	ENSHHUG00000037757	Hucho_hucho
ENSTSYP00000008782	ENSTSYG00000009586	Carlito_syrichta
ENSHHUP00000025712	ENSHHUG00000016155	Hucho_hucho
ENSAMXP00005013596	ENSAMXG00005007296	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSUAMP00000026357	ENSUAMG00000020284	Ursus_americanus
ENSPVAP00000003807	ENSPVAG00000004024	Pteropus_vampyrus
ENSMOCP00000003703	ENSMOCG00000002959	Microtus_ochrogaster
ENSMUNP00000018052	ENSMUNG00000013813	Melopsittacus_undulatus
ENSNSUP00000018612	ENSNSUG00000013508	Notechis_scutatus
ENSPFOP00000008336	ENSPFOG00000008338	Poecilia_formosa
ENSSHAP00000021452	ENSSHAG00000018179	Sarcophilus_harrisii
ENSLACP00000004039	ENSLACG00000003596	Latimeria_chalumnae
ENSCGRP00000019137	ENSCGRG00000013940	Cricetulus_griseus_CriGri_1.0
ENSFCAP00000059680	ENSFCAG00000014281	Felis_catus
ENSAPEP00000021948	ENSAPEG00000015658	Amphiprion_percula
FBpp0077618	FBgn0031298	Drosophila_melanogaster
ENSNSUP00000029032	ENSNSUG00000020597	Notechis_scutatus
Y87G2A.3b.1	WBGene00013595	Caenorhabditis_elegans_strain_N2
ENSSDUP00000018579	ENSSDUG00000013562	Seriola_dumerili
ENSCGOP00000046071	ENSCGOG00000020669	Cottoperca_gobio
ENSGAGP00000000617	ENSGAGG00000000504	Gopherus_agassizii
ENSOMEP00000006347	ENSOMEG00000007390	Oryzias_melastigma
ENSMODP00000001680	ENSMODG00000001393	Monodelphis_domestica
ENSMZEP00005031996	ENSMZEG00005023860	Maylandia_zebra
ENSCSEP00000015215	ENSCSEG00000009774	Cynoglossus_semilaevis
ENSSMAP00000003588	ENSSMAG00000002224	Scophthalmus_maximus
ENSAMEP00000012028	ENSAMEG00000011409	Ailuropoda_melanoleuca
ENSNVIP00000025407	ENSNVIG00000019583	Neovison_vison
ENSCJAP00000014284	ENSCJAG00000007676	Callithrix_jacchus
ENSTSYP00000010424	ENSTSYG00000011364	Carlito_syrichta
ENSATEP00000029072	ENSATEG00000020019	Anabas_testudineus
ENSP00000322159	ENSG00000125703	Homo_sapiens
ENSCGRP00015029235	ENSCGRG00015022084	Cricetulus_griseus_CriGri-PICR
ENSPTEP00000016361	ENSPTEG00000017997	Piliocolobus_tephrosceles
ENSP00000361306	ENSG00000101844	Homo_sapiens
ENSPLAP00000014847	ENSPLAG00000018657	Poecilia_latipinna
