ENSSPAP00000020317	ENSSPAG00000015343	Stegastes_partitus
ENSLBEP00000001957	ENSLBEG00000001552	Labrus_bergylta
ENSSLDP00000002111	ENSSLDG00000001734	Seriola_lalandi_dorsalis
ENSSDUP00000020750	ENSSDUG00000015113	Seriola_dumerili
ENSLCAP00010024676	ENSLCAG00010011547	Lates_calcarifer
ENSXMAP00000023285	ENSXMAG00000021034	Xiphophorus_maculatus
ENSPREP00000024842	ENSPREG00000016769	Poecilia_reticulata
ENSCVAP00000031631	ENSCVAG00000021023	Cyprinodon_variegatus
ENSKMAP00000014896	ENSKMAG00000011161	Kryptolebias_marmoratus
ENSORLP00000030773	ENSORLG00000028673	Oryzias_latipes_ASM223467v1
ENSORLP00020016496	ENSORLG00020017525	Oryzias_latipes_ASM223471v1
ENSOMEP00000018467	ENSOMEG00000020173	Oryzias_melastigma
ENSCSEP00000018640	ENSCSEG00000011943	Cynoglossus_semilaevis
ENSACLP00000021520	ENSACLG00000014629	Astatotilapia_calliptera
ENSMZEP00005004578	ENSMZEG00005003563	Maylandia_zebra
ENSHBUP00000027800	ENSHBUG00000011189	Haplochromis_burtoni
ENSPNYP00000021452	ENSPNYG00000016201	Pundamilia_nyererei
ENSNBRP00000005030	ENSNBRG00000004008	Neolamprologus_brichardi
ENSACIP00000009184	ENSACIG00000007209	Amphilophus_citrinellus
ENSCGOP00000038036	ENSCGOG00000017462	Cottoperca_gobio
ENSFHEP00000030542	ENSFHEG00000015887	Fundulus_heteroclitus
ENSAPOP00000004950	ENSAPOG00000006590	Acanthochromis_polyacanthus
ENSMAMP00000001810	ENSMAMG00000001279	Mastacembelus_armatus
ENSPRNP00000002980	ENSPRNG00000001832	Parambassis_ranga
ENSHCOP00000007500	ENSHCOG00000009546	Hippocampus_comes
ENSMMOP00000003904	ENSMMOG00000003127	Mola_mola
ENSTRUP00000054373	ENSTRUG00000021107	Takifugu_rubripes
ENSSMAP00000001796	ENSSMAG00000001123	Scophthalmus_maximus
ENSELUP00000022591	ENSELUG00000021532	Esox_lucius
ENSPNAP00000022596	ENSPNAG00000029995	Pygocentrus_nattereri
ENSAMXP00005008456	ENSAMXG00005004921	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000032516	ENSEEEG00000015504	Electrophorus_electricus
ENSIPUP00000030695	ENSIPUG00000020732	Ictalurus_punctatus
