ENSUPAP00010013246	ENSUPAG00010010686	Urocitellus_parryii
ENSLCOP00000011578	ENSLCOG00000007623	Lepidothrix_coronata
ENSPANP00000045049	ENSPANG00000017057	Papio_anubis
ENSOANP00000025111	ENSOANG00000019799	Ornithorhynchus_anatinus
ENSHCOP00000014599	ENSHCOG00000018021	Hippocampus_comes
ENSAPEP00000027406	ENSAPEG00000019414	Amphiprion_percula
ENSPFOP00000008133	ENSPFOG00000006883	Poecilia_formosa
ENSPLAP00000013846	ENSPLAG00000017469	Poecilia_latipinna
ENSPCAP00000011533	ENSPCAG00000012236	Procavia_capensis
ENSAHAP00000023127	ENSAHAG00000015843	Apteryx_haastii
ENSMODP00000043544	ENSMODG00000003088	Monodelphis_domestica	ENSMODT00000085357
MGP_CAROLIEiJ_P0018945	MGP_CAROLIEiJ_G0014387	Mus_caroli_strain_CAROLI_EIJ
ENSAOWP00000016882	ENSAOWG00000011185	Apteryx_owenii
ENSCAFP00020031005	ENSCAFG00020023838	Canis_lupus_dingo
ENSPKIP00000031656	ENSPKIG00000012019	Paramormyrops_kingsleyae
ENSNSUP00000016239	ENSNSUG00000012016	Notechis_scutatus
ENSPREP00000032046	ENSPREG00000021706	Poecilia_reticulata
ENSRBIP00000009384	ENSRBIG00000028481	Rhinopithecus_bieti
ENSKMAP00000006450	ENSKMAG00000004854	Kryptolebias_marmoratus
ENSCPUP00000027995	ENSCPUG00000018845	Calidris_pugnax
ENSCSAP00000002626	ENSCSAG00000006335	Chlorocebus_sabaeus
ENSCATP00000036141	ENSCATG00000040893	Cercocebus_atys
ENSNMEP00000018649	ENSNMEG00000015936	Numida_meleagris
ENSBTAP00000072205	ENSBTAG00000020616	Bos_taurus
ENSFCAP00000056244	ENSFCAG00000002072	Felis_catus
ENSHCOP00000005093	ENSHCOG00000006714	Hippocampus_comes
ENSPSMP00000037763	ENSPSMG00000025922	Prolemur_simus
ENSNGAP00000004753	ENSNGAG00000006417	Nannospalax_galili
ENSHBUP00000014692	ENSHBUG00000016587	Haplochromis_burtoni
ENSFHEP00000007809	ENSFHEG00000008996	Fundulus_heteroclitus
ENSORLP00015029613	ENSORLG00015012870	Oryzias_latipes_ASM223469v1
ENSCANP00000022162	ENSCANG00000034514	Colobus_angolensis_palliatus
ENSCGOP00000034612	ENSCGOG00000015637	Cottoperca_gobio
ENSXCOP00000016586	ENSXCOG00000012519	Xiphophorus_couchianus
ENSXCOP00000016584	ENSXCOG00000012517	Xiphophorus_couchianus
ENSPSIP00000003421	ENSPSIG00000003268	Pelodiscus_sinensis
ENSOPRP00000010869	ENSOPRG00000011886	Ochotona_princeps
ENSGAFP00000007585	ENSGAFG00000005147	Gambusia_affinis
ENSXETP00000043060	ENSXETG00000018230	Xenopus_tropicalis
ENSPPRP00000003411	ENSPPRG00000022746	Panthera_pardus
ENSHCOP00000005076	ENSHCOG00000006685	Hippocampus_comes
ENSLBEP00000018130	ENSLBEG00000013981	Labrus_bergylta
ENSPNYP00000030762	ENSPNYG00000023183	Pundamilia_nyererei
ENSAMXP00005006780	ENSAMXG00005002526	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSHAP00000000221	ENSSHAG00000000188	Sarcophilus_harrisii
ENSDARP00000148770	ENSDARG00000113111	Danio_rerio
ENSPPYP00000014859	ENSPPYG00000013291	Pongo_abelii
ENSSMAP00000008166	ENSSMAG00000005021	Scophthalmus_maximus
ENSTNIP00000014129	ENSTNIG00000011194	Tetraodon_nigroviridis
ENSLCAP00010003606	ENSLCAG00010001852	Lates_calcarifer
ENSCJPP00005020384	ENSCJPG00005016296	Coturnix_japonica
ENSHHUP00000071991	ENSHHUG00000042220	Hucho_hucho
ENSHBUP00000016758	ENSHBUG00000018761	Haplochromis_burtoni
ENSMALP00000028290	ENSMALG00000019550	Monopterus_albus
MGP_SPRETEiJ_P0019957	MGP_SPRETEiJ_G0015189	Mus_spretus_strain_SPRET/EiJ
ENSORLP00015002046	ENSORLG00015002677	Oryzias_latipes_ASM223469v1
ENSTGUP00000007725	ENSTGUG00000007464	Taeniopygia_guttata
ENSAOCP00000029851	ENSAOCG00000020435	Amphiprion_ocellaris
ENSMUNP00000004050	ENSMUNG00000003352	Melopsittacus_undulatus
ENSGALP00000002651	ENSGALG00000001730	Gallus_gallus
ENSMICP00000043090	ENSMICG00000010285	Microcebus_murinus
ENSPTIP00000000192	ENSPTIG00000000304	Panthera_tigris_altaica
ENSFDAP00000007062	ENSFDAG00000006436	Fukomys_damarensis
ENSODEP00000011276	ENSODEG00000008384	Octodon_degus	ENSODET00000011434
ENSSFOP00015025851	ENSSFOG00015016554	Scleropages_formosus
ENSMLEP00000038883	ENSMLEG00000043481	Mandrillus_leucophaeus
ENSPMJP00000023132	ENSPMJG00000017102	Parus_major
ENSPMGP00000022328	ENSPMGG00000018055	Periophthalmus_magnuspinnatus
ENSPCOP00000005822	ENSPCOG00000013926	Propithecus_coquereli
ENSEEEP00000046832	ENSEEEG00000022048	Electrophorus_electricus
ENSSCAP00000003805	ENSSCAG00000003157	Serinus_canaria
ENSACAP00000005791	ENSACAG00000005773	Anolis_carolinensis
ENSDNOP00000029251	ENSDNOG00000012959	Dasypus_novemcinctus	ENSDNOT00000047655
ENSMFAP00000032646	ENSMFAG00000002861	Macaca_fascicularis
ENSTNIP00000014130	ENSTNIG00000011195	Tetraodon_nigroviridis
ENSTBEP00000002265	ENSTBEG00000002577	Tupaia_belangeri
ENSMAMP00000027265	ENSMAMG00000018290	Mastacembelus_armatus
ENSACIP00000009048	ENSACIG00000007085	Amphilophus_citrinellus
