ENSUMAP00000022319	ENSUMAG00000016319	Ursus_maritimus
ENSUAMP00000017596	ENSUAMG00000013952	Ursus_americanus
ENSAMEP00000019508	ENSAMEG00000018455	Ailuropoda_melanoleuca
ENSNVIP00000018531	ENSNVIG00000014471	Neovison_vison
ENSMPUP00000005465	ENSMPUG00000005507	Mustela_putorius_furo
ENSCAFP00000012289	ENSCAFG00000008359	Canis_lupus_familiaris
ENSCAFP00020002785	ENSCAFG00020002344	Canis_lupus_dingo
ENSVVUP00000034651	ENSVVUG00000024989	Vulpes_vulpes
ENSFCAP00000012351	ENSFCAG00000013313	Felis_catus
ENSEASP00005023257	ENSEASG00005015836	Equus_asinus_asinus
ENSECAP00000014559	ENSECAG00000016928	Equus_caballus
ENSMLUP00000007573	ENSMLUG00000008273	Myotis_lucifugus
ENSPVAP00000007999	ENSPVAG00000008469	Pteropus_vampyrus
ENSBIXP00000030491	ENSBIXG00000012488	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044016	ENSBIXG00005027853	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000017605	ENSBTAG00000024545	Bos_taurus
ENSBBBP00000006183	ENSBBBG00000014789	Bison_bison_bison
ENSOARP00000001482	ENSOARG00000001415	Ovis_aries
ENSTTRP00000014929	ENSTTRG00000015737	Tursiops_truncatus
ENSSSCP00000027513	ENSSSCG00000026886	Sus_scrofa_strain_reference
ENSSARP00000005838	ENSSARG00000006391	Sorex_araneus
ENSEEUP00000000507	ENSEEUG00000000578	Erinaceus_europaeus
ENSPSMP00000029528	ENSPSMG00000020507	Prolemur_simus
ENSMICP00000050324	ENSMICG00000038569	Microcebus_murinus
ENSPTRP00000028382	ENSPTRG00000016532	Pan_troglodytes
ENSGGOP00000001429	ENSGGOG00000001442	Gorilla_gorilla
ENSPPYP00000016915	ENSPPYG00000015136	Pongo_abelii
ENSNLEP00000007281	ENSNLEG00000006005	Nomascus_leucogenys
ENSP00000349768	ENSG00000197410	Homo_sapiens
ENSRROP00000036195	ENSRROG00000041567	Rhinopithecus_roxellana
ENSPTEP00000005261	ENSPTEG00000006101	Piliocolobus_tephrosceles
ENSTGEP00000019485	ENSTGEG00000015692	Theropithecus_gelada
ENSCATP00000026915	ENSCATG00000036853	Cercocebus_atys
ENSMMUP00000018431	ENSMMUG00000014024	Macaca_mulatta
ENSMFAP00000003433	ENSMFAG00000001472	Macaca_fascicularis
ENSANAP00000029996	ENSANAG00000032762	Aotus_nancymaae
ENSCJAP00000078691	ENSCJAG00000064074	Callithrix_jacchus
ENSTBEP00000000230	ENSTBEG00000000229	Tupaia_belangeri	ENSTBET00000000270
ENSCGRP00015031791	ENSCGRG00015023951	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021132	ENSCGRG00001020047	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010588	ENSCGRG00000007769	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000000411	ENSPEMG00000000300	Peromyscus_maniculatus_bairdii
ENSMOCP00000004541	ENSMOCG00000003794	Microtus_ochrogaster
ENSMUSP00000141425	ENSMUSG00000102692	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000036225	ENSMSIG00000030135	Mus_spicilegus
MGP_SPRETEiJ_P0060470	MGP_SPRETEiJ_G0026049	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0058147	MGP_CAROLIEiJ_G0025107	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069109	MGP_PahariEiJ_G0026550	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000019739	ENSNGAG00000019461	Nannospalax_galili
ENSJJAP00000021952	ENSJJAG00000022152	Jaculus_jaculus
ENSDORP00000013265	ENSDORG00000014105	Dipodomys_ordii
ENSCLAP00000007694	ENSCLAG00000005396	Chinchilla_lanigera
ENSODEP00000006041	ENSODEG00000004538	Octodon_degus
ENSCPOP00000004751	ENSCPOG00000005282	Cavia_porcellus
ENSCAPP00000003702	ENSCAPG00000006395	Cavia_aperea
ENSHGLP00000003178	ENSHGLG00000002366	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003322	ENSHGLG00100002532	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021578	ENSFDAG00000007604	Fukomys_damarensis
ENSMMMP00000004366	ENSMMMG00000003925	Marmota_marmota_marmota
ENSSTOP00000031472	ENSSTOG00000032627	Ictidomys_tridecemlineatus
ENSOCUP00000009268	ENSOCUG00000010772	Oryctolagus_cuniculus	ENSOCUT00000010766
ENSOPRP00000015199	ENSOPRG00000016620	Ochotona_princeps	ENSOPRT00000016641
ENSDNOP00000011189	ENSDNOG00000014408	Dasypus_novemcinctus
ENSCHOP00000002273	ENSCHOG00000002553	Choloepus_hoffmanni
ENSLAFP00000005241	ENSLAFG00000006246	Loxodonta_africana
ENSPCAP00000010959	ENSPCAG00000011561	Procavia_capensis
ENSETEP00000000256	ENSETEG00000000325	Echinops_telfairi
