ENSSPAP00000007900	ENSSPAG00000006040	Stegastes_partitus
ENSMMOP00000002452	ENSMMOG00000001996	Mola_mola
ENSATEP00000023033	ENSATEG00000015962	Anabas_testudineus
ENSSDUP00000026143	ENSSDUG00000018951	Seriola_dumerili
ENSTRUP00000023570	ENSTRUG00000009374	Takifugu_rubripes
ENSPKIP00000011632	ENSPKIG00000018631	Paramormyrops_kingsleyae
ENSSMAP00000026010	ENSSMAG00000015909	Scophthalmus_maximus
ENSGACP00000022652	ENSGACG00000017146	Gasterosteus_aculeatus
ENSPMEP00000028840	ENSPMEG00000014196	Poecilia_mexicana
ENSOMEP00000015574	ENSOMEG00000017176	Oryzias_melastigma
ENSHHUP00000077924	ENSHHUG00000045495	Hucho_hucho
ENSMALP00000015084	ENSMALG00000010596	Monopterus_albus
ENSKMAP00000003471	ENSKMAG00000002624	Kryptolebias_marmoratus
ENSPMGP00000022014	ENSPMGG00000017828	Periophthalmus_magnuspinnatus
ENSTNIP00000019944	ENSTNIG00000016830	Tetraodon_nigroviridis
ENSHCOP00000003069	ENSHCOG00000004361	Hippocampus_comes
ENSEEEP00000030023	ENSEEEG00000014394	Electrophorus_electricus
ENSGWIP00000033571	ENSGWIG00000017296	Gouania_willdenowi
ENSLCRP00005027938	ENSLCRG00005011097	Larimichthys_crocea
ENSXCOP00000021119	ENSXCOG00000015797	Xiphophorus_couchianus
ENSAPOP00000003961	ENSAPOG00000005652	Acanthochromis_polyacanthus
ENSONIP00000003483	ENSONIG00000002777	Oreochromis_niloticus
ENSGAFP00000029469	ENSGAFG00000019871	Gambusia_affinis
ENSELUP00000026951	ENSELUG00000003013	Esox_lucius
ENSCVAP00000020307	ENSCVAG00000001612	Cyprinodon_variegatus
ENSDCDP00000033949	ENSDCDG00000023040	Denticeps_clupeoides	ENSDCDT00000043545
ENSAOCP00000017340	ENSAOCG00000022374	Amphiprion_ocellaris
ENSACIP00000014002	ENSACIG00000010898	Amphilophus_citrinellus
ENSXMAP00000013294	ENSXMAG00000013266	Xiphophorus_maculatus
ENSAPEP00000011267	ENSAPEG00000007976	Amphiprion_percula
ENSORLP00020034226	ENSORLG00020020633	Oryzias_latipes_ASM223471v1
ENSDARP00000048129	ENSDARG00000031929	Danio_rerio
ENSCHAP00000046075	ENSCHAG00000021325	Clupea_harengus	ENSCHAT00000049812
ENSGMOP00000004314	ENSGMOG00000004066	Gadus_morhua
ENSCGOP00000002702	ENSCGOG00000001406	Cottoperca_gobio
ENSSLDP00000028870	ENSSLDG00000022298	Seriola_lalandi_dorsalis
ENSSFOP00015007589	ENSSFOG00015004994	Scleropages_formosus
ENSAMXP00000000197	ENSAMXG00000000192	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000045852	ENSCHAG00000021244	Clupea_harengus	ENSCHAT00000049571
ENSAMXP00005057245	ENSAMXG00005025304	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSEP00000007646	ENSCSEG00000004932	Cynoglossus_semilaevis
ENSNBRP00000029938	ENSNBRG00000022728	Neolamprologus_brichardi
ENSPNAP00000015732	ENSPNAG00000021805	Pygocentrus_nattereri
ENSMZEP00005007650	ENSMZEG00005005851	Maylandia_zebra
ENSORLP00000002317	ENSORLG00000001862	Oryzias_latipes_ASM223467v1
ENSORLP00015027827	ENSORLG00015010110	Oryzias_latipes_ASM223469v1
ENSLOCP00000018698	ENSLOCG00000015192	Lepisosteus_oculatus
ENSPREP00000014028	ENSPREG00000009479	Poecilia_reticulata
ENSMAMP00000031033	ENSMAMG00000020879	Mastacembelus_armatus
ENSLCAP00010037868	ENSLCAG00010017742	Lates_calcarifer
ENSPFOP00000011393	ENSPFOG00000011377	Poecilia_formosa
ENSIPUP00000028705	ENSIPUG00000019435	Ictalurus_punctatus
ENSACLP00000028586	ENSACLG00000019394	Astatotilapia_calliptera
ENSPNYP00000017584	ENSPNYG00000013309	Pundamilia_nyererei
ENSPLAP00000027726	ENSPLAG00000016558	Poecilia_latipinna
ENSPRNP00000008024	ENSPRNG00000004788	Parambassis_ranga
ENSFHEP00000014409	ENSFHEG00000015953	Fundulus_heteroclitus
ENSBSLP00000021576	ENSBSLG00000011115	Betta_splendens
ENSHHUP00000049957	ENSHHUG00000030179	Hucho_hucho
ENSHBUP00000012482	ENSHBUG00000014257	Haplochromis_burtoni
ENSLBEP00000011285	ENSLBEG00000008696	Labrus_bergylta
