ENSPCIP00000009587	ENSPCIG00000006359	Phascolarctos_cinereus
ENSVURP00010015915	ENSVURG00010012190	Vombatus_ursinus
ENSMEUP00000009126	ENSMEUG00000009994	Notamacropus_eugenii
ENSSHAP00000001197	ENSSHAG00000001069	Sarcophilus_harrisii
ENSMODP00000037361	ENSMODG00000008922	Monodelphis_domestica
ENSCHOP00000010129	ENSCHOG00000011444	Choloepus_hoffmanni
ENSDNOP00000022077	ENSDNOG00000046150	Dasypus_novemcinctus
ENSPCAP00000009290	ENSPCAG00000009934	Procavia_capensis
ENSETEP00000008291	ENSETEG00000010207	Echinops_telfairi
ENSLAFP00000028339	ENSLAFG00000006262	Loxodonta_africana
ENSSTOP00000015334	ENSSTOG00000005843	Ictidomys_tridecemlineatus
ENSUPAP00010007198	ENSUPAG00010005790	Urocitellus_parryii
ENSSDAP00000017526	ENSSDAG00000015741	Spermophilus_dauricus
ENSMMMP00000002504	ENSMMMG00000002203	Marmota_marmota_marmota
ENSCCNP00000015553	ENSCCNG00000015375	Castor_canadensis
ENSCLAP00000009136	ENSCLAG00000006366	Chinchilla_lanigera
ENSCPOP00000005437	ENSCPOG00000006023	Cavia_porcellus
ENSODEP00000020215	ENSODEG00000014907	Octodon_degus
ENSHGLP00000021850	ENSHGLG00000015595	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022912	ENSHGLG00100016850	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000002114	ENSFDAG00000012059	Fukomys_damarensis
ENSPPAP00000016229	ENSPPAG00000031190	Pan_paniscus
ENSPTRP00000046774	ENSPTRG00000007300	Pan_troglodytes
ENSP00000378402	ENSG00000169375	Homo_sapiens
ENSPPYP00000007556	ENSPPYG00000006660	Pongo_abelii
ENSTGEP00000036026	ENSTGEG00000028676	Theropithecus_gelada
ENSMLEP00000037944	ENSMLEG00000043037	Mandrillus_leucophaeus
ENSMMUP00000012162	ENSMMUG00000009281	Macaca_mulatta
ENSMFAP00000006874	ENSMFAG00000041042	Macaca_fascicularis
ENSMNEP00000023540	ENSMNEG00000035319	Macaca_nemestrina
ENSCATP00000020391	ENSCATG00000033941	Cercocebus_atys
ENSCSAP00000010639	ENSCSAG00000014519	Chlorocebus_sabaeus
ENSCANP00000021660	ENSCANG00000034251	Colobus_angolensis_palliatus
ENSPTEP00000025021	ENSPTEG00000025386	Piliocolobus_tephrosceles
ENSRROP00000043335	ENSRROG00000044727	Rhinopithecus_roxellana
ENSRBIP00000034690	ENSRBIG00000041009	Rhinopithecus_bieti
ENSCJAP00000028750	ENSCJAG00000015537	Callithrix_jacchus
ENSSBOP00000021519	ENSSBOG00000027280	Saimiri_boliviensis_boliviensis
ENSCCAP00000018432	ENSCCAG00000026920	Cebus_capucinus_imitator
ENSANAP00000023820	ENSANAG00000029539	Aotus_nancymaae
ENSTTRP00000010863	ENSTTRG00000011452	Tursiops_truncatus
ENSSARP00000004421	ENSSARG00000004830	Sorex_araneus
MGP_SPRETEiJ_P0091608	MGP_SPRETEiJ_G0033401	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000010402	ENSMSIG00000009029	Mus_spicilegus
ENSMUSP00000130221	ENSMUSG00000042557	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0087999	MGP_CAROLIEiJ_G0032261	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023646	MGP_PahariEiJ_G0015128	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072640	ENSRNOG00000032254	Rattus_norvegicus
ENSMUGP00000029396	ENSMUGG00000024344	Meriones_unguiculatus
ENSCGRP00000007690	ENSCGRG00000005601	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033537	ENSCGRG00015025232	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001028229	ENSCGRG00001025002	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000025202	ENSMAUG00000021800	Mesocricetus_auratus
ENSMOCP00000001495	ENSMOCG00000001132	Microtus_ochrogaster
ENSPEMP00000006620	ENSPEMG00000008770	Peromyscus_maniculatus_bairdii
ENSNGAP00000014510	ENSNGAG00000015781	Nannospalax_galili
ENSOPRP00000007642	ENSOPRG00000008345	Ochotona_princeps
ENSOCUP00000034155	ENSOCUG00000003266	Oryctolagus_cuniculus
ENSDORP00000010121	ENSDORG00000010771	Dipodomys_ordii
ENSTBEP00000010533	ENSTBEG00000012131	Tupaia_belangeri
ENSPVAP00000009458	ENSPVAG00000010031	Pteropus_vampyrus
ENSMLUP00000008885	ENSMLUG00000009694	Myotis_lucifugus
ENSUMAP00000004652	ENSUMAG00000003752	Ursus_maritimus
ENSUAMP00000029463	ENSUAMG00000022133	Ursus_americanus
ENSAMEP00000008684	ENSAMEG00000008231	Ailuropoda_melanoleuca
ENSNVIP00000017262	ENSNVIG00000013518	Neovison_vison
ENSMPUP00000017213	ENSMPUG00000017323	Mustela_putorius_furo
ENSCAFP00020004567	ENSCAFG00020003772	Canis_lupus_dingo
ENSCAFP00000042090	ENSCAFG00000018010	Canis_lupus_familiaris
ENSVVUP00000026589	ENSVVUG00000019521	Vulpes_vulpes
ENSPTIP00000025397	ENSPTIG00000021185	Panthera_tigris_altaica
ENSPPRP00000025431	ENSPPRG00000015707	Panthera_pardus
ENSFCAP00000010558	ENSFCAG00000011363	Felis_catus
ENSECAP00000022189	ENSECAG00000024605	Equus_caballus
ENSEASP00005023073	ENSEASG00005015722	Equus_asinus_asinus
ENSBIXP00005005153	ENSBIXG00005000583	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006869	ENSBIXG00000012944	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000013167	ENSBTAG00000009985	Bos_taurus
ENSBMUP00000002301	ENSBMUG00000001813	Bos_mutus
ENSBBBP00000001087	ENSBBBG00000010247	Bison_bison_bison
ENSCHIP00000022952	ENSCHIG00000020724	Capra_hircus
ENSOARP00000002349	ENSOARG00000002221	Ovis_aries
ENSSSCP00000040790	ENSSSCG00000001880	Sus_scrofa_strain_reference
ENSVPAP00000001627	ENSVPAG00000001760	Vicugna_pacos
ENSPCOP00000016203	ENSPCOG00000019860	Propithecus_coquereli
ENSMICP00000050108	ENSMICG00000016172	Microcebus_murinus
ENSPSMP00000011402	ENSPSMG00000008218	Prolemur_simus
ENSOGAP00000000137	ENSOGAG00000000155	Otolemur_garnettii
ENSTSYP00000005377	ENSTSYG00000005874	Carlito_syrichta
ENSNLEP00000043924	ENSNLEG00000013328	Nomascus_leucogenys
ENSGGOP00000035548	ENSGGOG00000042046	Gorilla_gorilla
ENSPANP00000009527	ENSPANG00000012224	Papio_anubis
ENSCAPP00000010185	ENSCAPG00000011457	Cavia_aperea
ENSEEUP00000013399	ENSEEUG00000014665	Erinaceus_europaeus
ENSOANP00000016807	ENSOANG00000010605	Ornithorhynchus_anatinus
ENSCABP00000024166	ENSCABG00000017823	Chelonoidis_abingdonii
ENSGAGP00000031271	ENSGAGG00000022473	Gopherus_agassizii
ENSCPBP00000031575	ENSCPBG00000022158	Chrysemys_picta_bellii
ENSPSIP00000019611	ENSPSIG00000017398	Pelodiscus_sinensis
ENSAHAP00000021327	ENSAHAG00000014990	Apteryx_haastii
ENSAOWP00000025063	ENSAOWG00000016963	Apteryx_owenii
ENSARWP00000021190	ENSARWG00000014479	Apteryx_rowi
ENSDNVP00000002900	ENSDNVG00000002088	Dromaius_novaehollandiae
ENSNPEP00000009354	ENSNPEG00000006575	Nothoprocta_perdicaria
ENSCPUP00000023636	ENSCPUG00000016053	Calidris_pugnax
ENSCPUP00000021727	ENSCPUG00000014786	Calidris_pugnax
ENSCPGP00000014541	ENSCPGG00000010289	Calidris_pygmaea
ENSMUNP00000016374	ENSMUNG00000012604	Melopsittacus_undulatus
ENSMVIP00005019610	ENSMVIG00005013880	Manacus_vitellinus
ENSLCOP00000022108	ENSLCOG00000015576	Lepidothrix_coronata
ENSTGUP00000003881	ENSTGUG00000003761	Taeniopygia_guttata
ENSLSDP00000014163	ENSLSDG00000010237	Lonchura_striata_domestica
ENSSCAP00000017696	ENSSCAG00000012841	Serinus_canaria
ENSJHYP00000020256	ENSJHYG00000015369	Junco_hyemalis
ENSZALP00000020901	ENSZALG00000016228	Zonotrichia_albicollis
ENSFALP00000011255	ENSFALG00000010788	Ficedula_albicollis
ENSCCEP00000027031	ENSCCEG00000023635	Cyanistes_caeruleus
ENSPMJP00000010301	ENSPMJG00000008132	Parus_major
ENSABRP00000000511	ENSABRG00000000585	Anser_brachyrhynchus
ENSAPLP00000012523	ENSAPLG00000012706	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000001777	ENSMGAG00000016399	Meleagris_gallopavo
ENSMGAP00000018049	ENSMGAG00000016650	Meleagris_gallopavo
ENSGALP00000002508	ENSGALG00000001644	Gallus_gallus
ENSCJPP00005009022	ENSCJPG00005007816	Coturnix_japonica
ENSNMEP00000012611	ENSNMEG00000011639	Numida_meleagris
ENSPVIP00000009192	ENSPVIG00000007327	Pogona_vitticeps
ENSACAP00000019188	ENSACAG00000005871	Anolis_carolinensis
ENSNSUP00000020176	ENSNSUG00000014292	Notechis_scutatus
ENSSMRP00000009308	ENSSMRG00000007437	Salvator_merianae
