ENSVURP00010006019	ENSVURG00010004668	Vombatus_ursinus	ENSVURT00010006805
ENSNVIP00000002846	ENSNVIG00000002240	Neovison_vison
ENSBIXP00005016366	ENSBIXG00005020059	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPCAP00000015443	ENSPCAG00000016419	Procavia_capensis
ENSCLAP00000023279	ENSCLAG00000015967	Chinchilla_lanigera
ENSMUGP00000006379	ENSMUGG00000005881	Meriones_unguiculatus
ENSOCUP00000029211	ENSOCUG00000006606	Oryctolagus_cuniculus
ENSEASP00005004089	ENSEASG00005003085	Equus_asinus_asinus
ENSSBOP00000012651	ENSSBOG00000023128	Saimiri_boliviensis_boliviensis
ENSUMAP00000000371	ENSUMAG00000000426	Ursus_maritimus
ENSCGRP00000007383	ENSCGRG00000005370	Cricetulus_griseus_CriGri_1.0
ENSRBIP00000015063	ENSRBIG00000031623	Rhinopithecus_bieti
ENSECAP00000007308	ENSECAG00000009296	Equus_caballus
ENSOPRP00000007433	ENSOPRG00000008111	Ochotona_princeps
ENSHGLP00100017121	ENSHGLG00100012623	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000017557	ENSMMMG00000015573	Marmota_marmota_marmota
ENSTGEP00000024330	ENSTGEG00000019666	Theropithecus_gelada
ENSCAFP00000009817	ENSCAFG00000006532	Canis_lupus_familiaris
ENSOGAP00000017188	ENSOGAG00000024231	Otolemur_garnettii
ENSRROP00000032355	ENSRROG00000039837	Rhinopithecus_roxellana
ENSANAP00000033028	ENSANAG00000034179	Aotus_nancymaae
ENSBTAP00000020475	ENSBTAG00000015405	Bos_taurus
ENSJJAP00000014716	ENSJJAG00000017088	Jaculus_jaculus
ENSCHIP00000010537	ENSCHIG00000012957	Capra_hircus	ENSCHIT00000018316
ENSNLEP00000021203	ENSNLEG00000017465	Nomascus_leucogenys
ENSMMUP00000010188	ENSMMUG00000007754	Macaca_mulatta
ENSMODP00000043163	ENSMODG00000018475	Monodelphis_domestica
ENSNGAP00000002267	ENSNGAG00000001902	Nannospalax_galili
ENSDNOP00000018420	ENSDNOG00000047878	Dasypus_novemcinctus
ENSVVUP00000033349	ENSVVUG00000024107	Vulpes_vulpes
ENSPCIP00000013755	ENSPCIG00000026260	Phascolarctos_cinereus	ENSPCIT00000017010
ENSTBEP00000000215	ENSTBEG00000000259	Tupaia_belangeri
ENSMOCP00000006170	ENSMOCG00000005765	Microtus_ochrogaster
ENSCSAP00000000706	ENSCSAG00000004365	Chlorocebus_sabaeus
ENSPCOP00000015901	ENSPCOG00000019695	Propithecus_coquereli
ENSETEP00000007226	ENSETEG00000008887	Echinops_telfairi
ENSMAUP00000005932	ENSMAUG00000008012	Mesocricetus_auratus
ENSRNOP00000040147	ENSRNOG00000031643	Rattus_norvegicus
ENSCAPP00000014189	ENSCAPG00000014602	Cavia_aperea
ENSUPAP00010009049	ENSUPAG00010007314	Urocitellus_parryii
ENSPVAP00000002290	ENSPVAG00000002424	Pteropus_vampyrus	ENSPVAT00000002424
ENSFDAP00000000885	ENSFDAG00000011018	Fukomys_damarensis
ENSODEP00000013618	ENSODEG00000010062	Octodon_degus
ENSCATP00000026209	ENSCATG00000036519	Cercocebus_atys
ENSSSCP00000027872	ENSSSCG00000029189	Sus_scrofa_strain_reference
ENSMEUP00000002308	ENSMEUG00000002514	Notamacropus_eugenii
ENSLAFP00000013460	ENSLAFG00000016034	Loxodonta_africana
ENSTTRP00000004621	ENSTTRG00000004900	Tursiops_truncatus
ENSCPOP00000011280	ENSCPOG00000012536	Cavia_porcellus
ENSOANP00000032077	ENSOANG00000032249	Ornithorhynchus_anatinus
ENSPPAP00000030133	ENSPPAG00000038073	Pan_paniscus
ENSPTRP00000089031	ENSPTRG00000003300	Pan_troglodytes
ENSBBBP00000006809	ENSBBBG00000015059	Bison_bison_bison
ENSCCNP00000023501	ENSCCNG00000023065	Castor_canadensis
ENSP00000299441	ENSG00000166341	Homo_sapiens
ENSPEMP00000008437	ENSPEMG00000010052	Peromyscus_maniculatus_bairdii
ENSAMEP00000017158	ENSAMEG00000016249	Ailuropoda_melanoleuca
ENSTSYP00000012954	ENSTSYG00000014093	Carlito_syrichta
ENSOARP00000017898	ENSOARG00000016659	Ovis_aries	ENSOART00000018149
ENSMLEP00000022842	ENSMLEG00000035614	Mandrillus_leucophaeus
ENSMFAP00000023699	ENSMFAG00000043464	Macaca_fascicularis
ENSBMUP00000016799	ENSBMUG00000012738	Bos_mutus
ENSCMIP00000008493	ENSCMIG00000004559	Callorhinchus_milii
ENSMICP00000001968	ENSMICG00000002145	Microcebus_murinus
ENSMUSP00000077574	ENSMUSG00000036862	Mus_musculus_strain_reference_(CL57BL6)
ENSPTIP00000014731	ENSPTIG00000014056	Panthera_tigris_altaica
MGP_CAROLIEiJ_P0081379	MGP_CAROLIEiJ_G0030240	Mus_caroli_strain_CAROLI_EIJ
ENSSARP00000007330	ENSSARG00000008007	Sorex_araneus
ENSCAFP00020012101	ENSCAFG00020009712	Canis_lupus_dingo
ENSMLUP00000009213	ENSMLUG00000010047	Myotis_lucifugus	ENSMLUT00000010106
MGP_SPRETEiJ_P0084760	MGP_SPRETEiJ_G0031352	Mus_spretus_strain_SPRET/EiJ
ENSCJAP00000025481	ENSCJAG00000013828	Callithrix_jacchus
ENSGGOP00000000396	ENSGGOG00000000401	Gorilla_gorilla
ENSPPRP00000000253	ENSPPRG00000024944	Panthera_pardus
ENSEEUP00000007871	ENSEEUG00000008617	Erinaceus_europaeus
ENSSHAP00000011152	ENSSHAG00000009598	Sarcophilus_harrisii
ENSPSMP00000034779	ENSPSMG00000023945	Prolemur_simus
ENSSDAP00000022760	ENSSDAG00000020670	Spermophilus_dauricus
ENSMPUP00000005420	ENSMPUG00000005461	Mustela_putorius_furo
ENSCCAP00000023882	ENSCCAG00000029695	Cebus_capucinus_imitator
ENSBIXP00000012913	ENSBIXG00000007291	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMNEP00000001809	ENSMNEG00000008159	Macaca_nemestrina
ENSDORP00000000488	ENSDORG00000000524	Dipodomys_ordii
ENSMSIP00000033758	ENSMSIG00000028190	Mus_spicilegus
ENSCGRP00015016706	ENSCGRG00015012828	Cricetulus_griseus_CriGri-PICR
ENSUAMP00000033793	ENSUAMG00000025648	Ursus_americanus
ENSCGRP00001011502	ENSCGRG00001013120	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00000006392	ENSHGLG00000004668	Heterocephalus_glaber_HetGla_female_1.0
ENSCANP00000008393	ENSCANG00000027336	Colobus_angolensis_palliatus
MGP_PahariEiJ_P0018191	MGP_PahariEiJ_G0013455	Mus_pahari_strain_PAHARI_EIJ
ENSOANP00000006846	ENSOANG00000004318	Ornithorhynchus_anatinus
ENSSTOP00000023935	ENSSTOG00000025568	Ictidomys_tridecemlineatus
ENSPANP00000009757	ENSPANG00000024148	Papio_anubis
ENSPTEP00000042849	ENSPTEG00000039098	Piliocolobus_tephrosceles
