ENSPTRP00000070726	ENSPTRG00000048837	Pan_troglodytes	ENSPTRT00000077164
ENSPPAP00000033602	ENSPPAG00000039674	Pan_paniscus	ENSPPAT00000056478
ENSP00000333980	ENSG00000186230	Homo_sapiens	ENST00000334181
ENSGGOP00000025564	ENSGGOG00000028561	Gorilla_gorilla
ENSPPYP00000011728	ENSPPYG00000010466	Pongo_abelii
ENSNLEP00000013294	ENSNLEG00000010959	Nomascus_leucogenys
ENSMFAP00000012192	ENSMFAG00000022408	Macaca_fascicularis
ENSMMUP00000018760	ENSMMUG00000014282	Macaca_mulatta
ENSMNEP00000035850	ENSMNEG00000041075	Macaca_nemestrina
ENSCATP00000000761	ENSCATG00000003789	Cercocebus_atys
ENSPANP00000036844	ENSPANG00000034282	Papio_anubis
ENSMLEP00000030213	ENSMLEG00000039310	Mandrillus_leucophaeus
ENSTGEP00000018459	ENSTGEG00000014884	Theropithecus_gelada
ENSCSAP00000016392	ENSCSAG00000001634	Chlorocebus_sabaeus
ENSCANP00000006742	ENSCANG00000022438	Colobus_angolensis_palliatus
ENSCCAP00000038764	ENSCCAG00000037226	Cebus_capucinus_imitator
ENSSBOP00000010756	ENSSBOG00000022212	Saimiri_boliviensis_boliviensis
ENSCJAP00000069370	ENSCJAG00000056747	Callithrix_jacchus
ENSANAP00000016968	ENSANAG00000026354	Aotus_nancymaae
