ENSLCOP00000015570	ENSLCOG00000011108	Lepidothrix_coronata	ENSLCOT00000016443
ENSMVIP00005025028	ENSMVIG00005017530	Manacus_vitellinus	ENSMVIT00005028174
ENSZALP00000017248	ENSZALG00000013968	Zonotrichia_albicollis	ENSZALT00000023006
ENSDNVP00000019624	ENSDNVG00000013748	Dromaius_novaehollandiae
ENSNSUP00000014475	ENSNSUG00000010716	Notechis_scutatus
ENSCANP00000031331	ENSCANG00000039332	Colobus_angolensis_palliatus
ENSNLEP00000040267	ENSNLEG00000010172	Nomascus_leucogenys
ENSMNEP00000025091	ENSMNEG00000036052	Macaca_nemestrina
ENSPPAP00000013348	ENSPPAG00000029858	Pan_paniscus
ENSRROP00000014820	ENSRROG00000031607	Rhinopithecus_roxellana
ENSRBIP00000039843	ENSRBIG00000043370	Rhinopithecus_bieti
ENSSBOP00000019139	ENSSBOG00000026169	Saimiri_boliviensis_boliviensis
ENSPANP00000028556	ENSPANG00000031265	Papio_anubis
ENSMICP00000033136	ENSMICG00000027812	Microcebus_murinus
ENSPPRP00000015547	ENSPPRG00000008114	Panthera_pardus
