ENSGAFP00000008554	ENSGAFG00000005762	Gambusia_affinis
ENSIPUP00000027713	ENSIPUG00000018678	Ictalurus_punctatus	ENSIPUT00000028841
ENSAOCP00000027995	ENSAOCG00000017373	Amphiprion_ocellaris
ENSSMAP00000034818	ENSSMAG00000021281	Scophthalmus_maximus
ENSCCEP00000013287	ENSCCEG00000012797	Cyanistes_caeruleus
ENSACLP00000025495	ENSACLG00000017351	Astatotilapia_calliptera
ENSPPRP00000021551	ENSPPRG00000012425	Panthera_pardus
ENSPSMP00000031009	ENSPSMG00000021467	Prolemur_simus
ENSLCRP00005059523	ENSLCRG00005021185	Larimichthys_crocea	ENSLCRT00005060484
ENSMOCP00000019191	ENSMOCG00000017261	Microtus_ochrogaster
ENSPPYP00000007313	ENSPPYG00000006453	Pongo_abelii
ENSAPLP00000007394	ENSAPLG00000007672	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000027271	ENSNMEG00000022850	Numida_meleagris
ENSPPAP00000000693	ENSPPAG00000002733	Pan_paniscus
ENSOMEP00000008702	ENSOMEG00000009905	Oryzias_melastigma
ENSACAP00000004924	ENSACAG00000004898	Anolis_carolinensis
ENSMFAP00000017438	ENSMFAG00000031713	Macaca_fascicularis
ENSOPRP00000003668	ENSOPRG00000003953	Ochotona_princeps
ENSCJAP00000003360	ENSCJAG00000001821	Callithrix_jacchus
ENSCMIP00000009214	ENSCMIG00000004893	Callorhinchus_milii
ENSBTAP00000043868	ENSBTAG00000010145	Bos_taurus
ENSHGLP00100023261	ENSHGLG00100017088	Heterocephalus_glaber_HetGla_1.0
ENSCCAP00000022301	ENSCCAG00000028938	Cebus_capucinus_imitator
ENSAHAP00000002101	ENSAHAG00000001335	Apteryx_haastii
ENSMVIP00005022869	ENSMVIG00005016053	Manacus_vitellinus
ENSRBIP00000016667	ENSRBIG00000032330	Rhinopithecus_bieti
ENSSMRP00000029064	ENSSMRG00000022349	Salvator_merianae
ENSMAMP00000017042	ENSMAMG00000011512	Mastacembelus_armatus
ENSHBUP00000028810	ENSHBUG00000015725	Haplochromis_burtoni
ENSTSYP00000020722	ENSTSYG00000030529	Carlito_syrichta
ENSLCOP00000022365	ENSLCOG00000015752	Lepidothrix_coronata
ENSELUP00000002439	ENSELUG00000003881	Esox_lucius
ENSMMOP00000028549	ENSMMOG00000021559	Mola_mola	ENSMMOT00000029031
ENSPMGP00000001735	ENSPMGG00000001532	Periophthalmus_magnuspinnatus
ENSOARP00000022595	ENSOARG00000021024	Ovis_aries
ENSACAP00000019508	ENSACAG00000028209	Anolis_carolinensis
ENSBSLP00000042815	ENSBSLG00000015117	Betta_splendens
ENSPRNP00000004154	ENSPRNG00000001220	Parambassis_ranga
ENSCPGP00000007468	ENSCPGG00000005339	Calidris_pygmaea
ENSTGUP00000007412	ENSTGUG00000007163	Taeniopygia_guttata
ENSBBBP00000015602	ENSBBBG00000023647	Bison_bison_bison
ENSLBEP00000007194	ENSLBEG00000005486	Labrus_bergylta	ENSLBET00000007571
ENSORLP00015019867	ENSORLG00015020966	Oryzias_latipes_ASM223469v1
ENSPVAP00000003885	ENSPVAG00000004105	Pteropus_vampyrus
ENSJHYP00000012066	ENSJHYG00000009405	Junco_hyemalis
ENSMMUP00000052880	ENSMMUG00000016896	Macaca_mulatta
ENSLCAP00010008972	ENSLCAG00010003607	Lates_calcarifer
ENSXCOP00000024644	ENSXCOG00000018413	Xiphophorus_couchianus
ENSMODP00000052432	ENSMODG00000002719	Monodelphis_domestica
ENSPVIP00000034039	ENSPVIG00000024879	Pogona_vitticeps
ENSCABP00000026880	ENSCABG00000019743	Chelonoidis_abingdonii
ENSMEUP00000011136	ENSMEUG00000012196	Notamacropus_eugenii
