ENSCSAVP00000006546	ENSCSAVG00000003919	Ciona_savignyi
ENSCINP00000033132	ENSCING00000022242	Ciona_intestinalis
ENSZALP00000020356	ENSZALG00000016028	Zonotrichia_albicollis
ENSSCAP00000009097	ENSSCAG00000006931	Serinus_canaria
ENSMVIP00005011650	ENSMVIG00005008536	Manacus_vitellinus
ENSCPGP00000014058	ENSCPGG00000009937	Calidris_pygmaea
ENSLACP00000016797	ENSLACG00000014793	Latimeria_chalumnae
ENSPMEP00000001665	ENSPMEG00000002615	Poecilia_mexicana	ENSPMET00000013822
ENSHBUP00000033442	ENSHBUG00000020354	Haplochromis_burtoni
ENSLOCP00000003273	ENSLOCG00000002785	Lepisosteus_oculatus
ENSECRP00000022901	ENSECRG00000015509	Erpetoichthys_calabaricus
ENSORLP00020017388	ENSORLG00020018419	Oryzias_latipes_ASM223471v1
ENSPMEP00000009895	ENSPMEG00000011776	Poecilia_mexicana
ENSPNYP00000006596	ENSPNYG00000005058	Pundamilia_nyererei
ENSMZEP00005008335	ENSMZEG00005006344	Maylandia_zebra
ENSACLP00000029196	ENSACLG00000019786	Astatotilapia_calliptera
ENSNBRP00000014121	ENSNBRG00000010911	Neolamprologus_brichardi
ENSACIP00000030236	ENSACIG00000023398	Amphilophus_citrinellus
ENSCVAP00000016454	ENSCVAG00000000504	Cyprinodon_variegatus
ENSGAFP00000028766	ENSGAFG00000019431	Gambusia_affinis
ENSORLP00000021893	ENSORLG00000017510	Oryzias_latipes_ASM223467v1
ENSMMOP00000002968	ENSMMOG00000002390	Mola_mola
ENSMALP00000015404	ENSMALG00000010813	Monopterus_albus
ENSSMAP00000015213	ENSSMAG00000009318	Scophthalmus_maximus
ENSSLDP00000004938	ENSSLDG00000003901	Seriola_lalandi_dorsalis
ENSPMGP00000010897	ENSPMGG00000009036	Periophthalmus_magnuspinnatus
ENSAMXP00000037178	ENSAMXG00000040320	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005004564	ENSAMXG00005002851	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGWIP00000051053	ENSGWIG00000024751	Gouania_willdenowi
ENSCHAP00000044378	ENSCHAG00000020636	Clupea_harengus
ENSKMAP00000018563	ENSKMAG00000013810	Kryptolebias_marmoratus	ENSKMAT00000018822
ENSFHEP00000006275	ENSFHEG00000007359	Fundulus_heteroclitus
ENSUAMP00000014628	ENSUAMG00000011740	Ursus_americanus
ENSCHIP00000023682	ENSCHIG00000021159	Capra_hircus
ENSPNAP00000035104	ENSPNAG00000005888	Pygocentrus_nattereri
ENSCMIP00000032567	ENSCMIG00000013925	Callorhinchus_milii
ENSLSDP00000000581	ENSLSDG00000000476	Lonchura_striata_domestica
ENSTGUP00000016962	ENSTGUG00000016669	Taeniopygia_guttata
ENSPCIP00000011494	ENSPCIG00000009214	Phascolarctos_cinereus
ENSVURP00010030188	ENSVURG00010023088	Vombatus_ursinus
ENSMEUP00000013430	ENSMEUG00000014704	Notamacropus_eugenii
ENSSHAP00000012928	ENSSHAG00000011061	Sarcophilus_harrisii
ENSMODP00000054115	ENSMODG00000013861	Monodelphis_domestica
ENSODEP00000026102	ENSODEG00000019473	Octodon_degus
ENSCGRP00001012013	ENSCGRG00001013517	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010288	ENSCGRG00000007531	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022310	ENSCGRG00015017002	Cricetulus_griseus_CriGri-PICR
ENSHGLP00100014108	ENSHGLG00100010430	Heterocephalus_glaber_HetGla_1.0
ENSNLEP00000032811	ENSNLEG00000031294	Nomascus_leucogenys
