ENSPMAP00000005069	ENSPMAG00000004603	Petromyzon_marinus	ENSPMAT00000005088
ENSEBUP00000009700	ENSEBUG00000006207	Eptatretus_burgeri	ENSEBUT00000010229
ENSEBUP00000021134	ENSEBUG00000013060	Eptatretus_burgeri	ENSEBUT00000021711
ENSPMAP00000007935	ENSPMAG00000007157	Petromyzon_marinus	ENSPMAT00000007970
ENSPCIP00000008558	ENSPCIG00000006165	Phascolarctos_cinereus
ENSVURP00010031403	ENSVURG00010024018	Vombatus_ursinus
ENSMEUP00000011181	ENSMEUG00000012244	Notamacropus_eugenii
ENSSHAP00000008427	ENSSHAG00000007304	Sarcophilus_harrisii
ENSMODP00000052557	ENSMODG00000012221	Monodelphis_domestica
ENSCCNP00000000181	ENSCCNG00000000115	Castor_canadensis
ENSDORP00000027596	ENSDORG00000000808	Dipodomys_ordii
ENSMUSP00000056715	ENSMUSG00000042605	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000014535	ENSMSIG00000011449	Mus_spicilegus
MGP_SPRETEiJ_P0073167	MGP_SPRETEiJ_G0028690	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0070478	MGP_CAROLIEiJ_G0027692	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058691	MGP_PahariEiJ_G0024272	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001691	ENSRNOG00000001256	Rattus_norvegicus
ENSMUGP00000015896	ENSMUGG00000013343	Meriones_unguiculatus
ENSPEMP00000015965	ENSPEMG00000015340	Peromyscus_maniculatus_bairdii
ENSMOCP00000005707	ENSMOCG00000005219	Microtus_ochrogaster
ENSCGRP00000021814	ENSCGRG00000015823	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015035089	ENSCGRG00015026362	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001024803	ENSCGRG00001022603	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000006217	ENSMAUG00000008223	Mesocricetus_auratus
ENSHGLP00100026392	ENSHGLG00100019351	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013746	ENSHGLG00000009812	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022574	ENSFDAG00000020942	Fukomys_damarensis
ENSCLAP00000013491	ENSCLAG00000009324	Chinchilla_lanigera
ENSODEP00000014595	ENSODEG00000010798	Octodon_degus
ENSCPOP00000001256	ENSCPOG00000001390	Cavia_porcellus
ENSCAPP00000012492	ENSCAPG00000013332	Cavia_aperea
ENSSTOP00000030895	ENSSTOG00000000978	Ictidomys_tridecemlineatus
ENSUPAP00010008246	ENSUPAG00010006577	Urocitellus_parryii
ENSSDAP00000017102	ENSSDAG00000014943	Spermophilus_dauricus
ENSMMMP00000005511	ENSMMMG00000002839	Marmota_marmota_marmota
ENSOCUP00000017170	ENSOCUG00000002855	Oryctolagus_cuniculus
ENSOPRP00000013333	ENSOPRG00000014599	Ochotona_princeps
ENSTBEP00000001763	ENSTBEG00000001985	Tupaia_belangeri
ENSPPAP00000009761	ENSPPAG00000028043	Pan_paniscus
ENSPTRP00000057308	ENSPTRG00000029540	Pan_troglodytes
ENSP00000366843	ENSG00000204842	Homo_sapiens
ENSGGOP00000025193	ENSGGOG00000002137	Gorilla_gorilla
ENSPPYP00000005661	ENSPPYG00000004963	Pongo_abelii
ENSNLEP00000000622	ENSNLEG00000000484	Nomascus_leucogenys
ENSCANP00000037434	ENSCANG00000042302	Colobus_angolensis_palliatus
ENSPTEP00000012306	ENSPTEG00000013692	Piliocolobus_tephrosceles
ENSRBIP00000030778	ENSRBIG00000039212	Rhinopithecus_bieti
ENSRROP00000013956	ENSRROG00000031170	Rhinopithecus_roxellana
ENSMFAP00000045599	ENSMFAG00000000374	Macaca_fascicularis
ENSMMUP00000045136	ENSMMUG00000002226	Macaca_mulatta
ENSMNEP00000024578	ENSMNEG00000035588	Macaca_nemestrina
ENSCATP00000005550	ENSCATG00000017877	Cercocebus_atys
ENSMLEP00000005720	ENSMLEG00000024324	Mandrillus_leucophaeus
ENSPANP00000021053	ENSPANG00000017168	Papio_anubis
ENSTGEP00000023405	ENSTGEG00000018593	Theropithecus_gelada
ENSCSAP00000015456	ENSCSAG00000002590	Chlorocebus_sabaeus
ENSSBOP00000030906	ENSSBOG00000031563	Saimiri_boliviensis_boliviensis
ENSCCAP00000017163	ENSCCAG00000026267	Cebus_capucinus_imitator
ENSCJAP00000021795	ENSCJAG00000011756	Callithrix_jacchus
ENSANAP00000009056	ENSANAG00000022522	Aotus_nancymaae
ENSTSYP00000024742	ENSTSYG00000002717	Carlito_syrichta
ENSPSMP00000037469	ENSPSMG00000025748	Prolemur_simus
ENSMICP00000017593	ENSMICG00000013541	Microcebus_murinus
ENSPCOP00000020175	ENSPCOG00000022031	Propithecus_coquereli
ENSOGAP00000000547	ENSOGAG00000000609	Otolemur_garnettii
ENSOARP00000019560	ENSOARG00000018223	Ovis_aries
ENSCHIP00000009194	ENSCHIG00000012141	Capra_hircus
ENSBIXP00000032422	ENSBIXG00000015037	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005039579	ENSBIXG00005022755	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000029618	ENSBTAG00000022069	Bos_taurus
ENSBMUP00000028515	ENSBMUG00000021348	Bos_mutus
