ENSFDAP00000002345	ENSFDAG00000012072	Fukomys_damarensis	ENSFDAT00000028729
ENSSDAP00000021315	ENSSDAG00000019373	Spermophilus_dauricus	ENSSDAT00000024347
ENSOPRP00000006352	ENSOPRG00000006944	Ochotona_princeps	ENSOPRT00000006936
ENSSSCP00000020860	ENSSSCG00000024759	Sus_scrofa_strain_reference	ENSSSCT00000023148
ENSEEUP00000008179	ENSEEUG00000008972	Erinaceus_europaeus	ENSEEUT00000008975
ENSETEP00000000506	ENSETEG00000000634	Echinops_telfairi	ENSETET00000000634
ENSPCAP00000003290	ENSPCAG00000003541	Procavia_capensis	ENSPCAT00000003508
ENSCHOP00000009210	ENSCHOG00000010404	Choloepus_hoffmanni	ENSCHOT00000010431
ENSPCIP00000036035	ENSPCIG00000026591	Phascolarctos_cinereus	ENSPCIT00000044340
ENSVURP00010022458	ENSVURG00010017194	Vombatus_ursinus	ENSVURT00010025547
ENSMEUP00000012694	ENSMEUG00000013922	Notamacropus_eugenii	ENSMEUT00000013957
ENSSHAP00000017695	ENSSHAG00000015027	Sarcophilus_harrisii	ENSSHAT00000017841
