ENSCABP00000002071	ENSCABG00000001628	Chelonoidis_abingdonii
ENSGAGP00000003840	ENSGAGG00000003131	Gopherus_agassizii
ENSCPBP00000026521	ENSCPBG00000018836	Chrysemys_picta_bellii
ENSPSIP00000013328	ENSPSIG00000011983	Pelodiscus_sinensis
ENSPVIP00000010038	ENSPVIG00000007978	Pogona_vitticeps
ENSACAP00000010716	ENSACAG00000010923	Anolis_carolinensis
ENSNSUP00000003987	ENSNSUG00000003189	Notechis_scutatus
ENSSMRP00000001179	ENSSMRG00000001038	Salvator_merianae
ENSSPUP00000019681	ENSSPUG00000015164	Sphenodon_punctatus
ENSODEP00000024325	ENSODEG00000017800	Octodon_degus
ENSCLAP00000003160	ENSCLAG00000002264	Chinchilla_lanigera
ENSHGLP00100017164	ENSHGLG00100012656	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027056	ENSHGLG00000019240	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020372	ENSFDAG00000008492	Fukomys_damarensis
ENSCPOP00000023260	ENSCPOG00000031862	Cavia_porcellus
ENSCAPP00000011761	ENSCAPG00000012774	Cavia_aperea
ENSCCNP00000030073	ENSCCNG00000028830	Castor_canadensis
ENSDORP00000002996	ENSDORG00000003202	Dipodomys_ordii
MGP_SPRETEiJ_P0046501	MGP_SPRETEiJ_G0022446	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000017877	ENSMSIG00000015238	Mus_spicilegus
ENSMUSP00000116278	ENSMUSG00000050705	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0044598	MGP_CAROLIEiJ_G0021539	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044134	MGP_PahariEiJ_G0020533	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001077	ENSRNOG00000000812	Rattus_norvegicus
ENSMUGP00000016356	ENSMUGG00000014014	Meriones_unguiculatus
ENSCGRP00015037704	ENSCGRG00015028247	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000017423	ENSCGRG00000012670	Cricetulus_griseus_CriGri_1.0
