ENSPTRP00000024023	ENSPTRG00000013957	Pan_troglodytes
ENSPPAP00000023666	ENSPPAG00000034999	Pan_paniscus
ENSP00000291560	ENSG00000160207	Homo_sapiens
ENSGGOP00000029257	ENSGGOG00000012059	Gorilla_gorilla
ENSPPYP00000012806	ENSPPYG00000011469	Pongo_abelii
ENSNLEP00000043894	ENSNLEG00000034577	Nomascus_leucogenys
ENSRBIP00000029948	ENSRBIG00000038854	Rhinopithecus_bieti
ENSRROP00000017466	ENSRROG00000032823	Rhinopithecus_roxellana
ENSCANP00000035144	ENSCANG00000041259	Colobus_angolensis_palliatus
ENSMFAP00000037975	ENSMFAG00000041607	Macaca_fascicularis
ENSMMUP00000051879	ENSMMUG00000022791	Macaca_mulatta
ENSMNEP00000030151	ENSMNEG00000038532	Macaca_nemestrina
ENSCATP00000038233	ENSCATG00000041814	Cercocebus_atys
ENSTGEP00000025068	ENSTGEG00000020224	Theropithecus_gelada
ENSPANP00000012834	ENSPANG00000023067	Papio_anubis
ENSCSAP00000004229	ENSCSAG00000007970	Chlorocebus_sabaeus
ENSMLEP00000036425	ENSMLEG00000042323	Mandrillus_leucophaeus
ENSPTEP00000011398	ENSPTEG00000012852	Piliocolobus_tephrosceles
ENSCCAP00000027862	ENSCCAG00000031814	Cebus_capucinus_imitator
ENSCJAP00000067900	ENSCJAG00000059885	Callithrix_jacchus
ENSSBOP00000029851	ENSSBOG00000031228	Saimiri_boliviensis_boliviensis
ENSANAP00000039687	ENSANAG00000037216	Aotus_nancymaae
ENSTSYP00000000982	ENSTSYG00000001064	Carlito_syrichta
ENSPCOP00000007770	ENSPCOG00000015138	Propithecus_coquereli
ENSPSMP00000001155	ENSPSMG00000000840	Prolemur_simus
ENSMICP00000004266	ENSMICG00000004680	Microcebus_murinus
ENSOGAP00000008822	ENSOGAG00000009866	Otolemur_garnettii
ENSTBEP00000000217	ENSTBEG00000000230	Tupaia_belangeri
ENSCLAP00000009399	ENSCLAG00000006525	Chinchilla_lanigera
ENSODEP00000015972	ENSODEG00000011763	Octodon_degus
ENSCPOP00000002177	ENSCPOG00000002394	Cavia_porcellus
ENSCAPP00000016811	ENSCAPG00000016625	Cavia_aperea
ENSHGLP00100007014	ENSHGLG00100005261	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012308	ENSHGLG00000008796	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000004802	ENSFDAG00000013948	Fukomys_damarensis
ENSSTOP00000010567	ENSSTOG00000011783	Ictidomys_tridecemlineatus	ENSSTOT00000011781
