ENSCCEP00000009651	ENSCCEG00000009770	Cyanistes_caeruleus
ENSPMJP00000003431	ENSPMJG00000003003	Parus_major
ENSFALP00000005074	ENSFALG00000004867	Ficedula_albicollis
ENSZALP00000000494	ENSZALG00000000587	Zonotrichia_albicollis	ENSZALT00000000842
ENSTGUP00000000384	ENSTGUG00000000365	Taeniopygia_guttata	ENSTGUT00000000389
ENSLSDP00000013436	ENSLSDG00000009712	Lonchura_striata_domestica
ENSSCAP00000018814	ENSSCAG00000013534	Serinus_canaria	ENSSCAT00000021024
ENSLCOP00000012201	ENSLCOG00000008852	Lepidothrix_coronata
ENSMVIP00005028665	ENSMVIG00005019940	Manacus_vitellinus
ENSMUNP00000015456	ENSMUNG00000011924	Melopsittacus_undulatus
ENSCPGP00000009772	ENSCPGG00000006954	Calidris_pygmaea
ENSCPUP00000021694	ENSCPUG00000014764	Calidris_pugnax
ENSABRP00000027741	ENSABRG00000023076	Anser_brachyrhynchus
ENSAPLP00000004157	ENSAPLG00000004624	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005011155	ENSCJPG00005009610	Coturnix_japonica
ENSGALP00000048929	ENSGALG00000000151	Gallus_gallus
ENSNMEP00000000694	ENSNMEG00000001051	Numida_meleagris
ENSAHAP00000023759	ENSAHAG00000016608	Apteryx_haastii
ENSARWP00000015213	ENSARWG00000010522	Apteryx_rowi
ENSAOWP00000011450	ENSAOWG00000007857	Apteryx_owenii
ENSDNVP00000027112	ENSDNVG00000018831	Dromaius_novaehollandiae
ENSNPEP00000001837	ENSNPEG00000001423	Nothoprocta_perdicaria
ENSCPRP00005014958	ENSCPRG00005010504	Crocodylus_porosus
ENSGAGP00000036126	ENSGAGG00000025604	Gopherus_agassizii
ENSCABP00000031634	ENSCABG00000023097	Chelonoidis_abingdonii
ENSCPBP00000028767	ENSCPBG00000020290	Chrysemys_picta_bellii
ENSPSIP00000014225	ENSPSIG00000012628	Pelodiscus_sinensis
