ENSLSDP00000003935	ENSLSDG00000003067	Lonchura_striata_domestica
ENSTGUP00000006003	ENSTGUG00000005800	Taeniopygia_guttata
ENSPMJP00000007808	ENSPMJG00000006422	Parus_major
ENSCCEP00000005988	ENSCCEG00000006502	Cyanistes_caeruleus
ENSSCAP00000004165	ENSSCAG00000003434	Serinus_canaria
ENSFALP00000001727	ENSFALG00000001645	Ficedula_albicollis
ENSJHYP00000007350	ENSJHYG00000005887	Junco_hyemalis
ENSZALP00000001831	ENSZALG00000002209	Zonotrichia_albicollis
ENSMUNP00000006362	ENSMUNG00000005118	Melopsittacus_undulatus
ENSMVIP00005016564	ENSMVIG00005011896	Manacus_vitellinus
ENSLCOP00000019975	ENSLCOG00000014154	Lepidothrix_coronata
ENSCPUP00000021515	ENSCPUG00000014658	Calidris_pugnax
ENSCPGP00000009988	ENSCPGG00000007111	Calidris_pygmaea
ENSABRP00000025867	ENSABRG00000021681	Anser_brachyrhynchus
ENSAPLP00000012995	ENSAPLG00000013150	Anas_platyrhynchos_platyrhynchos
ENSGALP00000046810	ENSGALG00000042055	Gallus_gallus
ENSMGAP00000006925	ENSMGAG00000006819	Meleagris_gallopavo
ENSCJPP00005009210	ENSCJPG00005008125	Coturnix_japonica
ENSNMEP00000009763	ENSNMEG00000009375	Numida_meleagris
ENSAOWP00000007193	ENSAOWG00000004948	Apteryx_owenii
ENSAHAP00000010846	ENSAHAG00000007845	Apteryx_haastii
ENSARWP00000012194	ENSARWG00000008424	Apteryx_rowi
ENSDNVP00000017635	ENSDNVG00000012327	Dromaius_novaehollandiae
ENSNPEP00000018136	ENSNPEG00000013496	Nothoprocta_perdicaria
ENSVURP00010009206	ENSVURG00010007139	Vombatus_ursinus
ENSPCIP00000004767	ENSPCIG00000003937	Phascolarctos_cinereus
ENSMEUP00000008872	ENSMEUG00000009734	Notamacropus_eugenii
ENSMODP00000016441	ENSMODG00000013136	Monodelphis_domestica
ENSSHAP00000018431	ENSSHAG00000015645	Sarcophilus_harrisii
