ENSCPGP00000021578	ENSCPGG00000015049	Calidris_pygmaea	ENSCPGT00000023617
ENSCPUP00000020067	ENSCPUG00000013734	Calidris_pugnax	ENSCPUT00000023770
ENSMUNP00000005206	ENSMUNG00000004286	Melopsittacus_undulatus
ENSLSDP00000013527	ENSLSDG00000009806	Lonchura_striata_domestica
ENSTGUP00000001351	ENSTGUG00000001312	Taeniopygia_guttata
ENSSCAP00000014542	ENSSCAG00000010689	Serinus_canaria
ENSZALP00000012631	ENSZALG00000010574	Zonotrichia_albicollis
ENSFALP00000014827	ENSFALG00000014211	Ficedula_albicollis
ENSPMJP00000005818	ENSPMJG00000005015	Parus_major
ENSCCEP00000015314	ENSCCEG00000014524	Cyanistes_caeruleus
ENSLCOP00000020290	ENSLCOG00000014382	Lepidothrix_coronata
ENSMVIP00005028375	ENSMVIG00005019756	Manacus_vitellinus
ENSCJPP00005003416	ENSCJPG00005003598	Coturnix_japonica
ENSNMEP00000010221	ENSNMEG00000009750	Numida_meleagris
ENSABRP00000012774	ENSABRG00000011445	Anser_brachyrhynchus
ENSAPLP00000022360	ENSAPLG00000028116	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000026597	ENSAOWG00000017940	Apteryx_owenii
ENSAHAP00000010189	ENSAHAG00000007390	Apteryx_haastii
ENSARWP00000013185	ENSARWG00000009147	Apteryx_rowi
ENSNPEP00000015935	ENSNPEG00000011886	Nothoprocta_perdicaria
ENSDNVP00000008358	ENSDNVG00000005941	Dromaius_novaehollandiae
ENSCPRP00005021887	ENSCPRG00005015229	Crocodylus_porosus
ENSGAGP00000022160	ENSGAGG00000016277	Gopherus_agassizii
ENSCABP00000004208	ENSCABG00000003181	Chelonoidis_abingdonii
ENSCPBP00000010624	ENSCPBG00000008143	Chrysemys_picta_bellii
ENSPSIP00000001006	ENSPSIG00000001008	Pelodiscus_sinensis
ENSPVIP00000020015	ENSPVIG00000015260	Pogona_vitticeps
ENSACAP00000001095	ENSACAG00000001211	Anolis_carolinensis
ENSPCIP00000006354	ENSPCIG00000005358	Phascolarctos_cinereus
ENSVURP00010008063	ENSVURG00010006242	Vombatus_ursinus
ENSMODP00000037160	ENSMODG00000025140	Monodelphis_domestica
ENSOCUP00000007188	ENSOCUG00000008320	Oryctolagus_cuniculus
ENSEEUP00000003099	ENSEEUG00000003412	Erinaceus_europaeus
ENSCCNP00000014838	ENSCCNG00000015315	Castor_canadensis
ENSDORP00000010899	ENSDORG00000011598	Dipodomys_ordii
ENSMUSP00000052129	ENSMUSG00000046593	Mus_musculus_strain_reference_(CL57BL6)
