ENSUPAP00010000900	ENSUPAG00010000773	Urocitellus_parryii
ENSCCAP00000034157	ENSCCAG00000035063	Cebus_capucinus_imitator
ENSNMEP00000018212	ENSNMEG00000015840	Numida_meleagris
ENSRBIP00000015789	ENSRBIG00000031988	Rhinopithecus_bieti
ENSPVAP00000013435	ENSPVAG00000014256	Pteropus_vampyrus
ENSMMOP00000016648	ENSMMOG00000012684	Mola_mola
ENSBIXP00000007433	ENSBIXG00000013372	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMALP00000028638	ENSMALG00000019819	Monopterus_albus
ENSVURP00010013715	ENSVURG00010010547	Vombatus_ursinus
ENSMMMP00000010206	ENSMMMG00000009095	Marmota_marmota_marmota
ENSDNVP00000017740	ENSDNVG00000012397	Dromaius_novaehollandiae	ENSDNVT00000021314
ENSPTEP00000039935	ENSPTEG00000036860	Piliocolobus_tephrosceles
ENSSPUP00000010025	ENSSPUG00000007748	Sphenodon_punctatus	ENSSPUT00000010680
ENSHGLP00000023100	ENSHGLG00000016472	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018073	ENSFDAG00000010108	Fukomys_damarensis
ENSP00000225276	ENSG00000070731	Homo_sapiens
ENSARWP00000008252	ENSARWG00000005779	Apteryx_rowi	ENSARWT00000009431
ENSBSLP00000020378	ENSBSLG00000010420	Betta_splendens
ENSEEEP00000047418	ENSEEEG00000022315	Electrophorus_electricus
MGP_CAROLIEiJ_P0031196	MGP_CAROLIEiJ_G0017453	Mus_caroli_strain_CAROLI_EIJ
ENSABRP00000022387	ENSABRG00000018969	Anser_brachyrhynchus
ENSPKIP00000007134	ENSPKIG00000023148	Paramormyrops_kingsleyae
ENSCLAP00000014980	ENSCLAG00000010327	Chinchilla_lanigera
ENSFHEP00000020028	ENSFHEG00000021987	Fundulus_heteroclitus
ENSMICP00000006846	ENSMICG00000007518	Microcebus_murinus
ENSOCUP00000027104	ENSOCUG00000009564	Oryctolagus_cuniculus
ENSHGLP00100025595	ENSHGLG00100018770	Heterocephalus_glaber_HetGla_1.0
ENSNSUP00000021769	ENSNSUG00000015823	Notechis_scutatus	ENSNSUT00000023149
ENSPPYP00000009731	ENSPPYG00000008664	Pongo_abelii
ENSRNOP00000016622	ENSRNOG00000012083	Rattus_norvegicus
ENSJHYP00000014957	ENSJHYG00000011547	Junco_hyemalis
ENSBMUP00000014646	ENSBMUG00000011119	Bos_mutus
ENSMGAP00000003921	ENSMGAG00000004145	Meleagris_gallopavo
ENSECAP00000038123	ENSECAG00000016019	Equus_caballus
ENSDNOP00000002703	ENSDNOG00000003502	Dasypus_novemcinctus
ENSFALP00000000962	ENSFALG00000000922	Ficedula_albicollis
ENSMOCP00000015354	ENSMOCG00000014576	Microtus_ochrogaster
ENSMUGP00000025744	ENSMUGG00000021479	Meriones_unguiculatus
ENSGAGP00000014357	ENSGAGG00000010913	Gopherus_agassizii
