ENSETEP00000008433	ENSETEG00000010382	Echinops_telfairi
ENSCGRP00001019267	ENSCGRG00001018771	Cricetulus_griseus_CHOK1GS_HDv1
ENSLAFP00000011625	ENSLAFG00000013885	Loxodonta_africana
ENSLCRP00005048115	ENSLCRG00005018197	Larimichthys_crocea
ENSMFAP00000015660	ENSMFAG00000031041	Macaca_fascicularis
ENSJJAP00000016912	ENSJJAG00000018641	Jaculus_jaculus
ENSEASP00005015838	ENSEASG00005011019	Equus_asinus_asinus
ENSP00000432163	ENSG00000182359	Homo_sapiens
ENSTBEP00000009719	ENSTBEG00000011250	Tupaia_belangeri
ENSRNOP00000035320	ENSRNOG00000022252	Rattus_norvegicus
ENSCLAP00000021113	ENSCLAG00000014468	Chinchilla_lanigera
ENSLCAP00010001325	ENSLCAG00010000792	Lates_calcarifer
ENSIPUP00000021869	ENSIPUG00000014828	Ictalurus_punctatus
ENSMOCP00000022817	ENSMOCG00000019736	Microtus_ochrogaster
ENSMPUP00000006253	ENSMPUG00000006307	Mustela_putorius_furo
ENSSTOP00000000962	ENSSTOG00000001079	Ictidomys_tridecemlineatus
ENSMVIP00005018314	ENSMVIG00005013025	Manacus_vitellinus	ENSMVIT00005020704
ENSHHUP00000032134	ENSHHUG00000020398	Hucho_hucho
ENSLACP00000007071	ENSLACG00000006274	Latimeria_chalumnae
ENSCCAP00000002805	ENSCCAG00000016315	Cebus_capucinus_imitator
ENSAPLP00000017137	ENSAPLG00000018868	Anas_platyrhynchos_platyrhynchos
ENSSFOP00015004817	ENSSFOG00015003156	Scleropages_formosus
ENSTRUP00000016836	ENSTRUG00000006862	Takifugu_rubripes
ENSMSIP00000005292	ENSMSIG00000004797	Mus_spicilegus
ENSORLP00020031113	ENSORLG00020015962	Oryzias_latipes_ASM223471v1
ENSMLUP00000005066	ENSMLUG00000005548	Myotis_lucifugus
ENSACLP00000002747	ENSACLG00000001855	Astatotilapia_calliptera
ENSPVAP00000013836	ENSPVAG00000014678	Pteropus_vampyrus
ENSCPRP00005020796	ENSCPRG00005014482	Crocodylus_porosus
ENSPMEP00000014556	ENSPMEG00000016963	Poecilia_mexicana
ENSHCOP00000012435	ENSHCOG00000015465	Hippocampus_comes
ENSCAFP00000021797	ENSCAFG00000014788	Canis_lupus_familiaris
ENSXMAP00000023054	ENSXMAG00000027532	Xiphophorus_maculatus
ENSPNYP00000019994	ENSPNYG00000015134	Pundamilia_nyererei
ENSBSLP00000026965	ENSBSLG00000013524	Betta_splendens
ENSDNOP00000034737	ENSDNOG00000036411	Dasypus_novemcinctus
ENSABRP00000009028	ENSABRG00000008057	Anser_brachyrhynchus
ENSPNAP00000001272	ENSPNAG00000000632	Pygocentrus_nattereri
ENSCHOP00000001691	ENSCHOG00000001922	Choloepus_hoffmanni
ENSACIP00000004615	ENSACIG00000003623	Amphilophus_citrinellus
ENSBMUP00000014397	ENSBMUG00000010968	Bos_mutus
MGP_CAROLIEiJ_P0086618	MGP_CAROLIEiJ_G0031740	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022282	MGP_PahariEiJ_G0014619	Mus_pahari_strain_PAHARI_EIJ
ENSSSCP00000015924	ENSSSCG00000014999	Sus_scrofa_strain_reference
ENSAOWP00000011641	ENSAOWG00000007998	Apteryx_owenii
ENSNSUP00000008405	ENSNSUG00000006515	Notechis_scutatus
ENSCSAP00000014998	ENSCSAG00000003044	Chlorocebus_sabaeus
ENSBIXP00005010205	ENSBIXG00005014892	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDORP00000011925	ENSDORG00000012680	Dipodomys_ordii
ENSLSDP00000024836	ENSLSDG00000017408	Lonchura_striata_domestica
ENSCMIP00000020098	ENSCMIG00000009301	Callorhinchus_milii
ENSCCEP00000027359	ENSCCEG00000023898	Cyanistes_caeruleus	ENSCCET00000040569
ENSSARP00000005186	ENSSARG00000005733	Sorex_araneus
ENSVVUP00000018937	ENSVVUG00000013959	Vulpes_vulpes
ENSCPGP00000002692	ENSCPGG00000002009	Calidris_pygmaea
ENSDARP00000128777	ENSDARG00000060512	Danio_rerio
ENSSMRP00000014205	ENSSMRG00000011057	Salvator_merianae
ENSCJAP00000057175	ENSCJAG00000043912	Callithrix_jacchus
ENSBBBP00000020181	ENSBBBG00000002938	Bison_bison_bison
ENSSCAP00000005570	ENSSCAG00000004445	Serinus_canaria
ENSGACP00000010832	ENSGACG00000008191	Gasterosteus_aculeatus
ENSMALP00000029189	ENSMALG00000020201	Monopterus_albus
ENSCANP00000022114	ENSCANG00000034499	Colobus_angolensis_palliatus
ENSFDAP00000018353	ENSFDAG00000009896	Fukomys_damarensis
ENSPANP00000000267	ENSPANG00000014883	Papio_anubis
ENSSLDP00000002693	ENSSLDG00000002169	Seriola_lalandi_dorsalis
ENSXCOP00000013267	ENSXCOG00000010061	Xiphophorus_couchianus
ENSPCOP00000018562	ENSPCOG00000021176	Propithecus_coquereli
ENSOGAP00000008108	ENSOGAG00000009044	Otolemur_garnettii
ENSMNEP00000037634	ENSMNEG00000041894	Macaca_nemestrina
ENSFALP00000000451	ENSFALG00000000441	Ficedula_albicollis	ENSFALT00000000454
ENSPEMP00000031821	ENSPEMG00000029070	Peromyscus_maniculatus_bairdii
ENSSDUP00000002130	ENSSDUG00000001635	Seriola_dumerili
ENSMGAP00000016080	ENSMGAG00000015161	Meleagris_gallopavo
ENSFHEP00000002894	ENSFHEG00000003708	Fundulus_heteroclitus
ENSBTAP00000046503	ENSBTAG00000005392	Bos_taurus
ENSGWIP00000002863	ENSGWIG00000001578	Gouania_willdenowi
ENSOCUP00000000203	ENSOCUG00000000230	Oryctolagus_cuniculus
ENSTGUP00000013044	ENSTGUG00000012674	Taeniopygia_guttata
ENSARWP00000001478	ENSARWG00000001198	Apteryx_rowi
ENSPPRP00000005131	ENSPPRG00000001000	Panthera_pardus
ENSOMEP00000001472	ENSOMEG00000002362	Oryzias_melastigma
ENSEEEP00000008045	ENSEEEG00000004197	Electrophorus_electricus
ENSUAMP00000001092	ENSUAMG00000001068	Ursus_americanus
ENSCJPP00005003273	ENSCJPG00005003501	Coturnix_japonica
ENSUPAP00010009688	ENSUPAG00010007846	Urocitellus_parryii
ENSEBUP00000009289	ENSEBUG00000005980	Eptatretus_burgeri
ENSHGLP00100011841	ENSHGLG00100008796	Heterocephalus_glaber_HetGla_1.0
ENSNLEP00000008792	ENSNLEG00000007209	Nomascus_leucogenys
ENSMEUP00000009284	ENSMEUG00000010185	Notamacropus_eugenii
ENSSDAP00000012660	ENSSDAG00000011427	Spermophilus_dauricus
ENSPVIP00000015630	ENSPVIG00000012046	Pogona_vitticeps
ENSMAUP00000007758	ENSMAUG00000009346	Mesocricetus_auratus
ENSJHYP00000002173	ENSJHYG00000001852	Junco_hyemalis
ENSZALP00000015565	ENSZALG00000012742	Zonotrichia_albicollis
ENSAOCP00000013170	ENSAOCG00000017739	Amphiprion_ocellaris
ENSKMAP00000011308	ENSKMAG00000008488	Kryptolebias_marmoratus
ENSTGEP00000019413	ENSTGEG00000015630	Theropithecus_gelada
ENSAMXP00005003320	ENSAMXG00005002109	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMICP00000046741	ENSMICG00000030981	Microcebus_murinus
ENSMAMP00000010597	ENSMAMG00000007134	Mastacembelus_armatus
ENSVURP00010018218	ENSVURG00010013900	Vombatus_ursinus
ENSGAFP00000014312	ENSGAFG00000009673	Gambusia_affinis
ENSPPAP00000042804	ENSPPAG00000043957	Pan_paniscus
ENSECAP00000010510	ENSECAG00000012801	Equus_caballus
ENSECRP00000003748	ENSECRG00000002576	Erpetoichthys_calabaricus
ENSCHIP00000010235	ENSCHIG00000012819	Capra_hircus
ENSDNVP00000015218	ENSDNVG00000010714	Dromaius_novaehollandiae
ENSCSEP00000028896	ENSCSEG00000018504	Cynoglossus_semilaevis
