ENSBIXP00000006649	ENSBIXG00000012741	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSJHYP00000014645	ENSJHYG00000011331	Junco_hyemalis
ENSMUNP00000009607	ENSMUNG00000007595	Melopsittacus_undulatus
ENSOANP00000014882	ENSOANG00000009360	Ornithorhynchus_anatinus
ENSNBRP00000007264	ENSNBRG00000005691	Neolamprologus_brichardi
ENSKMAP00000018021	ENSKMAG00000013426	Kryptolebias_marmoratus
ENSBIXP00005015388	ENSBIXG00005003129	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAOCP00000003592	ENSAOCG00000006890	Amphiprion_ocellaris
ENSDNOP00000003087	ENSDNOG00000004021	Dasypus_novemcinctus
ENSGAGP00000024323	ENSGAGG00000017772	Gopherus_agassizii	ENSGAGT00000027687
ENSHGLP00000013996	ENSHGLG00000009993	Heterocephalus_glaber_HetGla_female_1.0
ENSCPBP00000012144	ENSCPBG00000009197	Chrysemys_picta_bellii
ENSMAMP00000012932	ENSMAMG00000008778	Mastacembelus_armatus
ENSCHIP00000011168	ENSCHIG00000013427	Capra_hircus
MGP_PahariEiJ_P0075326	MGP_PahariEiJ_G0027874	Mus_pahari_strain_PAHARI_EIJ
ENSHBUP00000007313	ENSHBUG00000008786	Haplochromis_burtoni
ENSLOCP00000012357	ENSLOCG00000010094	Lepisosteus_oculatus
ENSPEMP00000021465	ENSPEMG00000019105	Peromyscus_maniculatus_bairdii
ENSUPAP00010010904	ENSUPAG00010008814	Urocitellus_parryii
ENSLBEP00000016024	ENSLBEG00000012422	Labrus_bergylta
ENSPNAP00000029066	ENSPNAG00000006417	Pygocentrus_nattereri
ENSMPUP00000010797	ENSMPUG00000010884	Mustela_putorius_furo
ENSATEP00000036440	ENSATEG00000025039	Anabas_testudineus
ENSMICP00000047020	ENSMICG00000048002	Microcebus_murinus
ENSSHAP00000012543	ENSSHAG00000010739	Sarcophilus_harrisii
ENSXMAP00000006024	ENSXMAG00000006012	Xiphophorus_maculatus
