ENSOARP00000021405	ENSOARG00000019938	Ovis_aries
ENSCHIP00000012303	ENSCHIG00000014115	Capra_hircus
ENSBIXP00000035290	ENSBIXG00000018528	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000004230	ENSBTAG00000003267	Bos_taurus
ENSBMUP00000029317	ENSBMUG00000021943	Bos_mutus
ENSBIXP00005023950	ENSBIXG00005004547	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000002740	ENSBBBG00000011834	Bison_bison_bison
ENSTTRP00000001867	ENSTTRG00000001992	Tursiops_truncatus
ENSVPAP00000000835	ENSVPAG00000000904	Vicugna_pacos
ENSPVAP00000013171	ENSPVAG00000013967	Pteropus_vampyrus
ENSECAP00000013979	ENSECAG00000016375	Equus_caballus
ENSEASP00005029730	ENSEASG00005020209	Equus_asinus_asinus
ENSUMAP00000004909	ENSUMAG00000003920	Ursus_maritimus
ENSUAMP00000004719	ENSUAMG00000004296	Ursus_americanus
ENSNVIP00000017100	ENSNVIG00000013298	Neovison_vison
ENSCAFP00020018691	ENSCAFG00020014854	Canis_lupus_dingo
ENSCAFP00000042209	ENSCAFG00000029721	Canis_lupus_familiaris
ENSVVUP00000002944	ENSVVUG00000002305	Vulpes_vulpes
ENSPPRP00000007786	ENSPPRG00000002802	Panthera_pardus
ENSPTIP00000023451	ENSPTIG00000019915	Panthera_tigris_altaica
ENSFCAP00000043279	ENSFCAG00000034735	Felis_catus
ENSPTRP00000019935	ENSPTRG00000011593	Pan_troglodytes
ENSPPAP00000038256	ENSPPAG00000041845	Pan_paniscus
ENSP00000254166	ENSG00000131849	Homo_sapiens
ENSGGOP00000024372	ENSGGOG00000009784	Gorilla_gorilla
ENSPPYP00000011771	ENSPPYG00000010504	Pongo_abelii
ENSNLEP00000013541	ENSNLEG00000011153	Nomascus_leucogenys
ENSPTEP00000005349	ENSPTEG00000006193	Piliocolobus_tephrosceles
ENSCANP00000008697	ENSCANG00000027772	Colobus_angolensis_palliatus
ENSRROP00000024039	ENSRROG00000035839	Rhinopithecus_roxellana
ENSRBIP00000024008	ENSRBIG00000035909	Rhinopithecus_bieti
ENSMLEP00000017454	ENSMLEG00000032938	Mandrillus_leucophaeus
ENSCATP00000029948	ENSCATG00000038192	Cercocebus_atys
ENSTGEP00000020232	ENSTGEG00000016275	Theropithecus_gelada
ENSPANP00000002547	ENSPANG00000014915	Papio_anubis
ENSMNEP00000031843	ENSMNEG00000039317	Macaca_nemestrina
ENSMMUP00000001040	ENSMMUG00000000775	Macaca_mulatta
ENSMFAP00000034745	ENSMFAG00000003853	Macaca_fascicularis
ENSCSAP00000016430	ENSCSAG00000001596	Chlorocebus_sabaeus
ENSCCAP00000024732	ENSCCAG00000030169	Cebus_capucinus_imitator
ENSSBOP00000028840	ENSSBOG00000030785	Saimiri_boliviensis_boliviensis
ENSCJAP00000076961	ENSCJAG00000041633	Callithrix_jacchus
ENSANAP00000012135	ENSANAG00000023996	Aotus_nancymaae
ENSTSYP00000004403	ENSTSYG00000004813	Carlito_syrichta
ENSPSMP00000012455	ENSPSMG00000008983	Prolemur_simus
ENSMICP00000015054	ENSMICG00000016521	Microcebus_murinus
ENSOGAP00000021570	ENSOGAG00000025298	Otolemur_garnettii
ENSUAMP00000004713	ENSUAMG00000004292	Ursus_americanus
ENSTBEP00000010658	ENSTBEG00000012270	Tupaia_belangeri
ENSPCAP00000003977	ENSPCAG00000004248	Procavia_capensis
ENSCHOP00000011379	ENSCHOG00000012850	Choloepus_hoffmanni
ENSNSUP00000005372	ENSNSUG00000004278	Notechis_scutatus
ENSNSUP00000000633	ENSNSUG00000000629	Notechis_scutatus
ENSPVIP00000028604	ENSPVIG00000021178	Pogona_vitticeps
ENSSMRP00000001223	ENSSMRG00000001072	Salvator_merianae
ENSSPUP00000012961	ENSSPUG00000009963	Sphenodon_punctatus
ENSACAP00000016498	ENSACAG00000016740	Anolis_carolinensis
ENSSMRP00000001246	ENSSMRG00000001096	Salvator_merianae
ENSPVIP00000028609	ENSPVIG00000021181	Pogona_vitticeps
ENSNSUP00000003105	ENSNSUG00000002538	Notechis_scutatus
ENSSPUP00000013015	ENSSPUG00000010027	Sphenodon_punctatus
ENSXETP00000048186	ENSXETG00000018929	Xenopus_tropicalis
ENSXETP00000047266	ENSXETG00000020189	Xenopus_tropicalis
