ENSMAMP00000005542	ENSMAMG00000003738	Mastacembelus_armatus
ENSMALP00000004307	ENSMALG00000003110	Monopterus_albus
ENSATEP00000004054	ENSATEG00000002812	Anabas_testudineus
ENSBSLP00000029484	ENSBSLG00000014683	Betta_splendens
ENSSLDP00000006745	ENSSLDG00000005354	Seriola_lalandi_dorsalis
ENSSDUP00000026831	ENSSDUG00000019419	Seriola_dumerili
ENSSMAP00000002933	ENSSMAG00000001805	Scophthalmus_maximus
ENSLCAP00010032331	ENSLCAG00010015227	Lates_calcarifer
ENSTRUP00000004591	ENSTRUG00000001995	Takifugu_rubripes
ENSTNIP00000009545	ENSTNIG00000006760	Tetraodon_nigroviridis
ENSMMOP00000007574	ENSMMOG00000005892	Mola_mola
ENSLCRP00005016373	ENSLCRG00005006830	Larimichthys_crocea
ENSLBEP00000016334	ENSLBEG00000012630	Labrus_bergylta
ENSCGOP00000008622	ENSCGOG00000004462	Cottoperca_gobio
ENSGACP00000026668	ENSGACG00000020190	Gasterosteus_aculeatus
ENSAOCP00000030071	ENSAOCG00000020734	Amphiprion_ocellaris
ENSAPEP00000014900	ENSAPEG00000010596	Amphiprion_percula
ENSAPOP00000000594	ENSAPOG00000001793	Acanthochromis_polyacanthus
ENSSPAP00000015901	ENSSPAG00000011974	Stegastes_partitus
ENSPRNP00000049023	ENSPRNG00000023416	Parambassis_ranga
ENSGWIP00000027320	ENSGWIG00000014270	Gouania_willdenowi
ENSPLAP00000027183	ENSPLAG00000015596	Poecilia_latipinna
ENSPFOP00000014589	ENSPFOG00000014556	Poecilia_formosa
ENSPMEP00000008784	ENSPMEG00000010588	Poecilia_mexicana
ENSPREP00000015258	ENSPREG00000010281	Poecilia_reticulata
ENSXMAP00000013957	ENSXMAG00000013919	Xiphophorus_maculatus
ENSXCOP00000016668	ENSXCOG00000012573	Xiphophorus_couchianus
ENSGAFP00000023512	ENSGAFG00000015881	Gambusia_affinis
ENSFHEP00000012482	ENSFHEG00000013956	Fundulus_heteroclitus
ENSCVAP00000022464	ENSCVAG00000005188	Cyprinodon_variegatus
ENSKMAP00000014725	ENSKMAG00000011041	Kryptolebias_marmoratus
ENSORLP00000029221	ENSORLG00000027809	Oryzias_latipes_ASM223467v1
ENSORLP00020024965	ENSORLG00020006646	Oryzias_latipes_ASM223471v1
ENSOMEP00000022175	ENSOMEG00000001586	Oryzias_melastigma
ENSMZEP00005030045	ENSMZEG00005022388	Maylandia_zebra
ENSMZEP00005034739	ENSMZEG00005025967	Maylandia_zebra
ENSACLP00000000361	ENSACLG00000000243	Astatotilapia_calliptera
ENSPNYP00000000561	ENSPNYG00000000448	Pundamilia_nyererei
ENSHBUP00000006502	ENSHBUG00000007968	Haplochromis_burtoni
ENSNBRP00000003282	ENSNBRG00000002622	Neolamprologus_brichardi
ENSONIP00000014224	ENSONIG00000011300	Oreochromis_niloticus
ENSACIP00000004317	ENSACIG00000003413	Amphilophus_citrinellus
ENSCSEP00000020180	ENSCSEG00000012874	Cynoglossus_semilaevis
ENSHCOP00000024064	ENSHCOG00000013100	Hippocampus_comes
ENSPMGP00000009171	ENSPMGG00000007594	Periophthalmus_magnuspinnatus
ENSGMOP00000012976	ENSGMOG00000012119	Gadus_morhua
ENSHHUP00000026764	ENSHHUG00000016936	Hucho_hucho
ENSELUP00000028829	ENSELUG00000005572	Esox_lucius
ENSAMXP00005045080	ENSAMXG00005020897	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000033058	ENSAMXG00000006401	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000022147	ENSPNAG00000029448	Pygocentrus_nattereri
ENSEEEP00000022533	ENSEEEG00000010940	Electrophorus_electricus
ENSIPUP00000030558	ENSIPUG00000020634	Ictalurus_punctatus
ENSDARP00000097962	ENSDARG00000077180	Danio_rerio
ENSDARP00000119421	ENSDARG00000093531	Danio_rerio
ENSDCDP00000036120	ENSDCDG00000024054	Denticeps_clupeoides
ENSCHAP00000040812	ENSCHAG00000019100	Clupea_harengus
