ENSIPUP00000010497	ENSIPUG00000007171	Ictalurus_punctatus
ENSLBEP00000009248	ENSLBEG00000007159	Labrus_bergylta	ENSLBET00000009755
ENSNLEP00000015421	ENSNLEG00000012697	Nomascus_leucogenys
ENSACAP00000005533	ENSACAG00000005638	Anolis_carolinensis
ENSAPOP00000021495	ENSAPOG00000002097	Acanthochromis_polyacanthus
ENSFDAP00000021822	ENSFDAG00000007430	Fukomys_damarensis
ENSARWP00000005872	ENSARWG00000004184	Apteryx_rowi
ENSMEUP00000001580	ENSMEUG00000001728	Notamacropus_eugenii
ENSCAPP00000013814	ENSCAPG00000014351	Cavia_aperea
ENSMUNP00000008459	ENSMUNG00000006718	Melopsittacus_undulatus
ENSBIXP00005021751	ENSBIXG00005024719	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSPUP00000007687	ENSSPUG00000005923	Sphenodon_punctatus
ENSCJAP00000012974	ENSCJAG00000006969	Callithrix_jacchus
ENSGWIP00000050349	ENSGWIG00000024489	Gouania_willdenowi
ENSHHUP00000046158	ENSHHUG00000028132	Hucho_hucho
ENSMGAP00000003932	ENSMGAG00000004156	Meleagris_gallopavo
ENSAMXP00005025160	ENSAMXG00005012729	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMOP00000019528	ENSMMOG00000014816	Mola_mola
ENSORLP00015033053	ENSORLG00015018242	Oryzias_latipes_ASM223469v1
ENSHBUP00000033164	ENSHBUG00000019911	Haplochromis_burtoni
ENSODEP00000014103	ENSODEG00000010425	Octodon_degus
ENSEASP00005017756	ENSEASG00005012274	Equus_asinus_asinus
ENSSDUP00000000680	ENSSDUG00000000585	Seriola_dumerili
ENSPNYP00000010988	ENSPNYG00000008334	Pundamilia_nyererei
ENSCGRP00001026050	ENSCGRG00001023479	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMXP00000050116	ENSAMXG00000032551	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSUMAP00000033759	ENSUMAG00000024328	Ursus_maritimus
ENSRROP00000030139	ENSRROG00000038828	Rhinopithecus_roxellana
ENSSBOP00000018759	ENSSBOG00000025992	Saimiri_boliviensis_boliviensis
ENSAMEP00000019226	ENSAMEG00000018187	Ailuropoda_melanoleuca
ENSPTEP00000007478	ENSPTEG00000008509	Piliocolobus_tephrosceles
ENSCSEP00000016251	ENSCSEG00000010459	Cynoglossus_semilaevis
ENSEEEP00000044381	ENSEEEG00000020967	Electrophorus_electricus
ENSGACP00000027498	ENSGACG00000020797	Gasterosteus_aculeatus	ENSGACT00000027550
ENSSFOP00015015745	ENSSFOG00015010149	Scleropages_formosus
ENSCAFP00000024213	ENSCAFG00000016450	Canis_lupus_familiaris
ENSNBRP00000012282	ENSNBRG00000009555	Neolamprologus_brichardi
ENSPCIP00000002652	ENSPCIG00000002183	Phascolarctos_cinereus
ENSFHEP00000018617	ENSFHEG00000000609	Fundulus_heteroclitus	ENSFHET00000027644
ENSPPYP00000018001	ENSPPYG00000016085	Pongo_abelii
ENSOMEP00000023075	ENSOMEG00000002976	Oryzias_melastigma
ENSRNOP00000068446	ENSRNOG00000016539	Rattus_norvegicus
ENSCATP00000029440	ENSCATG00000037953	Cercocebus_atys
ENSCGOP00000039124	ENSCGOG00000017888	Cottoperca_gobio
ENSATEP00000032874	ENSATEG00000022646	Anabas_testudineus
ENSUPAP00010017141	ENSUPAG00010013660	Urocitellus_parryii
ENSTTRP00000009070	ENSTTRG00000009570	Tursiops_truncatus
ENSORLP00020028055	ENSORLG00020011341	Oryzias_latipes_ASM223471v1
ENSUAMP00000036850	ENSUAMG00000027909	Ursus_americanus
ENSGAGP00000023774	ENSGAGG00000017397	Gopherus_agassizii
ENSHCOP00000022678	ENSHCOG00000010591	Hippocampus_comes	ENSHCOT00000000475
ENSLSDP00000021187	ENSLSDG00000014995	Lonchura_striata_domestica
ENSAOCP00000032189	ENSAOCG00000001772	Amphiprion_ocellaris
ENSTNIP00000010451	ENSTNIG00000007636	Tetraodon_nigroviridis	ENSTNIT00000010632
ENSPKIP00000026652	ENSPKIG00000009041	Paramormyrops_kingsleyae
ENSPMEP00000003312	ENSPMEG00000004473	Poecilia_mexicana	ENSPMET00000011061
ENSAPLP00000031924	ENSAPLG00000024021	Anas_platyrhynchos_platyrhynchos
ENSNVIP00000027279	ENSNVIG00000021083	Neovison_vison
ENSGGOP00000018644	ENSGGOG00000023694	Gorilla_gorilla
ENSCPRP00005020499	ENSCPRG00005014230	Crocodylus_porosus
ENSCCNP00000025418	ENSCCNG00000024777	Castor_canadensis
ENSEBUP00000003133	ENSEBUG00000002308	Eptatretus_burgeri
ENSCVAP00000022468	ENSCVAG00000005169	Cyprinodon_variegatus	ENSCVAT00000009229
ENSJJAP00000004203	ENSJJAG00000008646	Jaculus_jaculus
ENSJHYP00000006276	ENSJHYG00000005055	Junco_hyemalis
ENSCPOP00000021710	ENSCPOG00000039323	Cavia_porcellus
ENSPFOP00000000010	ENSPFOG00000000010	Poecilia_formosa	ENSPFOT00000000010
ENSPTRP00000030021	ENSPTRG00000017577	Pan_troglodytes
ENSBTAP00000051902	ENSBTAG00000025425	Bos_taurus
ENSGMOP00000014228	ENSGMOG00000013302	Gadus_morhua
ENSP00000304376	ENSG00000169228	Homo_sapiens
ENSMICP00000029713	ENSMICG00000036422	Microcebus_murinus
ENSPEMP00000012242	ENSPEMG00000012635	Peromyscus_maniculatus_bairdii
ENSMAUP00000010598	ENSMAUG00000011439	Mesocricetus_auratus
ENSMZEP00005012810	ENSMZEG00005009622	Maylandia_zebra
ENSMALP00000014753	ENSMALG00000010345	Monopterus_albus
MGP_SPRETEiJ_P0036137	MGP_SPRETEiJ_G0019435	Mus_spretus_strain_SPRET/EiJ
ENSXMAP00000018951	ENSXMAG00000018893	Xiphophorus_maculatus	ENSXMAT00000018979
ENSNPEP00000005838	ENSNPEG00000004384	Nothoprocta_perdicaria
ENSABRP00000017845	ENSABRG00000015435	Anser_brachyrhynchus
ENSFALP00000009090	ENSFALG00000008710	Ficedula_albicollis
ENSXCOP00000005122	ENSXCOG00000004005	Xiphophorus_couchianus	ENSXCOT00000005183
ENSSMAP00000012432	ENSSMAG00000007661	Scophthalmus_maximus
ENSMFAP00000028617	ENSMFAG00000045651	Macaca_fascicularis
ENSACLP00000023428	ENSACLG00000015924	Astatotilapia_calliptera
ENSSTOP00000016553	ENSSTOG00000021889	Ictidomys_tridecemlineatus
ENSVVUP00000000236	ENSVVUG00000000036	Vulpes_vulpes
ENSPANP00000004377	ENSPANG00000011857	Papio_anubis
ENSDCDP00000034932	ENSDCDG00000023445	Denticeps_clupeoides
