ENSUPAP00010014703	ENSUPAG00010011776	Urocitellus_parryii	ENSUPAT00010016794
ENSMMMP00000006342	ENSMMMG00000005681	Marmota_marmota_marmota
ENSSDAP00000010011	ENSSDAG00000009133	Spermophilus_dauricus
ENSSTOP00000011700	ENSSTOG00000013057	Ictidomys_tridecemlineatus
ENSMUSP00000103782	ENSMUSG00000006311	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0082072	MGP_SPRETEiJ_G0030631	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000007439	ENSMSIG00000006621	Mus_spicilegus
MGP_CAROLIEiJ_P0078751	MGP_CAROLIEiJ_G0029535	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0015627	MGP_PahariEiJ_G0012769	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000036461	ENSRNOG00000024288	Rattus_norvegicus
ENSMUGP00000015505	ENSMUGG00000013346	Meriones_unguiculatus
ENSCGRP00015020539	ENSCGRG00015015706	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013762	ENSCGRG00001014814	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000007487	ENSMAUG00000009159	Mesocricetus_auratus
ENSMOCP00000016693	ENSMOCG00000015526	Microtus_ochrogaster
ENSPEMP00000008629	ENSPEMG00000010189	Peromyscus_maniculatus_bairdii
ENSNGAP00000012762	ENSNGAG00000014523	Nannospalax_galili
ENSHGLP00000008821	ENSHGLG00000006342	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025398	ENSHGLG00100018634	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018749	ENSFDAG00000009608	Fukomys_damarensis
ENSCPOP00000011891	ENSCPOG00000013209	Cavia_porcellus
ENSODEP00000019697	ENSODEG00000014537	Octodon_degus
ENSCLAP00000016663	ENSCLAG00000011446	Chinchilla_lanigera
ENSCCNP00000008080	ENSCCNG00000008596	Castor_canadensis
ENSOPRP00000001169	ENSOPRG00000001269	Ochotona_princeps
ENSPTRP00000068953	ENSPTRG00000046312	Pan_troglodytes
ENSPPAP00000031336	ENSPPAG00000038607	Pan_paniscus
ENSP00000384524	ENSG00000105672	Homo_sapiens
ENSGGOP00000009741	ENSGGOG00000009978	Gorilla_gorilla
ENSPPYP00000011052	ENSPPYG00000009872	Pongo_abelii
ENSNLEP00000044111	ENSNLEG00000011277	Nomascus_leucogenys
ENSCANP00000018629	ENSCANG00000032766	Colobus_angolensis_palliatus
ENSPTEP00000013548	ENSPTEG00000015173	Piliocolobus_tephrosceles
ENSRROP00000001326	ENSRROG00000005155	Rhinopithecus_roxellana
ENSRBIP00000038330	ENSRBIG00000042688	Rhinopithecus_bieti
ENSMFAP00000029692	ENSMFAG00000042076	Macaca_fascicularis
ENSMNEP00000020982	ENSMNEG00000034282	Macaca_nemestrina
ENSMMUP00000024937	ENSMMUG00000018953	Macaca_mulatta
ENSMLEP00000022366	ENSMLEG00000035373	Mandrillus_leucophaeus
ENSCATP00000028549	ENSCATG00000037563	Cercocebus_atys
ENSTGEP00000012117	ENSTGEG00000009889	Theropithecus_gelada
ENSPANP00000009700	ENSPANG00000012973	Papio_anubis
ENSCSAP00000000751	ENSCSAG00000004415	Chlorocebus_sabaeus
ENSSBOP00000005669	ENSSBOG00000019710	Saimiri_boliviensis_boliviensis
ENSCCAP00000007100	ENSCCAG00000021289	Cebus_capucinus_imitator
ENSCJAP00000059797	ENSCJAG00000041554	Callithrix_jacchus
ENSANAP00000014295	ENSANAG00000025051	Aotus_nancymaae
ENSTSYP00000016282	ENSTSYG00000027932	Carlito_syrichta
ENSPSMP00000000719	ENSPSMG00000000542	Prolemur_simus
ENSPCOP00000020338	ENSPCOG00000022130	Propithecus_coquereli
ENSMICP00000009009	ENSMICG00000009896	Microcebus_murinus
ENSOGAP00000003698	ENSOGAG00000004145	Otolemur_garnettii
ENSCHIP00000030426	ENSCHIG00000025200	Capra_hircus
ENSOARP00000005288	ENSOARG00000004936	Ovis_aries
ENSBIXP00000010376	ENSBIXG00000015865	Bos_indicus_x_Bos_taurus_UOA_Angus_1
