ENSSPUP00000014934	ENSSPUG00000011523	Sphenodon_punctatus
ENSPVIP00000021272	ENSPVIG00000016160	Pogona_vitticeps	ENSPVIT00000026407
ENSGAGP00000032417	ENSGAGG00000023192	Gopherus_agassizii
ENSCABP00000024248	ENSCABG00000017879	Chelonoidis_abingdonii
ENSCPBP00000001064	ENSCPBG00000000856	Chrysemys_picta_bellii
ENSPSIP00000008494	ENSPSIG00000007778	Pelodiscus_sinensis
ENSABRP00000015525	ENSABRG00000013627	Anser_brachyrhynchus
ENSAPLP00000013381	ENSAPLG00000013569	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000006152	ENSCCEG00000006643	Cyanistes_caeruleus
ENSPMJP00000024180	ENSPMJG00000017781	Parus_major
ENSTGUP00000016690	ENSTGUG00000016393	Taeniopygia_guttata
ENSLCOP00000004507	ENSLCOG00000003435	Lepidothrix_coronata
ENSCPUP00000005613	ENSCPUG00000004100	Calidris_pugnax
ENSAOWP00000002049	ENSAOWG00000001488	Apteryx_owenii
ENSARWP00000016939	ENSARWG00000011682	Apteryx_rowi
ENSAHAP00000003436	ENSAHAG00000002732	Apteryx_haastii
ENSDNVP00000010623	ENSDNVG00000007499	Dromaius_novaehollandiae
ENSNPEP00000000236	ENSNPEG00000000225	Nothoprocta_perdicaria
ENSLSDP00000001830	ENSLSDG00000001440	Lonchura_striata_domestica
ENSGALP00000071262	ENSGALG00000046740	Gallus_gallus
ENSCPRP00005003257	ENSCPRG00005002392	Crocodylus_porosus
ENSSMRP00000020973	ENSSMRG00000016332	Salvator_merianae
ENSNSUP00000028570	ENSNSUG00000020315	Notechis_scutatus
ENSVURP00010010218	ENSVURG00010007898	Vombatus_ursinus
ENSPCIP00000031248	ENSPCIG00000023224	Phascolarctos_cinereus
ENSPCIP00000016512	ENSPCIG00000012717	Phascolarctos_cinereus
ENSMEUP00000010190	ENSMEUG00000011178	Notamacropus_eugenii
ENSMODP00000012110	ENSMODG00000009685	Monodelphis_domestica
ENSSHAP00000021077	ENSSHAG00000017872	Sarcophilus_harrisii
ENSCGRP00001025211	ENSCGRG00001022880	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001333	ENSCGRG00000001026	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022337	ENSCGRG00015017013	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000385	ENSMAUG00000000338	Mesocricetus_auratus
ENSPEMP00000024877	ENSPEMG00000021457	Peromyscus_maniculatus_bairdii
ENSMOCP00000006113	ENSMOCG00000005684	Microtus_ochrogaster
ENSMOCP00000020023	ENSMOCG00000017819	Microtus_ochrogaster
MGP_SPRETEiJ_P0096192	MGP_SPRETEiJ_G0034483	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000033577	ENSMUSG00000031226	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000029331	ENSMSIG00000024614	Mus_spicilegus
MGP_CAROLIEiJ_P0092424	MGP_CAROLIEiJ_G0033319	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0090039	MGP_PahariEiJ_G0031856	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000003667	ENSRNOG00000002662	Rattus_norvegicus
ENSMUGP00000000535	ENSMUGG00000000520	Meriones_unguiculatus
ENSCGRP00015005848	ENSCGRG00015004569	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000004878	ENSCGRG00000003585	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000001199	ENSCGRG00000000934	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000006082	ENSNGAG00000008887	Nannospalax_galili
ENSJJAP00000019316	ENSJJAG00000020303	Jaculus_jaculus
ENSJJAP00000021603	ENSJJAG00000021916	Jaculus_jaculus
ENSDORP00000026362	ENSDORG00000029328	Dipodomys_ordii
ENSCLAP00000000051	ENSCLAG00000000074	Chinchilla_lanigera
ENSCLAP00000000064	ENSCLAG00000000087	Chinchilla_lanigera
ENSCPOP00000006123	ENSCPOG00000006794	Cavia_porcellus
ENSODEP00000000356	ENSODEG00000000314	Octodon_degus
ENSODEP00000000741	ENSODEG00000000610	Octodon_degus
ENSODEP00000000523	ENSODEG00000000440	Octodon_degus
ENSHGLP00100000389	ENSHGLG00100000329	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100004929	ENSHGLG00100003738	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005004	ENSHGLG00000003671	Heterocephalus_glaber_HetGla_female_1.0
ENSOCUP00000000942	ENSOCUG00000001088	Oryctolagus_cuniculus
ENSOCUP00000045449	ENSOCUG00000039371	Oryctolagus_cuniculus
ENSOPRP00000009899	ENSOPRG00000010837	Ochotona_princeps
ENSMMMP00000019617	ENSMMMG00000017337	Marmota_marmota_marmota
ENSSTOP00000000799	ENSSTOG00000000892	Ictidomys_tridecemlineatus
ENSSDAP00000017752	ENSSDAG00000016164	Spermophilus_dauricus
ENSUPAP00010025356	ENSUPAG00010020059	Urocitellus_parryii
ENSCCNP00000021697	ENSCCNG00000021439	Castor_canadensis
ENSTBEP00000002957	ENSTBEG00000003411	Tupaia_belangeri
ENSPPAP00000017358	ENSPPAG00000031758	Pan_paniscus
ENSGGOP00000012761	ENSGGOG00000013084	Gorilla_gorilla
ENSP00000362456	ENSG00000102390	Homo_sapiens
ENSPPYP00000022932	ENSPPYG00000020488	Pongo_abelii
ENSRROP00000040444	ENSRROG00000043483	Rhinopithecus_roxellana
ENSRBIP00000031275	ENSRBIG00000039489	Rhinopithecus_bieti
ENSPTEP00000015603	ENSPTEG00000017252	Piliocolobus_tephrosceles
ENSCANP00000022657	ENSCANG00000034761	Colobus_angolensis_palliatus
ENSMFAP00000042275	ENSMFAG00000039912	Macaca_fascicularis
ENSMMUP00000025710	ENSMMUG00000019569	Macaca_mulatta
ENSMNEP00000004051	ENSMNEG00000018878	Macaca_nemestrina
ENSMLEP00000025675	ENSMLEG00000037037	Mandrillus_leucophaeus
ENSCATP00000020761	ENSCATG00000034130	Cercocebus_atys
ENSPANP00000010641	ENSPANG00000013474	Papio_anubis
ENSTGEP00000002037	ENSTGEG00000001803	Theropithecus_gelada
ENSCSAP00000007046	ENSCSAG00000010824	Chlorocebus_sabaeus
ENSNLEP00000001325	ENSNLEG00000001123	Nomascus_leucogenys
ENSPTRP00000073842	ENSPTRG00000022046	Pan_troglodytes
ENSRBIP00000018381	ENSRBIG00000033172	Rhinopithecus_bieti
ENSSBOP00000008990	ENSSBOG00000021392	Saimiri_boliviensis_boliviensis
ENSCJAP00000070676	ENSCJAG00000053184	Callithrix_jacchus
ENSCCAP00000004753	ENSCCAG00000019935	Cebus_capucinus_imitator
ENSCJAP00000034488	ENSCJAG00000018571	Callithrix_jacchus
ENSANAP00000002356	ENSANAG00000018001	Aotus_nancymaae
ENSTSYP00000011959	ENSTSYG00000013034	Carlito_syrichta
ENSPSMP00000034462	ENSPSMG00000023749	Prolemur_simus
ENSPCOP00000008374	ENSPCOG00000015464	Propithecus_coquereli
ENSMICP00000036676	ENSMICG00000030118	Microcebus_murinus
