ENSFCAP00000006392	ENSFCAG00000043997	Felis_catus
ENSCAFP00020003523	ENSCAFG00020002965	Canis_lupus_dingo
ENSBIXP00005037652	ENSBIXG00005019569	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000008200	ENSBIXG00000014080	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000067410	ENSBTAG00000018451	Bos_taurus
ENSBBBP00000019745	ENSBBBG00000013194	Bison_bison_bison
ENSSSCP00000052683	ENSSSCG00000022176	Sus_scrofa_strain_reference
ENSECAP00000052954	ENSECAG00000042372	Equus_caballus
ENSPVAP00000012920	ENSPVAG00000013698	Pteropus_vampyrus
ENSMICP00000024017	ENSMICG00000036709	Microcebus_murinus
ENSPSMP00000022896	ENSPSMG00000016228	Prolemur_simus
ENSTGEP00000010291	ENSTGEG00000008451	Theropithecus_gelada
ENSCSAP00000006557	ENSCSAG00000010328	Chlorocebus_sabaeus
ENSPTEP00000040785	ENSPTEG00000037516	Piliocolobus_tephrosceles
ENSRBIP00000037025	ENSRBIG00000042120	Rhinopithecus_bieti
ENSPPYP00000004786	ENSPPYG00000004200	Pongo_abelii
ENSCJAP00000053599	ENSCJAG00000038843	Callithrix_jacchus
ENSSBOP00000013461	ENSSBOG00000023486	Saimiri_boliviensis_boliviensis
ENSANAP00000014255	ENSANAG00000025029	Aotus_nancymaae
ENSJJAP00000004304	ENSJJAG00000008935	Jaculus_jaculus
ENSNGAP00000022065	ENSNGAG00000021065	Nannospalax_galili
ENSCCNP00000026093	ENSCCNG00000025370	Castor_canadensis
ENSODEP00000025475	ENSODEG00000018731	Octodon_degus
ENSODEP00000003009	ENSODEG00000002310	Octodon_degus
ENSCLAP00000023800	ENSCLAG00000016337	Chinchilla_lanigera
ENSCPOP00000020042	ENSCPOG00000021676	Cavia_porcellus
ENSCAPP00000001408	ENSCAPG00000002697	Cavia_aperea
ENSHGLP00000005441	ENSHGLG00000003988	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012328	ENSHGLG00100009129	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020977	ENSFDAG00000008047	Fukomys_damarensis
ENSMMMP00000019346	ENSMMMG00000017097	Marmota_marmota_marmota
ENSUPAP00010015392	ENSUPAG00010012331	Urocitellus_parryii
ENSSTOP00000029575	ENSSTOG00000034819	Ictidomys_tridecemlineatus
