ENSXETP00000011410	ENSXETG00000015846	Xenopus_tropicalis	ENSXETT00000036799
ENSLACP00000017902	ENSLACG00000015773	Latimeria_chalumnae	ENSLACT00000018032
ENSPKIP00000038079	ENSPKIG00000016002	Paramormyrops_kingsleyae	ENSPKIT00000019068
ENSSFOP00015024874	ENSSFOG00015015935	Scleropages_formosus	ENSSFOT00015025148
ENSORLP00020022734	ENSORLG00020003186	Oryzias_latipes_ASM223471v1
ENSORLP00000023483	ENSORLG00000018802	Oryzias_latipes_ASM223467v1
ENSORLP00015016284	ENSORLG00015017266	Oryzias_latipes_ASM223469v1
ENSGWIP00000042403	ENSGWIG00000021174	Gouania_willdenowi
ENSTNIP00000003095	ENSTNIG00000001619	Tetraodon_nigroviridis
ENSAPEP00000006548	ENSAPEG00000004687	Amphiprion_percula
ENSAOCP00000009374	ENSAOCG00000013523	Amphiprion_ocellaris
ENSAPOP00000030438	ENSAPOG00000017030	Acanthochromis_polyacanthus
ENSSPAP00000014307	ENSSPAG00000010800	Stegastes_partitus
ENSPRNP00000041044	ENSPRNG00000020136	Parambassis_ranga
ENSFHEP00000031777	ENSFHEG00000017913	Fundulus_heteroclitus
ENSCVAP00000016108	ENSCVAG00000019041	Cyprinodon_variegatus
ENSXCOP00000015339	ENSXCOG00000011619	Xiphophorus_couchianus
ENSXMAP00000034299	ENSXMAG00000001076	Xiphophorus_maculatus
ENSGAFP00000023068	ENSGAFG00000015568	Gambusia_affinis
ENSPFOP00000001513	ENSPFOG00000001422	Poecilia_formosa
ENSPMEP00000017328	ENSPMEG00000020172	Poecilia_mexicana
ENSPLAP00000009686	ENSPLAG00000012502	Poecilia_latipinna
ENSPREP00000003114	ENSPREG00000002232	Poecilia_reticulata
ENSKMAP00000009969	ENSKMAG00000007501	Kryptolebias_marmoratus
ENSOMEP00000029714	ENSOMEG00000013442	Oryzias_melastigma
ENSACLP00000017084	ENSACLG00000011620	Astatotilapia_calliptera
ENSHBUP00000003736	ENSHBUG00000005027	Haplochromis_burtoni
ENSPNYP00000004959	ENSPNYG00000003842	Pundamilia_nyererei
ENSPNYP00000004931	ENSPNYG00000003821	Pundamilia_nyererei
ENSNBRP00000024551	ENSNBRG00000018768	Neolamprologus_brichardi
ENSNBRP00000024524	ENSNBRG00000018755	Neolamprologus_brichardi
ENSMZEP00005034587	ENSMZEG00005025836	Maylandia_zebra
ENSONIP00000011494	ENSONIG00000009142	Oreochromis_niloticus
ENSACIP00000021324	ENSACIG00000016537	Amphilophus_citrinellus
ENSLCRP00005062236	ENSLCRG00005022867	Larimichthys_crocea
ENSMMOP00000025974	ENSMMOG00000019702	Mola_mola
ENSLBEP00000012339	ENSLBEG00000009476	Labrus_bergylta
ENSGACP00000004959	ENSGACG00000003777	Gasterosteus_aculeatus
ENSMALP00000007942	ENSMALG00000005639	Monopterus_albus
ENSMAMP00000010709	ENSMAMG00000007229	Mastacembelus_armatus
ENSATEP00000003306	ENSATEG00000002318	Anabas_testudineus
ENSBSLP00000032747	ENSBSLG00000015907	Betta_splendens
ENSSDUP00000005541	ENSSDUG00000004076	Seriola_dumerili
ENSSLDP00000013834	ENSSLDG00000011019	Seriola_lalandi_dorsalis
ENSLCAP00010022097	ENSLCAG00010010412	Lates_calcarifer
ENSSMAP00000009216	ENSSMAG00000005661	Scophthalmus_maximus
ENSHCOP00000025219	ENSHCOG00000015230	Hippocampus_comes
ENSPMGP00000026622	ENSPMGG00000021467	Periophthalmus_magnuspinnatus
ENSGMOP00000008951	ENSGMOG00000008357	Gadus_morhua
ENSHHUP00000056208	ENSHHUG00000033563	Hucho_hucho
ENSHHUP00000056222	ENSHHUG00000033565	Hucho_hucho
ENSHHUP00000029153	ENSHHUG00000018605	Hucho_hucho
ENSELUP00000012049	ENSELUG00000012345	Esox_lucius
ENSIPUP00000009827	ENSIPUG00000006710	Ictalurus_punctatus	ENSIPUT00000010260
ENSEEEP00000051853	ENSEEEG00000024338	Electrophorus_electricus	ENSEEET00000052412
ENSAMXP00000038073	ENSAMXG00000017218	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000057933
ENSAMXP00005037817	ENSAMXG00005017955	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000002174	ENSPNAG00000001121	Pygocentrus_nattereri
ENSDARP00000048072	ENSDARG00000058381	Danio_rerio
ENSCHAP00000012173	ENSCHAG00000006701	Clupea_harengus
ENSLOCP00000016789	ENSLOCG00000013616	Lepisosteus_oculatus
ENSECRP00000032141	ENSECRG00000021792	Erpetoichthys_calabaricus
ENSCMIP00000042697	ENSCMIG00000017750	Callorhinchus_milii
