ENSLCOP00000007667	ENSLCOG00000005646	Lepidothrix_coronata	ENSLCOT00000008168
ENSMVIP00005027011	ENSMVIG00005018818	Manacus_vitellinus	ENSMVIT00005030369
ENSMUNP00000010609	ENSMUNG00000008335	Melopsittacus_undulatus
ENSCPGP00000024073	ENSCPGG00000016636	Calidris_pygmaea	ENSCPGT00000026303
ENSCPUP00000016345	ENSCPUG00000011322	Calidris_pugnax	ENSCPUT00000019394
ENSABRP00000024549	ENSABRG00000020597	Anser_brachyrhynchus
ENSAPLP00000032543	ENSAPLG00000011955	Anas_platyrhynchos_platyrhynchos
ENSGALP00000004550	ENSGALG00000002892	Gallus_gallus
ENSCJPP00005019651	ENSCJPG00005015912	Coturnix_japonica
ENSMGAP00000003465	ENSMGAG00000003706	Meleagris_gallopavo
ENSNMEP00000017080	ENSNMEG00000014985	Numida_meleagris
ENSAOWP00000023814	ENSAOWG00000016061	Apteryx_owenii
ENSAHAP00000012364	ENSAHAG00000008933	Apteryx_haastii
ENSARWP00000001539	ENSARWG00000001240	Apteryx_rowi
ENSDNVP00000015455	ENSDNVG00000010857	Dromaius_novaehollandiae
ENSNPEP00000001772	ENSNPEG00000001344	Nothoprocta_perdicaria
ENSCPRP00005008492	ENSCPRG00005006063	Crocodylus_porosus
ENSGAGP00000034244	ENSGAGG00000024325	Gopherus_agassizii
ENSCABP00000011219	ENSCABG00000008368	Chelonoidis_abingdonii
ENSCPBP00000021495	ENSCPBG00000015449	Chrysemys_picta_bellii
ENSPSIP00000002895	ENSPSIG00000002807	Pelodiscus_sinensis
ENSPVIP00000035040	ENSPVIG00000025617	Pogona_vitticeps
ENSACAP00000009987	ENSACAG00000010180	Anolis_carolinensis
ENSNSUP00000018237	ENSNSUG00000013358	Notechis_scutatus
ENSSMRP00000021325	ENSSMRG00000016602	Salvator_merianae
ENSSPUP00000010157	ENSSPUG00000007827	Sphenodon_punctatus
ENSSHAP00000001819	ENSSHAG00000001621	Sarcophilus_harrisii
ENSVURP00010020414	ENSVURG00010015631	Vombatus_ursinus
ENSMODP00000039502	ENSMODG00000029083	Monodelphis_domestica
ENSOANP00000018975	ENSOANG00000011978	Ornithorhynchus_anatinus
ENSXETP00000048936	ENSXETG00000019453	Xenopus_tropicalis
ENSXETP00000023601	ENSXETG00000005025	Xenopus_tropicalis
ENSLACP00000008015	ENSLACG00000007094	Latimeria_chalumnae
ENSPKIP00000001308	ENSPKIG00000019581	Paramormyrops_kingsleyae
ENSSFOP00015013692	ENSSFOG00015008830	Scleropages_formosus
ENSCHAP00000008400	ENSCHAG00000005090	Clupea_harengus
ENSDCDP00000008722	ENSDCDG00000004423	Denticeps_clupeoides
ENSAMXP00000034613	ENSAMXG00000036185	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005054604	ENSAMXG00005024407	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
