ENSXCOP00000000875	ENSXCOG00000000735	Xiphophorus_couchianus	ENSXCOT00000000885
ENSXMAP00000024605	ENSXMAG00000027308	Xiphophorus_maculatus	ENSXMAT00000040902
ENSPLAP00000006886	ENSPLAG00000009120	Poecilia_latipinna	ENSPLAT00000005491
ENSPMEP00000005296	ENSPMEG00000006649	Poecilia_mexicana	ENSPMET00000007734
ENSGAFP00000021098	ENSGAFG00000014225	Gambusia_affinis	ENSGAFT00000021295
ENSCVAP00000011800	ENSCVAG00000014120	Cyprinodon_variegatus	ENSCVAT00000030087
ENSAOCP00000026594	ENSAOCG00000002433	Amphiprion_ocellaris	ENSAOCT00000017839
ENSAPOP00000023399	ENSAPOG00000005203	Acanthochromis_polyacanthus	ENSAPOT00000011363
ENSHBUP00000027186	ENSHBUG00000010242	Haplochromis_burtoni	ENSHBUT00000001444
ENSLCRP00005011014	ENSLCRG00005005002	Larimichthys_crocea	ENSLCRT00005011315
ENSTRUP00000057307	ENSTRUG00000021440	Takifugu_rubripes	ENSTRUT00000051089
