ENSDCDP00000044685	ENSDCDG00000028313	Denticeps_clupeoides
ENSCHAP00000033987	ENSCHAG00000016119	Clupea_harengus
ENSAMXP00000043817	ENSAMXG00000032007	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000044466
ENSAMXP00005040060	ENSAMXG00005018818	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000008363	ENSPNAG00000013997	Pygocentrus_nattereri
ENSIPUP00000031009	ENSIPUG00000020909	Ictalurus_punctatus	ENSIPUT00000032251
ENSEEEP00000015032	ENSEEEG00000007481	Electrophorus_electricus	ENSEEET00000015211
ENSDARP00000061134	ENSDARG00000023117	Danio_rerio
ENSHHUP00000049845	ENSHHUG00000030117	Hucho_hucho
ENSHHUP00000043868	ENSHHUG00000026761	Hucho_hucho
ENSELUP00000040655	ENSELUG00000021209	Esox_lucius
ENSPFOP00000015145	ENSPFOG00000015046	Poecilia_formosa
ENSPMEP00000011701	ENSPMEG00000013835	Poecilia_mexicana
ENSPLAP00000015084	ENSPLAG00000018925	Poecilia_latipinna
ENSPREP00000000813	ENSPREG00000000630	Poecilia_reticulata
ENSGAFP00000030900	ENSGAFG00000020829	Gambusia_affinis
ENSXMAP00000022080	ENSXMAG00000005257	Xiphophorus_maculatus
ENSXCOP00000008270	ENSXCOG00000006344	Xiphophorus_couchianus
ENSFHEP00000032252	ENSFHEG00000018659	Fundulus_heteroclitus
ENSCVAP00000014883	ENSCVAG00000017641	Cyprinodon_variegatus
ENSKMAP00000005308	ENSKMAG00000004021	Kryptolebias_marmoratus
ENSGWIP00000023798	ENSGWIG00000012679	Gouania_willdenowi
ENSAOCP00000005848	ENSAOCG00000009414	Amphiprion_ocellaris
ENSAPEP00000012615	ENSAPEG00000008968	Amphiprion_percula
ENSAPOP00000027817	ENSAPOG00000012631	Acanthochromis_polyacanthus
ENSSPAP00000024117	ENSSPAG00000018211	Stegastes_partitus
ENSORLP00000019672	ENSORLG00000015710	Oryzias_latipes_ASM223467v1
ENSORLP00015001494	ENSORLG00015002119	Oryzias_latipes_ASM223469v1
ENSORLP00020025197	ENSORLG00020007003	Oryzias_latipes_ASM223471v1
ENSOMEP00000012233	ENSOMEG00000013603	Oryzias_melastigma
ENSLBEP00000002791	ENSLBEG00000002170	Labrus_bergylta
ENSATEP00000019798	ENSATEG00000013799	Anabas_testudineus
ENSBSLP00000023940	ENSBSLG00000012164	Betta_splendens
ENSSMAP00000029400	ENSSMAG00000018000	Scophthalmus_maximus
ENSCGOP00000008369	ENSCGOG00000004349	Cottoperca_gobio
ENSGACP00000007682	ENSGACG00000005799	Gasterosteus_aculeatus
ENSSDUP00000001563	ENSSDUG00000001226	Seriola_dumerili
ENSSLDP00000015051	ENSSLDG00000011987	Seriola_lalandi_dorsalis
ENSLCAP00010026952	ENSLCAG00010012631	Lates_calcarifer
ENSLCRP00005019781	ENSLCRG00005008086	Larimichthys_crocea
ENSMALP00000007228	ENSMALG00000005127	Monopterus_albus
ENSMAMP00000001478	ENSMAMG00000001055	Mastacembelus_armatus
ENSACLP00000031399	ENSACLG00000021267	Astatotilapia_calliptera
ENSMZEP00005031822	ENSMZEG00005023736	Maylandia_zebra
