ENSPTIP00000024900	ENSPTIG00000020844	Panthera_tigris_altaica
ENSPCIP00000036870	ENSPCIG00000027188	Phascolarctos_cinereus	ENSPCIT00000045379
ENSGACP00000010614	ENSGACG00000007983	Gasterosteus_aculeatus
ENSFCAP00000061243	ENSFCAG00000007521	Felis_catus
ENSLSDP00000004914	ENSLSDG00000003856	Lonchura_striata_domestica
ENSONIP00000016040	ENSONIG00000012745	Oreochromis_niloticus
ENSACLP00000032800	ENSACLG00000022233	Astatotilapia_calliptera
ENSODEP00000018574	ENSODEG00000013689	Octodon_degus	ENSODET00000018806
ENSMZEP00005021790	ENSMZEG00005016330	Maylandia_zebra
ENSCSAP00000001754	ENSCSAG00000005446	Chlorocebus_sabaeus
ENSKMAP00000006345	ENSKMAG00000004825	Kryptolebias_marmoratus
ENSSMRP00000006976	ENSSMRG00000005647	Salvator_merianae
ENSOANP00000020660	ENSOANG00000013069	Ornithorhynchus_anatinus
ENSP00000222250	ENSG00000105643	Homo_sapiens
ENSPNYP00000021980	ENSPNYG00000016577	Pundamilia_nyererei
ENSCATP00000039444	ENSCATG00000042338	Cercocebus_atys
ENSCPUP00000029399	ENSCPUG00000019692	Calidris_pugnax
ENSMSIP00000038527	ENSMSIG00000032082	Mus_spicilegus
ENSCLAP00000008204	ENSCLAG00000005752	Chinchilla_lanigera	ENSCLAT00000008330
ENSXMAP00000022306	ENSXMAG00000025940	Xiphophorus_maculatus
ENSHGLP00100015643	ENSHGLG00100011549	Heterocephalus_glaber_HetGla_1.0
ENSCAFP00020014696	ENSCAFG00020011878	Canis_lupus_dingo
ENSLCOP00000012892	ENSLCOG00000009295	Lepidothrix_coronata
ENSPREP00000016483	ENSPREG00000011165	Poecilia_reticulata
ENSOGAP00000001015	ENSOGAG00000001138	Otolemur_garnettii
ENSBBBP00000006049	ENSBBBG00000014649	Bison_bison_bison
ENSBIXP00000023488	ENSBIXG00000025981	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEASP00005008281	ENSEASG00005005980	Equus_asinus_asinus
ENSLBEP00000037026	ENSLBEG00000027659	Labrus_bergylta
ENSHCOP00000006193	ENSHCOG00000007944	Hippocampus_comes
ENSTNIP00000013084	ENSTNIG00000010185	Tetraodon_nigroviridis
ENSCPBP00000017709	ENSCPBG00000012959	Chrysemys_picta_bellii
ENSPRNP00000036082	ENSPRNG00000018054	Parambassis_ranga
ENSMGAP00000004061	ENSMGAG00000004224	Meleagris_gallopavo
ENSPFOP00000023837	ENSPFOG00000001217	Poecilia_formosa
ENSAOWP00000020540	ENSAOWG00000013898	Apteryx_owenii
ENSTBEP00000010772	ENSTBEG00000012440	Tupaia_belangeri
ENSORLP00000010763	ENSORLG00000008572	Oryzias_latipes_ASM223467v1
ENSBMUP00000000771	ENSBMUG00000000668	Bos_mutus
ENSMMOP00000009708	ENSMMOG00000007512	Mola_mola
ENSTNIP00000002618	ENSTNIG00000002392	Tetraodon_nigroviridis
ENSCABP00000022276	ENSCABG00000016415	Chelonoidis_abingdonii
ENSOPRP00000003327	ENSOPRG00000003623	Ochotona_princeps
ENSSLDP00000009052	ENSSLDG00000007155	Seriola_lalandi_dorsalis
ENSPANP00000026197	ENSPANG00000001630	Papio_anubis
ENSPCOP00000005623	ENSPCOG00000013771	Propithecus_coquereli
ENSELUP00000012944	ENSELUG00000013152	Esox_lucius
ENSNVIP00000022264	ENSNVIG00000017355	Neovison_vison
ENSLCAP00010013020	ENSLCAG00010006156	Lates_calcarifer
ENSCCNP00000010692	ENSCCNG00000010061	Castor_canadensis
ENSACIP00000014519	ENSACIG00000011284	Amphilophus_citrinellus
ENSBTAP00000002229	ENSBTAG00000039335	Bos_taurus
ENSAHAP00000023357	ENSAHAG00000016326	Apteryx_haastii
MGP_SPRETEiJ_P0088348	MGP_SPRETEiJ_G0032287	Mus_spretus_strain_SPRET/EiJ
ENSZALP00000022512	ENSZALG00000017483	Zonotrichia_albicollis
ENSCGRP00001016410	ENSCGRG00001016751	Cricetulus_griseus_CHOK1GS_HDv1
