ENSEEEP00000023944	ENSEEEG00000011627	Electrophorus_electricus
ENSIPUP00000004062	ENSIPUG00000002866	Ictalurus_punctatus
ENSPNAP00000003118	ENSPNAG00000009489	Pygocentrus_nattereri
ENSDARP00000118416	ENSDARG00000074305	Danio_rerio
ENSPKIP00000039737	ENSPKIG00000016981	Paramormyrops_kingsleyae
ENSLOCP00000020502	ENSLOCG00000016599	Lepisosteus_oculatus
ENSAMXP00000050814	ENSAMXG00000036108	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000043408	ENSAMXG00000039390	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSOMEP00000027013	ENSOMEG00000009210	Oryzias_melastigma
ENSPKIP00000041076	ENSPKIG00000017786	Paramormyrops_kingsleyae
ENSECRP00000014845	ENSECRG00000009900	Erpetoichthys_calabaricus
