ENSTGUP00000000558	ENSTGUG00000000548	Taeniopygia_guttata
ENSLSDP00000023210	ENSLSDG00000016332	Lonchura_striata_domestica
ENSSCAP00000018293	ENSSCAG00000013243	Serinus_canaria
ENSJHYP00000003341	ENSJHYG00000002758	Junco_hyemalis
ENSZALP00000012573	ENSZALG00000010534	Zonotrichia_albicollis
ENSFALP00000008915	ENSFALG00000008550	Ficedula_albicollis
ENSPMJP00000009504	ENSPMJG00000007594	Parus_major
ENSCCEP00000006941	ENSCCEG00000007373	Cyanistes_caeruleus
ENSLCOP00000010959	ENSLCOG00000007963	Lepidothrix_coronata
ENSMVIP00005023964	ENSMVIG00005016807	Manacus_vitellinus
ENSMUNP00000007139	ENSMUNG00000005731	Melopsittacus_undulatus
ENSCPGP00000022143	ENSCPGG00000015389	Calidris_pygmaea
ENSABRP00000019527	ENSABRG00000016743	Anser_brachyrhynchus
ENSAPLP00000009064	ENSAPLG00000009342	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005013286	ENSCJPG00005011217	Coturnix_japonica
ENSMGAP00000004573	ENSMGAG00000004753	Meleagris_gallopavo
ENSGALP00000065131	ENSGALG00000003370	Gallus_gallus
ENSNMEP00000021006	ENSNMEG00000018013	Numida_meleagris
ENSDNVP00000021648	ENSDNVG00000015120	Dromaius_novaehollandiae
ENSNPEP00000006244	ENSNPEG00000004722	Nothoprocta_perdicaria
ENSARWP00000007184	ENSARWG00000005040	Apteryx_rowi
ENSAOWP00000015469	ENSAOWG00000010530	Apteryx_owenii
ENSAHAP00000028364	ENSAHAG00000019701	Apteryx_haastii
ENSCPRP00005019396	ENSCPRG00005013543	Crocodylus_porosus
ENSCABP00000024785	ENSCABG00000018248	Chelonoidis_abingdonii
ENSGAGP00000017841	ENSGAGG00000013243	Gopherus_agassizii
ENSPSIP00000015406	ENSPSIG00000013728	Pelodiscus_sinensis
ENSCPBP00000032318	ENSCPBG00000022655	Chrysemys_picta_bellii
ENSPVIP00000034255	ENSPVIG00000025021	Pogona_vitticeps
ENSACAP00000006237	ENSACAG00000006360	Anolis_carolinensis
ENSNSUP00000020296	ENSNSUG00000014788	Notechis_scutatus
ENSSMRP00000008127	ENSSMRG00000006516	Salvator_merianae
ENSSPUP00000008439	ENSSPUG00000006555	Sphenodon_punctatus
ENSPCIP00000011794	ENSPCIG00000009422	Phascolarctos_cinereus	ENSPCIT00000014662
ENSPCIP00000022513	ENSPCIG00000017075	Phascolarctos_cinereus	ENSPCIT00000027770
ENSVURP00010002295	ENSVURG00010001893	Vombatus_ursinus	ENSVURT00010002622
ENSPCIP00000051225	ENSPCIG00000032706	Phascolarctos_cinereus	ENSPCIT00000066074
ENSPCIP00000016658	ENSPCIG00000012809	Phascolarctos_cinereus	ENSPCIT00000020577
ENSMEUP00000000645	ENSMEUG00000000700	Notamacropus_eugenii	ENSMEUT00000000699
ENSMODP00000029736	ENSMODG00000023387	Monodelphis_domestica	ENSMODT00000031307
ENSMODP00000053277	ENSMODG00000038674	Monodelphis_domestica	ENSMODT00000072829
ENSMODP00000041882	ENSMODG00000001216	Monodelphis_domestica	ENSMODT00000001486
ENSMODP00000043393	ENSMODG00000025329	Monodelphis_domestica	ENSMODT00000006641
ENSMODP00000060217	ENSMODG00000048370	Monodelphis_domestica	ENSMODT00000057630
ENSPTRP00000071208	ENSPTRG00000047372	Pan_troglodytes
ENSPPAP00000000989	ENSPPAG00000004114	Pan_paniscus
ENSGGOP00000052059	ENSGGOG00000005499	Gorilla_gorilla
ENSPTEP00000035815	ENSPTEG00000033754	Piliocolobus_tephrosceles
ENSSBOP00000004765	ENSSBOG00000019038	Saimiri_boliviensis_boliviensis
ENSCCAP00000035531	ENSCCAG00000035687	Cebus_capucinus_imitator
ENSNLEP00000036077	ENSNLEG00000027844	Nomascus_leucogenys
ENSRROP00000013496	ENSRROG00000030985	Rhinopithecus_roxellana
ENSSBOP00000033456	ENSSBOG00000032893	Saimiri_boliviensis_boliviensis
ENSPPAP00000006279	ENSPPAG00000024759	Pan_paniscus
ENSPTRP00000029983	ENSPTRG00000017558	Pan_troglodytes
ENSP00000298569	ENSG00000122203	Homo_sapiens
ENSGGOP00000028218	ENSGGOG00000023834	Gorilla_gorilla
ENSPPYP00000024248	ENSPPYG00000016068	Pongo_abelii
