ENSMFAP00000013655	ENSMFAG00000029506	Macaca_fascicularis	ENSMFAT00000063786
ENSGGOP00000014439	ENSGGOG00000014803	Gorilla_gorilla	ENSGGOT00000014852
ENSRBIP00000014441	ENSRBIG00000031332	Rhinopithecus_bieti	ENSRBIT00000038274
ENSMNEP00000035268	ENSMNEG00000040801	Macaca_nemestrina	ENSMNET00000059724
ENSMMUP00000041977	ENSMMUG00000047219	Macaca_mulatta	ENSMMUT00000056098
ENSPTRP00000048134	ENSPTRG00000028656	Pan_troglodytes	ENSPTRT00000055602
ENSCATP00000036075	ENSCATG00000040868	Cercocebus_atys	ENSCATT00000060364
ENSPPAP00000024670	ENSPPAG00000035471	Pan_paniscus	ENSPPAT00000047495
ENSPTEP00000031020	ENSPTEG00000030090	Piliocolobus_tephrosceles	ENSPTET00000042856
ENSMLEP00000027198	ENSMLEG00000037814	Mandrillus_leucophaeus	ENSMLET00000050744
ENSPANP00000025257	ENSPANG00000029497	Papio_anubis	ENSPANT00000044929
ENSRROP00000001332	ENSRROG00000005354	Rhinopithecus_roxellana	ENSRROT00000005903
ENSNLEP00000021848	ENSNLEG00000031203	Nomascus_leucogenys	ENSNLET00000022951
ENSNLEP00000021849	ENSNLEG00000017985	Nomascus_leucogenys	ENSNLET00000022952
